file,column,dtype,rows,missing_rate,nunique,min,p01,p50,p99,max
train\train_labels.csv,kst_dtm,str,26304,0.0,26304,,,,,
train\train_labels.csv,kpx_group_1,float64,26304,0.003953771289537713,1472,0.0,0.0,4252.168,20913.726,21275.305
train\train_labels.csv,kpx_group_2,float64,26304,0.003915754257907543,1478,0.0,0.0,4382.337,20769.095,21362.084
train\train_labels.csv,kpx_group_3,float64,26304,0.33325729927007297,1459,0.0,0.0,2719.074,20575.722690000017,21130.674
train\ldaps_train.csv,forecast_kst_dtm,str,420864,0.0,26304,,,,,
train\ldaps_train.csv,data_available_kst_dtm,str,420864,0.0,1096,,,,,
train\ldaps_train.csv,grid_id,int64,420864,0.0,16,1.0,1.0,8.5,16.0,16.0
train\ldaps_train.csv,latitude,float64,420864,0.0,16,37.2607,37.2607,37.2819,37.3032,37.3032
train\ldaps_train.csv,longitude,float64,420864,0.0,16,128.9257,128.9257,128.9607,128.9958,128.9958
train\ldaps_train.csv,heightAboveGround_10_10u,float64,420864,0.0,415321,-11.825531,-6.094736898,3.284855,11.91169205,18.085985
train\ldaps_train.csv,heightAboveGround_10_10v,float64,420864,0.0,407569,-17.344872,-4.502153038,0.35049963,6.158801289999996,12.71147
train\ldaps_train.csv,heightAboveGround_50_50MUmax,float64,420864,0.0,416783,-17.205416,-8.660039699999999,5.16657635,19.07255617,29.133512
train\ldaps_train.csv,heightAboveGround_50_50MUmin,float64,420864,0.0,416573,-19.550144,-9.54020605,4.1655221000000004,17.68746000999999,27.475353
train\ldaps_train.csv,heightAboveGround_50_50MVmax,float64,420864,0.0,410748,-24.694263,-6.274225692,0.92929363,10.961495719999995,20.772963
train\ldaps_train.csv,heightAboveGround_50_50MVmin,float64,420864,0.0,409116,-27.77414,-7.806630774,0.14019155500000002,8.88863561,18.794529
train\ldaps_train.csv,heightAboveGround_5_XBLWS,float64,420864,0.0,288811,-0.5353961,-0.1687509825,0.0077982843,0.3160555267,0.9574145
train\ldaps_train.csv,heightAboveGround_5_YBLWS,float64,420864,0.0,401564,-6.486269,-0.623578203,0.0172976255,1.217624504,3.7117398
train\ldaps_train.csv,heightAboveGround_2_t,float64,420864,0.0,336299,249.69829,257.7060024,282.30503,298.7548957,302.91513
train\ldaps_train.csv,heightAboveGround_2_dpt,float64,420864,0.0,356933,242.41481,250.5040179,277.67883,294.6279748,297.35178
train\ldaps_train.csv,heightAboveGround_2_r,float64,420864,0.0,402921,11.018637,25.552003279999997,79.858127,102.9429521,110.38448
train\ldaps_train.csv,heightAboveGround_2_q,float64,420864,0.0,158629,0.00024411206,0.0007324219,0.0058593154,0.01784133685,0.0212492
train\ldaps_train.csv,surface_0_sp,float64,420864,0.0,242566,87462.81,89068.25283,90662.07500000001,92283.78110000001,93083.13
train\ldaps_train.csv,meanSea_0_prmsl,float64,420864,0.0,249781,98038.98,99759.11575,101514.315,102971.9774,103395.07
train\ldaps_train.csv,etc_0_blh,float64,420864,0.0,333885,11.922593,75.8023061,219.85582,1459.450047,3850.206
train\ldaps_train.csv,surface_0_NDNSW,float64,420864,0.0,210207,0.0,0.0,5.8632812,847.184892,948.9419
train\ldaps_train.csv,surface_0_NDNLW,float64,420864,0.0,410834,-179.58722,-146.54041329999998,-71.69842,0.4460421761999939,18.440361
train\ldaps_train.csv,heightAboveGround_2_SWDIR,float64,420864,0.0,81644,0.0,0.0,0.0,839.1719,946.0156
train\ldaps_train.csv,heightAboveGround_2_SWDIF,float64,420864,0.0,211026,0.0,0.0,6.4873047,346.086262,541.08984
train\ldaps_train.csv,etc_0_hcc,float64,420864,0.0,28768,0.0,0.0,0.007965088,1.0,1.0000072
train\ldaps_train.csv,etc_0_mcc,float64,420864,0.0,30696,0.0,0.0,0.0,1.0,1.0000057
train\ldaps_train.csv,etc_0_lcc,float64,420864,0.0,32293,0.0,0.0,0.020111084,1.0,1.0000029
train\ldaps_train.csv,etc_0_VLCDC,float64,420864,0.0,30785,0.0,0.0,0.0,1.0,1.0
train\ldaps_train.csv,surface_0_avg_lsprate,float64,420864,0.0,11849,0.0,0.0,0.0,0.0012184953529999977,0.024531364
train\ldaps_train.csv,surface_0_lssrate,float64,420864,0.0,11070,0.0,0.0,0.0,0.00021187573599999986,0.0015860796
train\ldaps_train.csv,surface_0_ncpcp,float64,420864,0.0,11696,0.0,0.0,0.0,4.384150341999995,88.31055
train\ldaps_train.csv,surface_0_snol,float64,420864,0.0,11089,0.0,0.0,0.0,0.7616418584999994,5.7109375
train\ldaps_train.csv,surface_0_SNOM,float64,420864,0.0,12443,-2.36061e-18,-1.602929e-23,0.0,0.34585449179999883,6.6069336
train\ldaps_train.csv,surface_0_lsm,float64,420864,0.0,1,1.0,1.0,1.0,1.0,1.0
train\ldaps_train.csv,surface_0_h,float64,420864,0.0,16,868.8125,868.8125,946.59375,1001.25,1001.25
train\gfs_train.csv,forecast_kst_dtm,str,236736,0.0,26304,,,,,
train\gfs_train.csv,data_available_kst_dtm,str,236736,0.0,1096,,,,,
train\gfs_train.csv,grid_id,int64,236736,0.0,9,1.0,1.0,5.0,9.0,9.0
train\gfs_train.csv,latitude,float64,236736,0.0,3,37.0,37.0,37.25,37.5,37.5
train\gfs_train.csv,longitude,float64,236736,0.0,3,128.75,128.75,129.0,129.25,129.25
train\gfs_train.csv,heightAboveGround_10_10u,float64,236736,0.0,227517,-17.183594,-3.734727675,1.2469161500000001,7.710375154999997,17.827602
train\gfs_train.csv,heightAboveGround_10_10v,float64,236736,0.0,223114,-24.243887,-5.241041135000001,0.315628665,4.699673439999997,15.46408
train\gfs_train.csv,heightAboveGround_80_u,float64,236736,0.0,228589,-21.81385,-4.8991803,1.7102304,12.374915099999997,25.659668
train\gfs_train.csv,heightAboveGround_80_v,float64,236736,0.0,225464,-30.727304,-6.53508714,0.354571225,6.840168199999997,19.62365
train\gfs_train.csv,heightAboveGround_100_100u,float64,236736,0.0,228467,-22.420181,-5.054291505,1.7616223,13.03734894999999,27.14945
train\gfs_train.csv,heightAboveGround_100_100v,float64,236736,0.0,225361,-31.509785,-6.7056519,0.35614135999999996,7.138869539999998,20.112705
train\gfs_train.csv,heightAboveGround_2_2t,float64,236736,0.0,187091,251.10165,260.7661435,284.39356,302.562325,308.4
train\gfs_train.csv,heightAboveGround_2_2d,float64,236736,0.0,142555,243.31473,251.5258005,278.521955,295.8,298.7771
train\gfs_train.csv,heightAboveGround_2_2r,float64,236736,0.0,879,11.4,22.9,73.0,99.5,100.0
train\gfs_train.csv,heightAboveGround_2_2sh,float64,236736,0.0,230598,0.00034117704,0.000719032291,0.0058644322,0.01790336175,0.020928776
train\gfs_train.csv,planetaryBoundaryLayer_0_u,float64,236736,0.0,199989,-28.42416,-6.2163450650000005,1.41985815,19.94604475,40.64356
train\gfs_train.csv,planetaryBoundaryLayer_0_v,float64,236736,0.0,192551,-35.50895,-8.2279064,0.21619415,9.79329755,29.517832
train\gfs_train.csv,planetaryBoundaryLayer_0_VRATE,float64,236736,0.0,870,0.0,0.0,1000.0,31000.0,80000.0
train\gfs_train.csv,surface_0_dswrf,float64,236736,0.0,57673,0.0,0.0,41.0,868.68,938.32
train\gfs_train.csv,surface_0_dlwrf,float64,236736,0.0,166325,128.26337,164.048624,303.9,426.2699475,447.8611
train\gfs_train.csv,surface_0_prate,float64,236736,0.0,5743,0.0,0.0,0.0,0.0008293199999999954,0.0091256
train\gfs_train.csv,surface_0_tp,float64,236736,0.0,1581,0.0,0.0,0.0,39.75,228.625
train\gfs_train.csv,surface_0_sp,float64,236736,0.0,204786,90569.836,91841.89075,94948.45999999999,102407.33685,103344.33
train\gfs_train.csv,meanSea_0_prmsl,float64,236736,0.0,165322,98440.04,99981.6294,101659.535,103234.3339,103858.49
train\gfs_train.csv,surface_0_gust,float64,236736,0.0,168893,0.018209688,0.50067747,2.9072266,17.92544434999998,30.510489
train\gfs_train.csv,lowCloudLayer_0_lcc,float64,236736,0.0,1001,0.0,0.0,2.1,100.0,100.0
train\gfs_train.csv,middleCloudLayer_0_mcc,float64,236736,0.0,1001,0.0,0.0,0.0,100.0,100.0
train\gfs_train.csv,highCloudLayer_0_hcc,float64,236736,0.0,1001,0.0,0.0,5.5,100.0,100.0
train\gfs_train.csv,atmosphere_0_tcc,float64,236736,0.0,1001,0.0,0.0,70.1,100.0,100.0
train\gfs_train.csv,isobaricInhPa_850_t,float64,236736,0.0,206893,247.10553,256.92008899999996,280.13284,294.9263545,297.82675
train\gfs_train.csv,isobaricInhPa_850_u,float64,236736,0.0,228857,-29.702671,-10.051829099999999,4.08651135,23.505716799999988,46.64678
train\gfs_train.csv,isobaricInhPa_850_v,float64,236736,0.0,227641,-40.439484,-11.4434214,-0.48073730000000003,13.898325999999992,35.66771
