target,nwp_bias_bin,rows,mean_delta_abs_error,candidate_abs_error
kpx_group_1,"(-inf, -4.0]",91,-0.0036350431169486267,0.2269447342738843
kpx_group_1,"(-4.0, -2.0]",676,-0.0024807677960207476,0.1279760084283545
kpx_group_1,"(-2.0, 0.0]",2440,8.272027096723316e-05,0.07155516992471836
kpx_group_1,"(0.0, 2.0]",3100,0.0007612737491085996,0.08094038074762475
kpx_group_1,"(2.0, 4.0]",1597,0.0006414697663145001,0.10394203077136763
kpx_group_1,"(4.0, inf]",880,0.0009232355982892104,0.157806365446836
kpx_group_2,"(-inf, -4.0]",213,-0.0037509668694620806,0.1862751405267984
kpx_group_2,"(-4.0, -2.0]",899,-0.0021294929810927307,0.10891187221128655
kpx_group_2,"(-2.0, 0.0]",2580,-0.0008032257554491556,0.07386861720285917
kpx_group_2,"(0.0, 2.0]",2909,0.0008380911621737809,0.0795142115719097
kpx_group_2,"(2.0, 4.0]",1446,0.0008670889413487673,0.11241069831109216
kpx_group_2,"(4.0, inf]",737,0.0022338711505262856,0.18267118601873017
kpx_group_3,"(-inf, -4.0]",32,-0.007263943625876084,0.1969846718898578
kpx_group_3,"(-4.0, -2.0]",175,-0.002950724548449963,0.17363552303059443
kpx_group_3,"(-2.0, 0.0]",1372,-0.0011528733187556887,0.08807807527545296
kpx_group_3,"(0.0, 2.0]",3192,-0.00023287730196632023,0.06313155801806508
kpx_group_3,"(2.0, 4.0]",2276,0.0002190092282571844,0.08222642324180991
kpx_group_3,"(4.0, inf]",1731,0.0010089673274269345,0.16088772126551285
