target,taxonomy,rows,mean_delta_abs_error,candidate_abs_error,baseline_abs_error,pass_to_fail,fail_to_pass,mean_nwp_scada_abs_speed_bias,net_ficr_pass
kpx_group_1,label_missing,6,,,,0,0,6.84098694888005,0
kpx_group_1,low_online_label_positive,4,-0.012977410125049417,0.3422337435406806,0.35521115366573003,0,0,2.80599032825699,0
kpx_group_1,moderate_residual,466,-0.0006054384141452382,0.11124731916708985,0.11185275758123508,15,15,2.416172163686834,0
kpx_group_1,scada_under_label,166,0.00040219470270901926,0.11573689790763622,0.11533470320492721,5,4,3.147936407908749,-1
kpx_group_1,scada_zero_label_positive,36,-0.0017745638279809744,0.16027775306585046,0.16205231689383143,0,1,2.27051749159817,1
kpx_group_1,tight_reconstruction,8106,0.00033521128442092407,0.09358300256326607,0.09324779127884514,89,115,1.8855792981583728,26
kpx_group_2,label_missing,6,,,,0,0,6.84098694888005,0
kpx_group_2,low_online_label_positive,5,0.003784487481041128,0.2911063263528005,0.2873218388717593,0,0,2.313410640785044,0
kpx_group_2,moderate_residual,715,0.00044140142681599554,0.12920305167944082,0.12876165025262484,13,12,2.133962602621635,-1
kpx_group_2,scada_under_label,309,0.001028500832197472,0.14438467769746793,0.14335617686527047,6,4,2.6757183539079543,-2
kpx_group_2,scada_zero_label_positive,137,0.0032955747409079417,0.3030004709302665,0.2997048961893586,3,0,2.502452753134458,-3
kpx_group_2,tight_reconstruction,7612,-7.364826341216373e-05,0.0887857058690333,0.08885935413244547,80,105,1.8364754962425285,25
kpx_group_3,label_missing,6,,,,0,0,0.57523433725603,0
kpx_group_3,low_online_label_positive,102,0.0014768853782284627,0.13581319065704042,0.134336305278812,0,4,3.2239426217844507,4
kpx_group_3,moderate_residual,1158,-0.0004479366043537172,0.14363152280072275,0.14407945940507647,29,26,3.3001406322915217,-3
kpx_group_3,scada_under_label,239,-0.004273978763631348,0.16140301652859176,0.16567699529222313,2,6,2.7089934236366444,4
kpx_group_3,scada_zero_label_positive,92,-0.00034196837730171554,0.14425678060142283,0.14459874897872455,1,2,3.1900884333633037,1
kpx_group_3,tight_reconstruction,7187,8.072984121941149e-05,0.08251889968375986,0.08243816984254045,64,75,2.336041643001955,11
