target,grid_id,dir_sector,rows,spearman_corr
kpx_group_1,1,0-45,14995,0.6500959678072391
kpx_group_1,1,45-90,2015,0.7017457300102828
kpx_group_1,1,90-135,1270,0.512660695199417
kpx_group_1,1,135-180,1970,0.44078455373069586
kpx_group_1,1,180-225,3082,0.4469209006618775
kpx_group_1,1,225-270,736,0.48709451681660826
kpx_group_1,1,270-315,403,0.5064568418746965
kpx_group_1,1,315-360,1729,0.7858828918850247
kpx_group_2,1,0-45,14994,0.6747579717619049
kpx_group_2,1,45-90,2015,0.7233082613804138
kpx_group_2,1,90-135,1270,0.5177121672250102
kpx_group_2,1,135-180,1970,0.41190166900580155
kpx_group_2,1,180-225,3082,0.4472560084685614
kpx_group_2,1,225-270,736,0.5091434708852909
kpx_group_2,1,270-315,403,0.5032108787779445
kpx_group_2,1,315-360,1731,0.7742277466542191
kpx_group_3,1,0-45,9849,0.7008033910802713
kpx_group_3,1,45-90,1454,0.7434246401715479
kpx_group_3,1,90-135,812,0.4446154310789964
kpx_group_3,1,135-180,1257,0.39141921583463474
kpx_group_3,1,180-225,2289,0.5331157731157213
kpx_group_3,1,225-270,538,0.5374151516629238
kpx_group_3,1,270-315,262,0.5139299216273073
kpx_group_3,1,315-360,1077,0.7807542597815355
kpx_group_1,2,0-45,14788,0.6970667973728715
kpx_group_1,2,45-90,1577,0.6850234652311135
kpx_group_1,2,90-135,1545,0.4719414444125776
kpx_group_1,2,135-180,2085,0.3612673519638947
kpx_group_1,2,180-225,2760,0.3981861421723743
kpx_group_1,2,225-270,606,0.4734217745711752
kpx_group_1,2,270-315,457,0.4129979240975723
kpx_group_1,2,315-360,2382,0.760008964824549
kpx_group_2,2,0-45,14787,0.7199251570419519
kpx_group_2,2,45-90,1577,0.7073110660936938
kpx_group_2,2,90-135,1545,0.46239569184142476
kpx_group_2,2,135-180,2085,0.3552235801104841
kpx_group_2,2,180-225,2760,0.4026883877168671
kpx_group_2,2,225-270,606,0.49204274982693824
kpx_group_2,2,270-315,457,0.41606174834851745
kpx_group_2,2,315-360,2384,0.7554420985147399
kpx_group_3,2,0-45,9748,0.7341370138778693
kpx_group_3,2,45-90,1133,0.739399941272686
kpx_group_3,2,90-135,1002,0.4185222090429067
kpx_group_3,2,135-180,1343,0.374414673658637
kpx_group_3,2,180-225,2054,0.5091077783475421
kpx_group_3,2,225-270,461,0.517797997613558
kpx_group_3,2,270-315,307,0.38482851369367294
kpx_group_3,2,315-360,1490,0.7470501754008645
kpx_group_1,3,0-45,12746,0.6894007259763886
kpx_group_1,3,45-90,1336,0.6698098261630419
kpx_group_1,3,90-135,1684,0.4174815520185537
kpx_group_1,3,135-180,1828,0.3011671812307445
kpx_group_1,3,180-225,2868,0.3821530097357538
kpx_group_1,3,225-270,744,0.4795085944562968
kpx_group_1,3,270-315,298,0.42634016125277974
kpx_group_1,3,315-360,4696,0.730958880956879
kpx_group_2,3,0-45,12745,0.7082314425631977
kpx_group_2,3,45-90,1336,0.6961205794028568
kpx_group_2,3,90-135,1684,0.4105775177377768
kpx_group_2,3,135-180,1828,0.2909333203623715
kpx_group_2,3,180-225,2868,0.392311271686614
