target,dir_sector,grid_id,rows,spearman_corr
kpx_group_1,0-45,13,10286,0.755603320430662
kpx_group_1,135-180,10,2062,0.45693614380841335
kpx_group_1,180-225,5,3388,0.49928742001148
kpx_group_1,225-270,10,728,0.5252225483110848
kpx_group_1,270-315,11,369,0.5540942823758119
kpx_group_1,315-360,1,1729,0.7858828918850247
kpx_group_1,45-90,14,1536,0.7452708687366719
kpx_group_1,90-135,14,1227,0.523358494655703
kpx_group_2,0-45,13,10284,0.7689895742775423
kpx_group_2,135-180,5,1727,0.4302633753000979
kpx_group_2,180-225,11,3230,0.49229434539645
kpx_group_2,225-270,14,555,0.5498273687197796
kpx_group_2,270-315,11,369,0.5407311689185509
kpx_group_2,315-360,13,6645,0.7810153005864283
kpx_group_2,45-90,14,1536,0.7633735802168302
kpx_group_2,90-135,14,1227,0.5311434373306357
kpx_group_3,0-45,16,5995,0.761707440183746
kpx_group_3,135-180,12,737,0.4393886972631665
kpx_group_3,180-225,11,2348,0.5735500068638287
kpx_group_3,225-270,10,522,0.5822965386204235
kpx_group_3,270-315,11,231,0.5380938385435652
kpx_group_3,315-360,1,1077,0.7807542597815355
kpx_group_3,45-90,14,1114,0.7802881411085872
kpx_group_3,90-135,14,790,0.4964242520762017
