target,taxonomy,rows,mean_abs_residual_ratio,mean_label_ratio,mean_scada_ratio,mean_online_rate
kpx_group_1,label_missing,104,,,0.0030470975783475785,0.007745726495726497
kpx_group_1,low_online_label_positive,27,0.1661221793552812,0.24606216563786007,0.07993998628257888,0.47119341563786005
kpx_group_1,moderate_residual,1655,0.06353276393084928,0.27738571223564956,0.2169609488642721,0.7939073514602216
kpx_group_1,scada_under_label,1296,0.290461720571845,0.5322000464749085,0.24173832590306357,0.8272033607681757
kpx_group_1,scada_zero_label_positive,529,0.43596749894980047,0.43802746534341525,0.002059966393614787,0.7061016593152699
kpx_group_1,tight_reconstruction,22693,0.006744329059703514,0.29282391153414905,0.29469335257568413,0.69701253935379
kpx_group_2,label_missing,103,,,0.007606975907946781,0.009978425026968715
kpx_group_2,low_online_label_positive,12,0.11870134645061729,0.19100072916666666,0.07229938271604938,0.5185185185185185
kpx_group_2,moderate_residual,2261,0.0636726424312415,0.24079675991449212,0.17918421462152112,0.7819180303700428
kpx_group_2,scada_under_label,1098,0.2610513407795318,0.5886232307478243,0.3275718899682925,0.863615664845173
kpx_group_2,scada_zero_label_positive,868,0.408913579749104,0.4106156620157023,0.0017020822665983956,0.7278545826932924
kpx_group_2,tight_reconstruction,21962,0.006404388436508177,0.3203178093917271,0.3214341775524728,0.7028731445223568
kpx_group_3,label_missing,6,,,0.0,0.0
kpx_group_3,low_online_label_positive,260,0.027580307692307692,0.24301283882783883,0.2264882783882784,0.4362820512820513
kpx_group_3,moderate_residual,2345,0.05011363831861103,0.4853485703929333,0.48201242765763025,0.9109310589907604
kpx_group_3,scada_over_label,5,0.13170324761904761,0.39945865714285717,0.5311619047619047,0.8266666666666665
kpx_group_3,scada_under_label,341,0.1882472364194945,0.8653476413908672,0.6771004049713727,0.8977517106549364
kpx_group_3,scada_zero_label_positive,94,0.716431867781155,0.716431867781155,0.0,0.7432624113475178
kpx_group_3,tight_reconstruction,14493,0.007552218775566529,0.21257386795267338,0.21246611664744558,0.5164148209480439
