source,column,description,family,height_or_level,component,recommended_transform,eda_model_policy,dtype_train,train_missing_rate,test_missing_rate,train_nunique,test_nunique,train_test_parity,train_min,train_p01,train_p50,train_p99,train_max,test_min,test_p50,test_max,mean_shift_z,derived_feature_link,max_label_spearman_corr
ldaps,forecast_kst_dtm,예측 대상 시각입니다.,time_contract,,,raw,join_or_time_feature_only,str,0.0,0.0,26304,8760,True,,,,,,,,,,,
ldaps,data_available_kst_dtm,예보 데이터 사용 가능 시각,time_contract,,,raw,join_or_time_feature_only,str,0.0,0.0,1096,365,True,,,,,,,,,,,
ldaps,grid_id,GFS 격자 ID,spatial_contract,,,raw,spatial_feature_or_join_key,int64,0.0,0.0,16,16,True,1.0,1.0,8.5,16.0,16.0,1.0,8.5,16.0,0.0,,
ldaps,latitude,격자 위도,spatial_contract,,,raw,spatial_feature_or_join_key,float64,0.0,0.0,16,16,True,37.2607,37.2607,37.2819,37.3032,37.3032,37.2607,37.2819,37.3032,0.0,,
ldaps,longitude,격자 경도,spatial_contract,,,raw,spatial_feature_or_join_key,float64,0.0,0.0,16,16,True,128.9257,128.9257,128.9607,128.9958,128.9958,128.9257,128.9607,128.9958,0.0,,
ldaps,heightAboveGround_10_10u,지상 10 m U 성분 바람,wind_vector,10m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,415321,139387,True,-11.825531,-6.094736898,3.284855,11.91169205,18.085985,-11.614317,3.8338084500000003,16.215715,0.12344982727447948,wind10_speed,0.8167296175335645
ldaps,heightAboveGround_10_10v,지상 10 m V 성분 바람,wind_vector,10m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,407569,138486,True,-17.344872,-4.502153038,0.35049963,6.158801289999996,12.71147,-9.490688,0.41977262000000004,11.067608,0.03596104712475384,wind10_speed,0.8167296175335645
ldaps,heightAboveGround_50_50MUmax,지상 50 m U 성분 바람 최댓값,wind_vector,50m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.00034246575342465754,416783,139524,True,-17.205416,-8.660039699999999,5.16657635,19.07255617,29.133512,-16.755417,6.18818725,25.433338,0.1276561563117151,wind50max_speed,0.8263124368994054
ldaps,heightAboveGround_50_50MUmin,지상 50 m U 성분 바람 최솟값,wind_vector,50m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.00034246575342465754,416573,139493,True,-19.550144,-9.54020605,4.1655221000000004,17.68746000999999,27.475353,-17.76794,5.1947545999999996,23.169157,0.12767671576525946,wind50max_speed,0.8263124368994054
ldaps,heightAboveGround_50_50MVmax,지상 50 m V 성분 바람 최댓값,wind_vector,50m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.00034246575342465754,410748,138890,True,-24.694263,-6.274225692,0.92929363,10.961495719999995,20.772963,-12.326637,1.0795202000000002,18.977125,0.04424748155117294,wind50max_speed,0.8263124368994054
ldaps,heightAboveGround_50_50MVmin,지상 50 m V 성분 바람 최솟값,wind_vector,50m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.00034246575342465754,409116,138691,True,-27.77414,-7.806630774,0.14019155500000002,8.88863561,18.794529,-15.162205,0.24922275500000002,16.067867,0.044816231985951006,wind50max_speed,0.8263124368994054
ldaps,heightAboveGround_5_XBLWS,지상 5 m X 방향 경계층 바람,wind_vector,,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,288811,101812,True,-0.5353961,-0.1687509825,0.0077982843,0.3160555267,0.9574145,-0.77820444,0.010944157999999999,0.713279,0.03891784475070285,,
ldaps,heightAboveGround_5_YBLWS,지상 5 m Y 방향 경계층 바람,wind_vector,,v/y,speed_direction_required,candidate_feature,float64,0.0,0.00011415525114155251,401564,137923,True,-6.486269,-0.623578203,0.0172976255,1.217624504,3.7117398,-1.9003611,0.0258188845,3.1633148,0.01956182722157858,,
ldaps,heightAboveGround_2_t,지상 2 m 기온,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.00011415525114155251,336299,128603,True,249.69829,257.7060024,282.30503,298.7548957,302.91513,253.04515,282.187055,303.52997,-0.0009533091965198722,,
ldaps,heightAboveGround_2_dpt,지상 2 m 이슬점온도,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.00011415525114155251,356933,131837,True,242.41481,250.5040179,277.67883,294.6279748,297.35178,242.87035,277.11472000000003,296.6564,0.002381314800448105,,
ldaps,heightAboveGround_2_r,지상 2 m 상대습도,humidity,,,raw,candidate_feature,float64,0.0,0.00011415525114155251,402921,136901,True,11.018637,25.552003279999997,79.858127,102.9429521,110.38448,18.229977,79.582335,113.077354,0.0010321824132068906,,
ldaps,heightAboveGround_2_q,지상 2 m 비습,humidity,,,raw,candidate_feature,float64,0.0,0.00011415525114155251,158629,60388,True,0.00024411206,0.0007324219,0.0058593154,0.01784133685,0.0212492,0.00024414062,0.0056152344,0.01996088,0.0280537236317589,,
ldaps,surface_0_sp,지표면 기압,pressure,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,242566,114808,True,87462.81,89068.25283,90662.07500000001,92283.78110000001,93083.13,87766.59,90621.23199999999,92739.15,-0.08368215261416474,,
ldaps,meanSea_0_prmsl,해면기압,pressure,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,249781,115706,True,98038.98,99759.11575,101514.315,102971.9774,103395.07,98824.47,101381.95250000001,103203.39,-0.0728198082792609,,
ldaps,etc_0_blh,경계층 높이,boundary_layer,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,333885,122213,True,11.922593,75.8023061,219.85582,1459.450047,3850.206,11.858371,247.936405,3183.5596,0.05978759793718942,,
ldaps,surface_0_NDNSW,지표면 순 하향 단파복사,radiation,,,raw,candidate_feature,float64,0.0,0.0,210207,72443,True,0.0,0.0,5.8632812,847.184892,948.9419,0.0,6.0066273500000005,916.18195,0.021061384444973578,,
