model,month,abs_error
catboost_mae,1,0.166282229187327
catboost_mae,2,0.08795312419641185
catboost_mae,3,0.11563736624858106
catboost_mae,4,0.08545364297246136
catboost_mae,5,0.1023027006715576
catboost_mae,6,0.07229343274756071
catboost_mae,7,0.11260263209045376
catboost_mae,8,0.05403350185010011
catboost_mae,9,0.05868644509221503
catboost_mae,10,0.06920620806318209
catboost_mae,11,0.08367371412550852
catboost_mae,12,0.11271040087529831
extra_trees,1,0.16789312044500557
extra_trees,2,0.10293128128005853
extra_trees,3,0.11756624120450514
extra_trees,4,0.08723732571426215
extra_trees,5,0.10252424593764493
extra_trees,6,0.07736434124722216
extra_trees,7,0.1181436741239695
extra_trees,8,0.0567710020153801
extra_trees,9,0.06179677337535902
extra_trees,10,0.07518457769397789
extra_trees,11,0.09664269203383703
extra_trees,12,0.11352561760105728
hist_gbdt_l2,1,0.16990348231137645
hist_gbdt_l2,2,0.0939401731906245
hist_gbdt_l2,3,0.11877180256076447
hist_gbdt_l2,4,0.08894961659671566
hist_gbdt_l2,5,0.10113128323865568
hist_gbdt_l2,6,0.07821564483518842
hist_gbdt_l2,7,0.11779733251505473
hist_gbdt_l2,8,0.056359184424000994
hist_gbdt_l2,9,0.06430758176026564
hist_gbdt_l2,10,0.07499121481774082
hist_gbdt_l2,11,0.0934894314298851
hist_gbdt_l2,12,0.117363996529702
lgbm_huber,1,0.3063850568973259
lgbm_huber,2,0.314577330456613
lgbm_huber,3,0.2615408582007177
lgbm_huber,4,0.2264620655033125
lgbm_huber,5,0.26253529036788853
lgbm_huber,6,0.23926755664231755
lgbm_huber,7,0.3183518777182697
lgbm_huber,8,0.2664282879714144
lgbm_huber,9,0.22780175030117333
lgbm_huber,10,0.25519772369307553
lgbm_huber,11,0.30830333946951777
lgbm_huber,12,0.3322093766113407
lgbm_l1_baseline,1,0.16451304534757893
lgbm_l1_baseline,2,0.08733505936682474
lgbm_l1_baseline,3,0.11237904138877162
lgbm_l1_baseline,4,0.08420498541125207
lgbm_l1_baseline,5,0.09866651911859999
lgbm_l1_baseline,6,0.07267152691075071
lgbm_l1_baseline,7,0.1122011833639602
lgbm_l1_baseline,8,0.05336756142176546
lgbm_l1_baseline,9,0.05728630957390249
lgbm_l1_baseline,10,0.06908033676458662
lgbm_l1_baseline,11,0.08299178875009716
lgbm_l1_baseline,12,0.1131837961204122
lgbm_l2,1,0.173940574715786
lgbm_l2,2,0.09434893690925003
lgbm_l2,3,0.11665454984537116
lgbm_l2,4,0.08926914447777146
lgbm_l2,5,0.10169690826264503
lgbm_l2,6,0.07766274057398802
lgbm_l2,7,0.1184551336480921
lgbm_l2,8,0.05551180893306336
lgbm_l2,9,0.06310152179683282
lgbm_l2,10,0.07652990757006561
lgbm_l2,11,0.09340645993945136
lgbm_l2,12,0.11986166650180434
random_forest,1,0.170053762853348
random_forest,2,0.10284998459986423
random_forest,3,0.11856098930863747
random_forest,4,0.08898572931076909
random_forest,5,0.10283710312356904
random_forest,6,0.07897949332096722
random_forest,7,0.11898936062273908
random_forest,8,0.05742114832249439
random_forest,9,0.06244806076238104
random_forest,10,0.0749159134562756
random_forest,11,0.09318671984618941
random_forest,12,0.11898679690577342
ridge,1,0.18694468848949705
ridge,2,0.1372978206501768
ridge,3,0.13064596318583102
ridge,4,0.10784564135015294
ridge,5,0.11949625181369633
ridge,6,0.09319387916011394
ridge,7,0.13620831511223805
ridge,8,0.0705331358420432
ridge,9,0.09159494868501639
ridge,10,0.10748746673548888
ridge,11,0.12464585318979328
ridge,12,0.12966906782172327
xgboost_l1,1,0.16140004872457736
xgboost_l1,2,0.09159107657989587
xgboost_l1,3,0.11052177622704469
xgboost_l1,4,0.0840500464205175
xgboost_l1,5,0.09843229801831396
xgboost_l1,6,0.07225637471150735
xgboost_l1,7,0.11430900939449562
xgboost_l1,8,0.052986988588524735
xgboost_l1,9,0.05848567276914092
xgboost_l1,10,0.07023550168405791
xgboost_l1,11,0.08413999382207894
xgboost_l1,12,0.1135489924014387
