model,target,rows,mae_ratio,eligible_mae_ratio,ficr_pass_rate,bias_ratio,under_rate
catboost_mae,kpx_group_1,8784,0.09302545427792837,0.12204442442946027,0.41751854078973744,0.003192529834046921,0.44205373406193077
catboost_mae,kpx_group_2,8784,0.09398436194157311,0.12830926389146644,0.4228295819935691,0.015566165548970093,0.4027777777777778
catboost_mae,kpx_group_3,8784,0.09385197353076943,0.14398622084839713,0.3537012702584319,-0.009412399030445929,0.44581056466302366
extra_trees,kpx_group_1,8784,0.09747204594019038,0.1199609632643942,0.41791942273000604,0.00728857165811703,0.402891621129326
extra_trees,kpx_group_2,8784,0.0969962017159722,0.12122801147905127,0.45056270096463025,0.019904369568803457,0.3668032786885246
extra_trees,kpx_group_3,8784,0.10037714996006872,0.14520450819143868,0.36465177398160314,-0.004201873763151661,0.3777322404371585
hist_gbdt_l2,kpx_group_1,8784,0.09619578364273437,0.11887039763716636,0.4317498496692724,0.01187013982020309,0.3933287795992714
hist_gbdt_l2,kpx_group_2,8784,0.09558553513301007,0.12310830176623216,0.43810289389067525,0.022197852604119855,0.37033242258652094
hist_gbdt_l2,kpx_group_3,8784,0.10259640740096485,0.15054959997352624,0.34997809899255367,-0.0018340407839207875,0.3806921675774135
lgbm_huber,kpx_group_1,8784,0.2775081965129647,0.25913480846513653,0.17498496692723992,0.03145884031631754,0.3753415300546448
lgbm_huber,kpx_group_2,8784,0.2901038008260943,0.26014753507643035,0.16619774919614147,0.05103189174373258,0.37374772313296906
lgbm_huber,kpx_group_3,8784,0.2623015932547578,0.267330512681349,0.19973718791064388,0.01507661172908479,0.36259107468123863
lgbm_l1_baseline,kpx_group_1,8784,0.09100476009274057,0.11785922557727523,0.4435758669071958,0.0035423257554137917,0.4386384335154827
lgbm_l1_baseline,kpx_group_2,8784,0.09227266273268482,0.12458699411380977,0.4409163987138264,0.01460931119646466,0.4080145719489982
lgbm_l1_baseline,kpx_group_3,8784,0.09432564539991645,0.14394733511787977,0.35523434077967586,-0.009617302825108308,0.4365892531876138
lgbm_l2,kpx_group_1,8784,0.0967166807387875,0.11897608168210962,0.43515734616155544,0.013706797993321928,0.39139344262295084
lgbm_l2,kpx_group_2,8784,0.09587843621419412,0.12353697184630884,0.4362942122186495,0.02243635184025437,0.3743169398907104
lgbm_l2,kpx_group_3,8784,0.10311398837343692,0.15150923001427272,0.3403416557161629,-0.001989802183999755,0.3891165755919854
random_forest,kpx_group_1,8784,0.09818972289600478,0.12223557405026053,0.41571457205852874,0.005503648007358428,0.40733151183970856
random_forest,kpx_group_2,8784,0.0976036696132385,0.12236138237358715,0.4417202572347267,0.02148300409317903,0.3633879781420765
random_forest,kpx_group_3,8784,0.1017509926404015,0.14863599907659622,0.3506351292159439,-0.004157241071941787,0.38342440801457195
ridge,kpx_group_1,8784,0.12809141422626366,0.12513837243950418,0.39506915213469634,0.055545086662196146,0.309540072859745
ridge,kpx_group_2,8784,0.11812921824437157,0.1377310845310266,0.3657556270096463,0.021740097326418878,0.39423952641165755
ridge,kpx_group_3,8784,0.11284861661189723,0.14840558814098817,0.35326325010950504,0.0037124919984932356,0.3989071038251366
xgboost_l1,kpx_group_1,8784,0.09234339235689373,0.12040601354406649,0.435558228101824,-0.00035174755049560376,0.44410291438979965
xgboost_l1,kpx_group_2,8784,0.09218240466472913,0.12464210393980289,0.4429260450160772,0.012894277764277316,0.4068761384335155
xgboost_l1,kpx_group_3,8784,0.09402512300318434,0.14432446091908202,0.35939553219448095,-0.011692495701021986,0.4307832422586521
