단계,명칭,제작사,모델명,호기,좌표(Google),KPX그룹,Hub Height(m),Rotor Diameter(m),설비용량(MW),그룹설비용량(MW),latitude,longitude
1,태백가덕산,VESTAS,V126,1,"37°16'55.61""N 128°57'02.10""E",1,117,126,3.6,21.6,37.28211388888889,128.95058333333333
1,태백가덕산,VESTAS,V126,2,"37°17'04.05""N 128°56'58.35""E",1,117,126,3.6,21.6,37.28445833333333,128.94954166666668
1,태백가덕산,VESTAS,V126,3,"37°17'11.49""N 128°56'58.99""E",1,117,126,3.6,21.6,37.286525,128.94971944444444
1,태백가덕산,VESTAS,V126,4,"37°17'23.11""N 128°57'03.68""E",1,117,126,3.6,21.6,37.28975277777778,128.9510222222222
1,태백가덕산,VESTAS,V126,5,"37°17'28.20""N 128°57'15.58""E",1,117,126,3.6,21.6,37.29116666666666,128.95432777777776
1,태백가덕산,VESTAS,V126,6,"37°17'19.48""N 128°57'24.96""E",1,117,126,3.6,21.6,37.28874444444444,128.95693333333332
1,태백가덕산,VESTAS,V126,7,"37°17'16.20""N 128°57'34.67""E",2,117,126,3.6,21.6,37.28783333333333,128.95963055555555
1,태백가덕산,VESTAS,V126,8,"37°17'11.29""N 128°57'47.24""E",2,117,126,3.6,21.6,37.28646944444444,128.9631222222222
1,태백가덕산,VESTAS,V126,9,"37°17'00.97""N 128°57'57.44""E",2,117,126,3.6,21.6,37.28360277777777,128.96595555555555
1,태백가덕산,VESTAS,V126,10,"37°16'52.77""N 128°58'04.18""E",2,117,126,3.6,21.6,37.281325,128.96782777777779
1,태백가덕산,VESTAS,V126,11,"37°16'44.89""N 128°58'01.12""E",2,117,126,3.6,21.6,37.27913611111111,128.96697777777777
1,태백가덕산,VESTAS,V126,12,"37°16'30.58""N 128°58'02.54""E",2,117,126,3.6,21.6,37.27516111111111,128.96737222222222
2,태백가덕산,UNISON,U136,1,"37°16'59.73""N 128°57'44.97""E",3,117,136,4.2,21.0,37.28325833333333,128.96249166666666
2,태백원동,UNISON,U136,2,"37°16'40.41""N 128°58'13.80""E",3,117,136,4.2,21.0,37.27789166666667,128.97050000000002
2,태백원동,UNISON,U136,3,"37°16'28.03""N 128°58'22.54""E",3,117,136,4.2,21.0,37.274452777777775,128.97292777777778
2,태백원동,UNISON,U136,4,"37°16'18.58""N 128°58'29.01""E",3,117,136,4.2,21.0,37.27182777777778,128.974725
2,태백원동,UNISON,U136,5,"37°16'06.83""N 128°58'35.68""E",3,117,136,4.2,21.0,37.268563888888885,128.97657777777778
