turbine,group,source,grid_id,distance_km_approx,bearing_proxy_dx_km,bearing_proxy_dy_km
VESTAS_07,2,ldaps,6,0.16135742282812274,-0.12051111111281898,-0.10730000000040718
VESTAS_08,2,ldaps,6,0.31905958053797745,0.18675555555341816,-0.2586916666671044
VESTAS_06,1,ldaps,6,0.35791979393467505,-0.35786666666854217,-0.00616666666739718
UNISON_04,3,ldaps,12,0.401504429545056,-0.2705999999996038,-0.296616666666786
UNISON_03,3,ldaps,12,0.4287875948402648,-0.42875555555519895,-0.005241666667366474
VESTAS_12,2,ldaps,11,0.6138161234157604,0.6135555555563315,0.017883333333401197
VESTAS_03,1,ldaps,5,0.6184129905320253,0.5297111111101458,-0.3191250000003407
UNISON_01,3,ldaps,6,0.6289751214502117,0.13126666666539677,-0.6151250000007025
VESTAS_05,1,ldaps,6,0.6432440722013546,-0.5871555555579562,0.2626999999992563
VESTAS_04,1,ldaps,5,0.6455443106729659,0.6443555555536022,0.03915833333331875
UNISON_05,3,ldaps,12,0.6676289308202086,-0.10755555555579122,-0.6589083333341748
VESTAS_09,2,ldaps,6,0.7231718427050817,0.4360888888875252,-0.5768916666674144
VESTAS_11,2,ldaps,11,0.7388107691419415,0.5788444444444849,0.459108333333063
UNISON_02,3,ldaps,12,0.7445879300817242,-0.6423999999988155,0.37647499999987843
VESTAS_02,1,ldaps,5,0.7517607421268029,0.5140666666668494,-0.548525000000069
UNISON_05,3,ldaps,16,0.8741005518942186,-0.04595555555624742,0.8728916666661988
VESTAS_04,1,ldaps,6,0.88439067809057,-0.878044444446914,0.10575833333316353
VESTAS_12,2,ldaps,12,0.9205739731443948,-0.9176444444444769,0.0733833333328775
UNISON_01,3,ldaps,11,0.934972509436696,0.18406666666714955,0.9166749999996711
UNISON_02,3,ldaps,11,0.9449816879859634,0.8888000000019929,0.32097500000040213
VESTAS_05,1,ldaps,5,0.9555822208792093,0.93524444444256,0.19609999999941152
VESTAS_10,2,ldaps,11,0.9592498972532445,0.6536444444457175,0.7020750000004341
VESTAS_01,1,ldaps,10,0.9921178178579608,0.667333333331726,0.734141666666325
VESTAS_01,1,ldaps,5,1.0104468876919286,0.6057333333321822,-0.8087583333336283
VESTAS_03,1,ldaps,6,1.0243046938053386,-0.9926888888903704,-0.25252500000049594
VESTAS_10,2,ldaps,6,1.0244303890670543,0.6008444444439647,-0.8297249999999394
VESTAS_09,2,ldaps,11,1.0727824899522376,0.48888888888927795,0.9549083333329591
VESTAS_11,2,ldaps,12,1.0824984253726595,-0.9523555555563235,0.5146083333325393
UNISON_03,3,ldaps,11,1.1041165260779562,1.1024444444456094,-0.060741666666842775
VESTAS_02,1,ldaps,6,1.1175812349610206,-1.0083333333336668,-0.4819250000002242
VESTAS_02,1,ldaps,10,1.1489881425565567,0.5756666666663932,0.9943749999998843
VESTAS_10,2,ldaps,12,1.1593203326563666,-0.8775555555550909,0.7575749999999104
VESTAS_06,1,ldaps,5,1.166804556135748,1.164533333331974,-0.07276666666724196
VESTAS_01,1,ldaps,11,1.170384372551864,-0.8638666666665813,0.78964166666659
VESTAS_11,2,ldaps,6,1.1947343509192976,0.5260444444427321,-1.0726916666673105
VESTAS_09,2,ldaps,7,1.212896374694986,-1.095111111110782,-0.5213916666671494
