target,grid_id,sectors,rows,mean_spearman
kpx_group_1,14,2,2763,0.6343146816961875
kpx_group_1,10,2,2790,0.49107934605974907
kpx_group_1,1,1,1729,0.7858828918850247
kpx_group_1,13,1,10286,0.755603320430662
kpx_group_1,11,1,369,0.5540942823758119
kpx_group_1,5,1,3388,0.49928742001148
kpx_group_2,14,3,3318,0.6147814620890818
kpx_group_2,13,2,16929,0.7750024374319853
kpx_group_2,11,2,3599,0.5165127571575004
kpx_group_2,5,1,1727,0.4302633753000979
kpx_group_3,14,2,1904,0.6383561965923945
kpx_group_3,11,2,2579,0.5558219227036969
kpx_group_3,1,1,1077,0.7807542597815355
kpx_group_3,16,1,5995,0.761707440183746
kpx_group_3,10,1,522,0.5822965386204235
kpx_group_3,12,1,737,0.4393886972631665
