source,grid_id,target,wind_feature,spearman_corr,pearson_corr,n
ldaps,13,kpx_group_3,wind50max_speed,0.8263124368994054,0.7918262348864035,17538
ldaps,12,kpx_group_3,wind50max_speed,0.8239621807706782,0.779542967112959,17538
ldaps,16,kpx_group_3,wind50max_speed,0.8211029513347495,0.7758558961634996,17538
ldaps,7,kpx_group_3,wind50max_speed,0.8208689601935052,0.7818780535171276,17538
ldaps,8,kpx_group_3,wind50max_speed,0.8202941724039403,0.7872756658031259,17538
ldaps,12,kpx_group_3,wind10_speed,0.8167296175335645,0.779079390613648,17538
ldaps,7,kpx_group_3,wind10_speed,0.8138830597940065,0.7806195493625389,17538
ldaps,13,kpx_group_3,wind10_speed,0.8134959079320655,0.7848559363954757,17538
ldaps,13,kpx_group_2,wind50max_speed,0.8127937663574298,0.8057654846983944,26201
gfs,1,kpx_group_2,wind850_speed,0.8123829516584613,0.7952819542783107,26201
ldaps,16,kpx_group_3,wind10_speed,0.8116367558088308,0.7735329850612559,17538
gfs,4,kpx_group_2,wind850_speed,0.810914317680316,0.7942189785925016,26201
ldaps,12,kpx_group_2,wind50max_speed,0.809509563398023,0.7921245571853611,26201
ldaps,7,kpx_group_2,wind50max_speed,0.8082756786804229,0.7943693005647745,26201
ldaps,8,kpx_group_2,wind50max_speed,0.8076582143002066,0.8000062190521842,26201
ldaps,13,kpx_group_1,wind50max_speed,0.8075004374975355,0.7991619370318339,26200
ldaps,8,kpx_group_3,wind10_speed,0.8067574442887308,0.7788058058234595,17538
gfs,1,kpx_group_3,wind850_speed,0.8056942110045702,0.7729524176854072,17538
ldaps,3,kpx_group_3,wind50max_speed,0.805139888470296,0.7692224500966067,17538
ldaps,16,kpx_group_2,wind50max_speed,0.8043377075765828,0.7882288125144528,26201
ldaps,12,kpx_group_1,wind50max_speed,0.8037285173852957,0.7845505987701034,26200
ldaps,12,kpx_group_2,wind10_speed,0.803516584692562,0.7916095127088778,26201
ldaps,2,kpx_group_3,wind50max_speed,0.802546025140441,0.75927181446554,17538
ldaps,7,kpx_group_1,wind50max_speed,0.8017223810246111,0.785923829465674,26200
ldaps,7,kpx_group_2,wind10_speed,0.801358910913898,0.7924781184201087,26201
gfs,4,kpx_group_3,wind850_speed,0.8009996364475617,0.7644240833119811,17538
ldaps,13,kpx_group_2,wind10_speed,0.800616609351128,0.7972897313305601,26201
ldaps,8,kpx_group_1,wind50max_speed,0.8004798959834444,0.7909583625626637,26200
gfs,5,kpx_group_2,wind850_speed,0.800283586246811,0.7860704215090962,26201
ldaps,16,kpx_group_1,wind50max_speed,0.7998071595672724,0.781362035800871,26200
ldaps,12,kpx_group_1,wind10_speed,0.7980662704267366,0.7860752746777957,26200
ldaps,16,kpx_group_2,wind10_speed,0.7966260783273256,0.7859374236135693,26201
ldaps,13,kpx_group_1,wind10_speed,0.795543879007996,0.7924835126180729,26200
ldaps,7,kpx_group_1,wind10_speed,0.7950139981033875,0.7861113751918336,26200
ldaps,8,kpx_group_2,wind10_speed,0.7938547498221667,0.7894745475588529,26201
gfs,4,kpx_group_1,wind850_speed,0.7927401948671102,0.7676568465600031,26200
ldaps,16,kpx_group_1,wind10_speed,0.7926477791319809,0.7809983985222587,26200
ldaps,3,kpx_group_2,wind50max_speed,0.7924192452667969,0.7798546566946344,26201
gfs,1,kpx_group_1,wind850_speed,0.7915985266936068,0.7658864756789876,26200
ldaps,2,kpx_group_2,wind50max_speed,0.7902553609681701,0.7682830738103086,26201
gfs,7,kpx_group_2,wind850_speed,0.7882067972085697,0.7678917165382158,26201
gfs,5,kpx_group_3,wind850_speed,0.7878292474316784,0.7605060937659596,17538
ldaps,8,kpx_group_1,wind10_speed,0.7868548887916804,0.7820733532196454,26200
ldaps,3,kpx_group_1,wind50max_speed,0.7843074726158514,0.7691675180060129,26200
ldaps,2,kpx_group_1,wind50max_speed,0.7821567530052277,0.7576743539795686,26200
gfs,8,kpx_group_2,wind850_speed,0.7789354568310276,0.763687741403422,26201
gfs,5,kpx_group_1,wind850_speed,0.7787867183016808,0.7585936181426404,26200
gfs,7,kpx_group_1,wind850_speed,0.7772825368900806,0.7468642722833018,26200
