experiment,target,label_regime,fail_to_pass8,pass_to_fail8,net_pass8,delta_abs_error
B1_plus_direction_grid,kpx_group_1,ficr_boundary_8_12pct,9,14,-5,-3.85185810727458e-05
B1_plus_direction_grid,kpx_group_1,high_50_80pct,70,95,-25,0.0034476418869815277
B1_plus_direction_grid,kpx_group_1,mid_12_50pct,137,117,20,-0.0004576199330230418
B1_plus_direction_grid,kpx_group_1,very_high_80pct_plus,37,52,-15,0.0007792312976932088
B1_plus_direction_grid,kpx_group_2,ficr_boundary_8_12pct,14,8,6,-0.005533999423411204
B1_plus_direction_grid,kpx_group_2,high_50_80pct,99,105,-6,0.0013151154160004315
B1_plus_direction_grid,kpx_group_2,mid_12_50pct,187,155,32,0.0005578439817011118
B1_plus_direction_grid,kpx_group_2,very_high_80pct_plus,52,36,16,-0.0022406064476791347
B1_plus_direction_grid,kpx_group_3,ficr_boundary_8_12pct,10,12,-2,0.0016131716822745574
B1_plus_direction_grid,kpx_group_3,high_50_80pct,91,81,10,0.0003705217814937946
B1_plus_direction_grid,kpx_group_3,mid_12_50pct,185,173,12,0.0015541974596464335
B1_plus_direction_grid,kpx_group_3,very_high_80pct_plus,5,10,-5,-0.003237372249118879
B1_plus_source_disagreement,kpx_group_1,ficr_boundary_8_12pct,5,13,-8,-0.0018213398967283718
B1_plus_source_disagreement,kpx_group_1,high_50_80pct,73,71,2,0.003912539198438237
B1_plus_source_disagreement,kpx_group_1,mid_12_50pct,107,140,-33,0.000579391213318658
B1_plus_source_disagreement,kpx_group_1,very_high_80pct_plus,36,38,-2,0.000713121032897846
B1_plus_source_disagreement,kpx_group_2,ficr_boundary_8_12pct,15,12,3,-0.0025376615939368768
B1_plus_source_disagreement,kpx_group_2,high_50_80pct,74,76,-2,0.0008689244299558418
B1_plus_source_disagreement,kpx_group_2,mid_12_50pct,147,129,18,-0.001516297083266848
B1_plus_source_disagreement,kpx_group_2,very_high_80pct_plus,34,41,-7,0.000610237288597628
B1_plus_source_disagreement,kpx_group_3,ficr_boundary_8_12pct,7,5,2,-0.0022830637847810727
B1_plus_source_disagreement,kpx_group_3,high_50_80pct,70,73,-3,-0.001195784164978554
B1_plus_source_disagreement,kpx_group_3,mid_12_50pct,149,128,21,0.0008941575519517972
B1_plus_source_disagreement,kpx_group_3,very_high_80pct_plus,5,7,-2,-0.003965397460208439
B1_plus_lead_interactions,kpx_group_1,ficr_boundary_8_12pct,5,10,-5,-0.00041243175877913403
B1_plus_lead_interactions,kpx_group_1,high_50_80pct,74,71,3,0.001715769760555569
B1_plus_lead_interactions,kpx_group_1,mid_12_50pct,83,83,0,0.0002881589418451262
B1_plus_lead_interactions,kpx_group_1,very_high_80pct_plus,34,27,7,-0.000578039545224472
B1_plus_lead_interactions,kpx_group_2,ficr_boundary_8_12pct,7,8,-1,-0.00043024199911630715
B1_plus_lead_interactions,kpx_group_2,high_50_80pct,60,73,-13,0.0018113308400994372
B1_plus_lead_interactions,kpx_group_2,mid_12_50pct,88,91,-3,-0.000956382123352996
B1_plus_lead_interactions,kpx_group_2,very_high_80pct_plus,35,41,-6,0.002169175420313423
B1_plus_lead_interactions,kpx_group_3,ficr_boundary_8_12pct,4,6,-2,0.0019796295055633626
