experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta
B1_plus_direction_grid,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07081675828894722,-3.85185810727458e-05,-0.00843556925493133
B1_plus_direction_grid,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13020204112632497,0.0034476418869815277,5.554151079927241
B1_plus_direction_grid,kpx_group_1,mid_12_50pct,2319,0.11421912651372394,0.11376150658070089,-0.0004576199330230418,-1.0612206246804339
B1_plus_direction_grid,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13610564378639395,0.0007792312976932088,0.6545542900622954
B1_plus_direction_grid,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121255,0.09789076675780135,-0.005533999423411204,-1.2396158708441096
B1_plus_direction_grid,kpx_group_2,high_50_80pct,1584,0.13049351358105343,0.13180862899705387,0.0013151154160004315,2.0831428189446837
B1_plus_direction_grid,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.13262097741658124,0.0005578439817011118,1.2356244194679626
B1_plus_direction_grid,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.09736702777909252,-0.0022406064476791347,-2.135297944638215
B1_plus_direction_grid,kpx_group_3,ficr_boundary_8_12pct,212,0.07922748052986421,0.08084065221213875,0.0016131716822745574,0.34199239664220615
B1_plus_direction_grid,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.14185030172439142,0.0003705217814937946,0.5013159703611041
B1_plus_direction_grid,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.1209143569405678,0.0015541974596464335,3.5575579851306864
B1_plus_direction_grid,kpx_group_3,very_high_80pct_plus,712,0.25971991038883857,0.2564825381397197,-0.003237372249118879,-2.305009041372642
B1_plus_source_disagreement,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.06903393697329159,-0.0018213398967283718,-0.39887343738351344
B1_plus_source_disagreement,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13066693843778168,0.003912539198438237,6.3031006486839996
B1_plus_source_disagreement,kpx_group_1,mid_12_50pct,2319,0.11421912651372394,0.11479851772704258,0.000579391213318658,1.343608223685968
B1_plus_source_disagreement,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.1360395335215986,0.000713121032897846,0.5990216676341906
B1_plus_source_disagreement,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121255,0.10088710458727568,-0.0025376615939368768,-0.5684361970418604
B1_plus_source_disagreement,kpx_group_2,high_50_80pct,1584,0.13049351358105343,0.13136243801100925,0.0008689244299558418,1.3763762970500535
B1_plus_source_disagreement,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1305468363516133,-0.001516297083266848,-3.3585980394360684
B1_plus_source_disagreement,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.10021787151536926,0.000610237288597628,0.5815561360335395
B1_plus_source_disagreement,kpx_group_3,ficr_boundary_8_12pct,212,0.07922748052986421,0.07694441674508312,-0.0022830637847810727,-0.4840095223735874
B1_plus_source_disagreement,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.14028399577791908,-0.001195784164978554,-1.6178959752159834
B1_plus_source_disagreement,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.12025431703287318,0.0008941575519517972,2.046726636417664
B1_plus_source_disagreement,kpx_group_3,very_high_80pct_plus,712,0.25971991038883857,0.25575451292863016,-0.003965397460208439,-2.8233629916684087
B1_plus_lead_interactions,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.07044284511124083,-0.00041243175877913403,-0.09032255517263035
B1_plus_lead_interactions,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.12847016899989905,0.001715769760555569,2.764105084255022
B1_plus_lead_interactions,kpx_group_1,mid_12_50pct,2319,0.11421912651372394,0.11450728545556904,0.0002881589418451262,0.6682405861388476
B1_plus_lead_interactions,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13474837294347627,-0.000578039545224472,-0.48555321798855655
B1_plus_lead_interactions,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121255,0.10299452418209623,-0.00043024199911630715,-0.0963742078020528
B1_plus_lead_interactions,kpx_group_2,high_50_80pct,1584,0.13049351358105343,0.13230484442115287,0.0018113308400994372,2.8691480507175084
B1_plus_lead_interactions,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.13110675131152713,-0.000956382123352996,-2.118386403226886
B1_plus_lead_interactions,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.10177680964708508,0.002169175420313423,2.0672241755586924
B1_plus_lead_interactions,kpx_group_3,ficr_boundary_8_12pct,212,0.07922748052986421,0.08120711003542756,0.0019796295055633626,0.41968145517943284
B1_plus_lead_interactions,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.13943275374641514,-0.002047026196482458,-2.7696264438407656
B1_plus_lead_interactions,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.11970861500975122,0.0003484555288298498,0.7976147054915262
B1_plus_lead_interactions,kpx_group_3,very_high_80pct_plus,712,0.25971991038883857,0.25626418960538966,-0.003455720783448976,-2.460473197815671
B1_plus_all_score_insights,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.06797577220031159,-0.0028795046697083714,-0.6306115226661333
B1_plus_all_score_insights,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.13204871379554317,0.005294314556199694,8.529140750037708
B1_plus_all_score_insights,kpx_group_1,mid_12_50pct,2319,0.11421912651372394,0.11404136800386638,-0.00017775850985755947,-0.4122219843596804
B1_plus_all_score_insights,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.1359533129582721,0.0006269004695713245,0.5265963944399126
B1_plus_all_score_insights,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121255,0.09940634192421152,-0.00401842425700102,-0.9001270335682284
B1_plus_all_score_insights,kpx_group_2,high_50_80pct,1584,0.13049351358105343,0.13243537595886348,0.0019418623778100661,3.075910006451145
B1_plus_all_score_insights,kpx_group_2,mid_12_50pct,2215,0.13206313343488013,0.1326635952328615,0.0006004617979813845,1.3300228825287665
B1_plus_all_score_insights,kpx_group_2,very_high_80pct_plus,953,0.09960763422677164,0.09903749839241507,-0.0005701358343565674,-0.5433394501418087
B1_plus_all_score_insights,kpx_group_3,ficr_boundary_8_12pct,212,0.07922748052986421,0.07955193560639348,0.00032445507652928705,0.06878447622420886
B1_plus_all_score_insights,kpx_group_3,high_50_80pct,1353,0.14147977994289762,0.14169961591427424,0.00021983597137659557,0.2974380692725338
B1_plus_all_score_insights,kpx_group_3,mid_12_50pct,2289,0.1193601594809214,0.12115484941828146,0.0017946899373600562,4.108045266617169
B1_plus_all_score_insights,kpx_group_3,very_high_80pct_plus,712,0.25971991038883857,0.2519447888167463,-0.007775121572092286,-5.5358865593297075
B1_all_plus_2025_exposure_weight,kpx_group_1,ficr_boundary_8_12pct,219,0.07085527687001997,0.06954049810636974,-0.001314778763650229,-0.28793654923940015
B1_all_plus_2025_exposure_weight,kpx_group_1,high_50_80pct,1611,0.12675439923934345,0.1296728010512699,0.0029184018119264546,4.701545319013518
B1_all_plus_2025_exposure_weight,kpx_group_1,mid_12_50pct,2319,0.11421912651372394,0.11534866929109865,0.0011295427773746966,2.6194097007319215
B1_all_plus_2025_exposure_weight,kpx_group_1,very_high_80pct_plus,840,0.13532641248870075,0.13636305682024527,0.0010366443315445218,0.8707812384973983
B1_all_plus_2025_exposure_weight,kpx_group_2,ficr_boundary_8_12pct,224,0.10342476618121255,0.10061716903171111,-0.002807597149501428,-0.6289017614883199
B1_all_plus_2025_exposure_weight,kpx_group_2,high_50_80pct,1584,0.13049351358105343,0.1312534219707291,0.000759908389675655,1.2036948892462376
