model_id,target,nmae,ficr,eligible_hours,group_score
autogluon_tabular__alpha,kpx_group_1,0.12410179629271666,0.3364685744411139,4989,0.6061833890741986
autogluon_tabular__alpha,kpx_group_2,0.12289836850953455,0.42589612508345215,4976,0.6514988782869588
autogluon_tabular__alpha,kpx_group_3,0.14800903848764363,0.2621276684717159,4566,0.5570593149920362
catboost_quantile_050_depth6__alpha,kpx_group_1,0.12157725266836479,0.38816065227201685,4989,0.633291699801826
catboost_quantile_050_depth6__alpha,kpx_group_2,0.1274772366107007,0.42451534395987645,4976,0.648519053674588
catboost_quantile_050_depth6__alpha,kpx_group_3,0.14324791945133783,0.272707828920105,4566,0.5647299547343836
catboost_quantile_0525_depth6__alpha,kpx_group_1,0.12024181087207919,0.4038131087271791,4989,0.64178564892755
catboost_quantile_0525_depth6__alpha,kpx_group_2,0.12730321964742133,0.4281850186525946,4976,0.6504408995025867
catboost_quantile_0525_depth6__alpha,kpx_group_3,0.14200779086640064,0.2863563963504026,4566,0.572174302742001
catboost_quantile_055_depth4_reg__alpha,kpx_group_1,0.12154182413818848,0.40429066826921606,4989,0.6413744220655138
catboost_quantile_055_depth4_reg__alpha,kpx_group_2,0.12936031157780953,0.42488983507381584,4976,0.6477647617480031
catboost_quantile_055_depth4_reg__alpha,kpx_group_3,0.1391248298746509,0.2965964008738628,4566,0.5787357854996059
catboost_quantile_055_depth8__alpha,kpx_group_1,0.11962262772822888,0.40449874873202674,4989,0.6424380605018989
catboost_quantile_055_depth8__alpha,kpx_group_2,0.1268002504723981,0.4314389122766297,4976,0.6523193309021158
catboost_quantile_055_depth8__alpha,kpx_group_3,0.13968327962942603,0.29277291294904684,4566,0.5765448166598104
catboost_quantile_055__alpha,kpx_group_1,0.11979541908332973,0.4044478082404315,4989,0.6423261945785509
catboost_quantile_055__alpha,kpx_group_2,0.1280503898583972,0.43096263835284376,4976,0.6514561242472232
catboost_quantile_055__alpha,kpx_group_3,0.14120560642345314,0.2895716180611912,4566,0.574183005818869
catboost_quantile_0575_depth6__alpha,kpx_group_1,0.11892505236574816,0.42514810554492555,4989,0.6531115265895887
catboost_quantile_0575_depth6__alpha,kpx_group_2,0.12833689626861058,0.4439450499603395,4976,0.6578040768458645
catboost_quantile_0575_depth6__alpha,kpx_group_3,0.13921389773641787,0.29582785964842206,4566,0.5783069809560021
catboost_quantile_060_depth6__alpha,kpx_group_1,0.12033228196414383,0.4286508611992279,4989,0.6541592896175421
catboost_quantile_060_depth6__alpha,kpx_group_2,0.12993128118427802,0.4309336044791589,4976,0.6505011616474404
catboost_quantile_060_depth6__alpha,kpx_group_3,0.13850696572418297,0.3048177208828103,4566,0.5831553775793137
catboost_rmse__alpha,kpx_group_1,0.11827239225623329,0.3801264109772227,4989,0.6309270093604947
catboost_rmse__alpha,kpx_group_2,0.12283826312143967,0.41248921567092095,4976,0.6448254762747406
catboost_rmse__alpha,kpx_group_3,0.14497184880842542,0.2732587542005738,4566,0.5641434526960742
ebm_bins192_inter12__alpha,kpx_group_1,0.12386398417324364,0.36252370603622325,4989,0.6193298609314898
ebm_bins192_inter12__alpha,kpx_group_2,0.12971395563574137,0.39585751142125103,4976,0.6330717778927548
ebm_bins192_inter12__alpha,kpx_group_3,0.15779617890687556,0.24432930572262143,4566,0.5432665634078729
ebm_low_interaction__alpha,kpx_group_1,0.12253012942748484,0.37045444683819173,4989,0.6239621587053534
ebm_low_interaction__alpha,kpx_group_2,0.12707911665511354,0.39742770142463024,4976,0.6351742923847583
ebm_low_interaction__alpha,kpx_group_3,0.15963851684919836,0.2377195258702514,4566,0.5390405045105265
elastic_net_stronger_l1__alpha,kpx_group_1,0.12551447759190343,0.3574038732252785,4989,0.6159446978166875
elastic_net_stronger_l1__alpha,kpx_group_2,0.13903340025409835,0.31870566730372346,4976,0.5898361335248126
elastic_net_stronger_l1__alpha,kpx_group_3,0.14843988301876576,0.26673471359325096,4566,0.5591474152872427
elastic_net__alpha,kpx_group_1,0.12603437668064618,0.35403241615177156,4989,0.6139990197355627
elastic_net__alpha,kpx_group_2,0.14483380979806545,0.30298135477038624,4976,0.5790737724861603
elastic_net__alpha,kpx_group_3,0.14876533666682376,0.26805379047361605,4566,0.5596442269033961
explainable_boosting__alpha,kpx_group_1,0.122418866595048,0.37166325676518247,4989,0.6246221950850672
explainable_boosting__alpha,kpx_group_2,0.1311938986486185,0.393978041871437,4976,0.6313920716114092
explainable_boosting__alpha,kpx_group_3,0.1562466712729556,0.24739296662008933,4566,0.5455731476735669
extra_trees_bootstrap_leaf3__alpha,kpx_group_1,0.12042126610581105,0.350838542638917,4989,0.6152086382665529
extra_trees_bootstrap_leaf3__alpha,kpx_group_2,0.12091558099745219,0.4163443008388489,4976,0.6477143599206984
extra_trees_bootstrap_leaf3__alpha,kpx_group_3,0.14417025856030688,0.26647516128945475,4566,0.5611524513645739
extra_trees_leaf5_sqrt__alpha,kpx_group_1,0.12422427003210235,0.30003526019087307,4989,0.5879054950793854
extra_trees_leaf5_sqrt__alpha,kpx_group_2,0.12369245495448655,0.38551076184283434,4976,0.6309091534441739
extra_trees_leaf5_sqrt__alpha,kpx_group_3,0.14642770979382863,0.2558749275593753,4566,0.5547236088827733
extra_trees_wide__alpha,kpx_group_1,0.11992867916705202,0.35425527282531016,4989,0.6171632968291291
extra_trees_wide__alpha,kpx_group_2,0.12146273650217435,0.41615862807801324,4976,0.6473479457879194
extra_trees_wide__alpha,kpx_group_3,0.14482430613686129,0.2688031919070011,4566,0.5619894428850699
