model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm,months_better_than_current_anchor,groups_better_than_current_anchor,delta_vs_current_anchor
autogluon_tabular,AutoGluon Tabular,0.5963713825810504,0.8669642331751969,0.32577853198690393,1.03,0.6049138607843978,0.868330265570035,0.3414974559987607,0.13166973442996496,-0.015812114115602238,0.5744301760145775,0.5886161949480024,0.6061833890741986,0.6514988782869588,0.5570593149920362,892.5911006999668,13.900535700027833,ok,"AutoGluon first-pass; time_limit_per_target=240; leaders={'kpx_group_1': 'WeightedEnsemble_L2', 'kpx_group_2': 'WeightedEnsemble_L2', 'kpx_group_3': 'WeightedEnsemble_L2'}",3.0,0.0,2.0,0.0,-0.02117622641560224
catboost_quantile_050_depth6,CatBoost,0.6058210636631557,0.8681876050177357,0.3434545223085757,1.03,0.6155135694035991,0.8692325304231989,0.3617946083839994,0.1307674695768011,-0.005212405496400896,0.5949379818965629,0.6139224366352185,0.633291699801826,0.648519053674588,0.5647299547343836,30.49432470003376,0.0365226999274455,ok,CatBoost Quantile q=0.50 ensemble-oriented variant,3.0,1.0,0.0,0.0,-0.010576517796400897
catboost_quantile_0525_depth6,CatBoost,0.6151839849301847,0.8699763624757457,0.36039160738462356,1.03,0.6214669503907125,0.8701490595380329,0.3727848412433921,0.12985094046196707,0.0007409754907125032,0.589669426485128,0.625466926053646,0.64178564892755,0.6504408995025867,0.572174302742001,28.2721030000248,0.0350692000356502,ok,CatBoost Quantile q=0.525 ensemble-oriented variant,5.0,1.0,3.0,1.0,-0.004623136809287498
catboost_quantile_055_depth4_reg,CatBoost,0.6181260756645859,0.8704956916748489,0.36575645965432296,1.0275,0.622624989771041,0.8699910114697837,0.37525896807229825,0.1300089885302163,0.0018990148710409382,0.5941785591999296,0.6309714809379091,0.6413744220655138,0.6477647617480031,0.5787357854996059,17.51896300003864,0.056325800018385,ok,CatBoost Quantile q=0.55 shallow regularized variant,3.0,1.0,3.0,1.0,-0.003465097428959063
catboost_quantile_055_depth8,CatBoost,0.6167259590511056,0.8712511072895069,0.36220081081270433,1.03,0.6237674026879417,0.8712979473899823,0.37623685798590106,0.12870205261001766,0.0030414277879416973,0.5968230964040491,0.6278635372603378,0.6424380605018989,0.6523193309021158,0.5765448166598104,95.94281239999692,0.0672222999855876,ok,CatBoost Quantile q=0.55 deeper variant,7.0,1.0,4.0,1.0,-0.002322684512058304
catboost_quantile_055,CatBoost,0.6188512296904316,0.8706411815873153,0.36706127779354786,1.025,0.622655108214881,0.8703161948782733,0.3749940215514888,0.1296838051217267,0.001929133314880982,0.5932831179721162,0.6292680247808355,0.6423261945785509,0.6514561242472232,0.574183005818869,,,ok,CatBoost Quantile q=0.55 first-pass; loaded cached prediction,6.0,1.0,3.0,1.0,-0.0034349789851190193
catboost_quantile_0575_depth6,CatBoost,0.6233589716932273,0.8721091275441599,0.3746088158422947,1.03,0.6297408614638184,0.8711747178764078,0.388307005051229,0.1288252821235922,0.009014886563818325,0.6023877311834722,0.641978000380094,0.6531115265895887,0.6578040768458645,0.5783069809560021,26.667491299915127,0.0376245999359525,ok,CatBoost Quantile q=0.575 ensemble-oriented variant,10.0,3.0,8.0,2.0,0.003650774263818324
catboost_quantile_060_depth6,CatBoost,0.6275673457334122,0.8721939213035163,0.38294077016330813,1.03,0.6292719429480987,0.8704098237091318,0.3881340621870657,0.12959017629086828,0.008545968048098707,0.5929031196958734,0.6441370304920327,0.6541592896175421,0.6505011616474404,0.5831553775793137,30.97821080003632,0.0650802999152802,ok,CatBoost Quantile q=0.60 ensemble-oriented variant,9.0,2.0,8.0,2.0,0.0031818557480987053
catboost_rmse,CatBoost,0.6036526000115007,0.8698776502770842,0.3374275497459171,1.03,0.6132986461104365,0.8713058319379672,0.3552914602829058,0.1286941680620328,-0.0074273287895635365,0.5795106295766748,0.6038208233078873,0.6309270093604947,0.6448254762747406,0.5641434526960742,,,ok,CatBoost RMSE first-pass diversity; loaded cached prediction,5.0,1.0,2.0,0.0,-0.012791441089563538
ebm_bins192_inter12,ExplainableBoostingMachine,0.5927849153317343,0.8622297570239531,0.3233400736395155,1.03,0.5985560674107059,0.8628752937613798,0.3342368410600319,0.1371247062386202,-0.02216990748929415,0.578048079294796,0.586719070873883,0.6193298609314898,0.6330717778927548,0.5432665634078729,386.3230422000052,0.2340974999242462,ok,EBM diversity variant bins=192 interactions=12 single-process,1.0,0.0,1.0,0.0,-0.02753401978929415
ebm_low_interaction,ExplainableBoostingMachine,0.5920362988909285,0.8627788724729634,0.3212937253088936,1.03,0.5993923185335461,0.8635840790227344,0.3352005580443578,0.1364159209772656,-0.0213336563664539,0.5798016015759678,0.5874650583059908,0.6239621587053534,0.6351742923847583,0.5390405045105265,279.4330014999723,0.2493831000174395,ok,EBM conservative low-interaction variant single-process,2.0,0.0,0.0,0.0,-0.026697768666453903
elastic_net_stronger_l1,linear,0.5815929277383123,0.8606379857672424,0.30254786970938213,1.03,0.5883094155429143,0.8623374130450775,0.314281418040751,0.1376625869549225,-0.03241655935708576,0.5508595396354972,0.5624214244974379,0.6159446978166875,0.5898361335248126,0.5591474152872427,6.360420900047757,0.0810790999094024,ok,linear diversity variant with stronger L1 ratio,0.0,0.0,0.0,0.0,-0.03778067165708576
elastic_net,linear,0.5775473547567074,0.858104965776228,0.2969897437371869,1.03,0.5842390063750398,0.8601221589514882,0.30835585379859126,0.13987784104851178,-0.03648696852496025,0.5523059643448531,0.5566925975040982,0.6139990197355627,0.5790737724861603,0.5596442269033961,,,ok,previously deferred; first-pass linear sparse baseline; loaded cached prediction,0.0,0.0,0.0,0.0,-0.04185108082496025
explainable_boosting,ExplainableBoostingMachine,0.5937530480561247,0.8625392596996013,0.3249668364126482,1.03,0.6005291381233478,0.8633801878277927,0.33767808841890296,0.13661981217220737,-0.020196836776652183,0.5802276491195268,0.5890731917397385,0.6246221950850672,0.6313920716114092,0.5455731476735669,163.8885218999931,0.210635400027968,ok,EBM first-pass sampled,1.0,0.0,0.0,0.0,-0.025560949076652184
extra_trees_bootstrap_leaf3,sklearn ExtraTrees,0.5926277787994628,0.8688247738731687,0.316430783725757,1.03,0.6080251498506084,0.8714976314454767,0.3445526682557402,0.12850236855452338,-0.012700825049391629,0.5652148444720198,0.5907119916795789,0.6152086382665529,0.6477143599206984,0.5611524513645739,19.85585649992572,0.3500273000099696,ok,diversity ExtraTrees variant: bootstrap,2.0,0.0,0.0,0.0,-0.01806493734939163
extra_trees_leaf5_sqrt,sklearn ExtraTrees,0.5761301106301624,0.8650948525517962,0.28716536870852855,1.03,0.5911794191354441,0.8685518550731941,0.31380698319769423,0.13144814492680584,-0.029546555764555893,0.5451168291552458,0.5644771944591419,0.5879054950793854,0.6309091534441739,0.5547236088827733,3.526993900013622,0.3952226000255905,ok,diversity ExtraTrees variant: sqrt features and larger leaves,1.0,0.0,1.0,0.0,-0.034910668064555894
extra_trees_wide,sklearn ExtraTrees,0.5936166128940831,0.868614930241205,0.31861829554696114,1.03,0.6088335618340395,0.8712614260646374,0.34640569760344153,0.12873857393536256,-0.011892413065960561,0.5664201178951153,0.592181819879221,0.6171632968291291,0.6473479457879194,0.5619894428850699,,,ok,bagging diversity; wider than #4 first run; loaded cached prediction,2.0,0.0,1.0,0.0,-0.017256525365960562
flaml_automl,FLAML AutoML,0.5860972680484775,0.8567349254592095,0.31545961063774547,1.03,0.5939642178502578,0.8575007580139482,0.3304276776865672,0.1424992419860518,-0.026761757049742263,0.5696775965895868,0.5835648368012838,0.6202866693152214,0.6178002733818728,0.5438057108536789,,,ok,loaded cached prediction,1.0,0.0,0.0,0.0,-0.032125869349742264
gradient_boosting_quantile,sklearn GradientBoosting,0.6029589498576766,0.8688864059533535,0.3370314937619996,1.03,0.612810912750066,0.8695676164566335,0.35605420904349855,0.13043238354336656,-0.007915062149933982,0.5856902693860848,0.6111202667981193,0.6165560471045096,0.6369910872286189,0.5848856039170696,,,ok,quantile boosting q=0.55 for underprediction-bias diversity; loaded cached prediction,3.0,1.0,2.0,1.0,-0.013279174449933984
h2o_automl,H2O AutoML,0.6037014174693449,0.8672749524896973,0.34012788244899245,1.03,0.6110201755172882,0.868182018211591,0.3538583328229854,0.13181798178840898,-0.009705799382711877,0.5856291632936483,0.6049826096787786,0.6327794392075596,0.6395236922699203,0.5607573950743846,,,ok,loaded cached prediction,2.0,0.0,2.0,0.0,-0.015069911682711878
hist_gbdt_absolute,sklearn HistGradientBoosting,0.6106209930450941,0.869713944934848,0.35152804115534014,1.03,0.6187155761476404,0.8708187155664312,0.36661243672884963,0.1291812844335688,-0.0020103987523596434,0.5987855488129422,0.6121314201258928,0.6386173096984984,0.6518898970775797,0.5656395216668431,,,ok,sklearn boosting absolute-error variant; loaded cached prediction,4.0,1.0,2.0,0.0,-0.007374511052359645
hist_gbdt_l2_leaf63,sklearn HistGradientBoosting,0.6010076395534332,0.8664195823381965,0.33559569676866974,1.03,0.6115725628214681,0.8676983193247214,0.35544680631821485,0.13230168067527853,-0.00915341207853193,0.5788005963992855,0.6019248318760705,0.6377944334968982,0.6477894459121463,0.5491338090553599,38.92655440006638,0.3105804999941028,ok,HistGBDT squared-error variant with larger leaf budget,4.0,0.0,2.0,0.0,-0.014517524378531932
hist_gbdt_quantile_055,sklearn HistGradientBoosting,0.6182788479048813,0.8717405928469434,0.3648171029628191,1.03,0.624481088084471,0.8717446310718024,0.3772175450971395,0.12825536892819758,0.0037551131844709706,0.6005883738859572,0.6238347791896058,0.6498229552928629,0.6571068942329743,0.5665134147275757,26.81320220005,0.1669684000662528,ok,HistGBDT quantile q=0.55 diversity variant,8.0,3.0,6.0,1.0,-0.0016089991155290306
huber_epsilon_18,linear,0.5878286924168498,0.8631655934669744,0.31249179136672517,1.03,0.5952105824655949,0.8645738564570673,0.3258473084741225,0.13542614354293264,-0.02551539243440515,0.5641058766647302,0.5726573391981401,0.6199244786047343,0.5893231681049065,0.576384100687144,5.404100400046445,0.0776297000120394,ok,robust linear diversity variant with wider Huber epsilon,0.0,1.0,0.0,1.0,-0.03087950473440515
huber_regressor,linear,0.5836765455669186,0.8603354439486044,0.3070176471852328,1.03,0.590969507319831,0.8617855443131704,0.3201534703264916,0.13821445568682952,-0.029756467580169033,0.56556211661536,0.5670533020213985,0.6171073425958209,0.5854220343092238,0.5703791450544484,,,ok,previously deferred; robust linear baseline; loaded cached prediction,0.0,1.0,0.0,0.0,-0.035120579880169034
knn_distance,neighbors,0.5209899307288152,0.8276003087154912,0.21437955274213907,1.03,0.5325314039706474,0.83183024787612,0.2332325600651746,0.16816975212387994,-0.08819457092935268,0.45621819217231885,0.4834637757829084,0.5419983533925818,0.5438048851373631,0.5117909733819971,,,ok,distance-weighted KNN with robust scaling; loaded cached prediction,0.0,0.0,0.0,0.0,-0.09355868322935268
