slice_type,target,count,eligible_count,actual_sum,mean_bias,median_bias,normalized_mean_bias,underprediction_rate,overprediction_rate,mean_abs_error,normalized_abs_error,ficr_fail_rate,near_boundary_fail_rate,large_fail_rate,impact_proxy,month,hour,actual_bin,high_generation_flag,near_zero_flag,recommended_next_audit_route
target,kpx_group_2,8784,4976,56954874.392,765.5165733194212,394.28749557964215,0.035440582098121357,0.34266848816029144,0.6512978142076503,2104.5241284741596,0.09743167261454445,0.31682604735883424,0.04644808743169399,0.11281876138433515,484.8200029299732,,,,,,feature sufficiency audit
target,kpx_group_1,8784,4989,55324992.167,563.2060493133554,321.5716674534589,0.02607435413487757,0.37033242258652094,0.6255692167577414,2053.1817987823097,0.09505471290658841,0.3158014571948998,0.050546448087431695,0.10154826958105646,474.2279626909696,,,,,,feature sufficiency audit
target,kpx_group_3,8784,4566,48171036.979,242.9487963828352,153.52469379182762,0.011568990303944532,0.3783014571948998,0.614867941712204,1975.9074893988984,0.09409083282851897,0.32991803278688525,0.040983606557377046,0.12465846994535519,429.61874269501766,,,,,,feature sufficiency audit
month,,2232,1492,18267518.023,2078.0055861456385,966.878946012348,0.09652140376397235,0.32661290322580644,0.668010752688172,3689.403976014962,0.1721574283210921,0.3982974910394265,0.04032258064516129,0.15949820788530467,256.8588830550694,1.0,,,,,feature sufficiency audit
month,,2232,2038,27589066.684,645.7486513716613,520.1953264068206,0.030670229753007046,0.414426523297491,0.5842293906810035,2410.236495492784,0.11271386342016251,0.5089605734767025,0.08333333333333333,0.15098566308243727,229.7108536502912,12.0,,,,,feature sufficiency audit
month,,2232,1587,17059280.252,562.8929523818717,408.5420781536834,0.026040089533336974,0.3920250896057348,0.6025985663082437,2509.8214640143497,0.11729628415985005,0.4368279569892473,0.051075268817204304,0.1774193548387097,186.14920296168202,3.0,,,,,feature sufficiency audit
month,,2232,1577,20950867.698,645.427870647917,367.19439939900576,0.029886921964702117,0.3579749103942652,0.6308243727598566,2380.3881543135326,0.1112943695388045,0.44623655913978494,0.06899641577060932,0.15053763440860216,175.5112207626947,7.0,,,,,feature sufficiency audit
month,,2232,1545,16603199.027,287.3876552329488,271.4981467869567,0.013358905996361557,0.4175627240143369,0.5824372759856631,2173.3027119402022,0.1015990944885293,0.39695340501792115,0.05600358422939068,0.14023297491039427,156.97060098477778,5.0,,,,,feature sufficiency audit
month,,2160,1166,9703506.168,255.20181825439607,278.1670720797831,0.011724934229825987,0.38564814814814813,0.6138888888888889,1853.5638011599845,0.0866005816972218,0.28935185185185186,0.04583333333333333,0.09259259259259259,100.97627825896062,4.0,,,,,feature sufficiency audit
month,,2160,963,12234255.066,410.5203318294885,326.2635430860249,0.018947407191728306,0.3527777777777778,0.6467592592592593,1836.9052410867012,0.08588363595200625,0.26944444444444443,0.047685185185185185,0.09074074074074075,82.70594142178201,11.0,,,,,feature sufficiency audit
month,,2160,970,8130117.079,502.98110997670653,270.0050412416611,0.02339030067459315,0.33564814814814814,0.6527777777777778,1640.4523905113492,0.07660877071404518,0.2657407407407407,0.03425925925925926,0.1037037037037037,74.31050759262382,6.0,,,,,feature sufficiency audit
month,,2088,772,9838375.122,877.3995388850203,483.6261463205588,0.04097505393208068,0.2231800766283525,0.7562260536398467,2020.368189042121,0.09445970686609002,0.22653256704980843,0.027777777777777776,0.08764367816091954,72.9228937006215,2.0,,,,,feature sufficiency audit
month,,2232,895,8049918.865,32.280935036978164,167.84149420967344,0.0013808745659195907,0.3996415770609319,0.5972222222222222,1507.546822526312,0.07039305217310857,0.2114695340501792,0.034050179211469536,0.07168458781362007,63.00178169493217,10.0,,,,,feature sufficiency audit
month,,2160,837,5602969.472,11.674637864486499,154.20370383775025,0.0005287131769962731,0.37592592592592594,0.6212962962962963,1284.0022155996614,0.05993823195476838,0.1986111111111111,0.03287037037037037,0.05925925925925926,50.168300146141135,9.0,,,,,feature sufficiency audit
month,,2232,689,6421830.082,-28.57029907838927,79.12227343233505,-0.001355095946260483,0.37455197132616486,0.6191756272401434,1179.1846494460158,0.055065091366901166,0.18727598566308243,0.027777777777777776,0.0667562724014337,37.9398479517949,8.0,,,,,feature sufficiency audit
hour,,1098,698,8032013.493,338.3452423821102,246.11314369719946,0.015596149653008512,0.4207650273224044,0.5765027322404371,2453.4235178693875,0.11462315346401995,0.40619307832422585,0.0546448087431694,0.1575591985428051,80.00696111788592,,23.0,,,,feature sufficiency audit
hour,,1098,685,7896493.697,574.2322331571696,441.7123904176239,0.026618842384312075,0.38160291438979965,0.6165755919854281,2442.8897647796152,0.11415951327466645,0.3788706739526412,0.04644808743169399,0.14754098360655737,78.19926659314652,,0.0,,,,feature sufficiency audit
hour,,1098,719,8171235.851,588.3559965556467,351.31048684549626,0.027356024662066766,0.3743169398907104,0.6238615664845173,2272.333210581132,0.10618672860494882,0.36156648451730417,0.061930783242258654,0.11839708561020036,76.3482578669582,,4.0,,,,feature sufficiency audit
hour,,1098,674,7683639.404,472.5229077700033,376.08426648163015,0.021851976776694003,0.3843351548269581,0.6111111111111112,2414.9295117218617,0.11283262761030746,0.37340619307832423,0.04644808743169399,0.15300546448087432,76.04919100934723,,22.0,,,,feature sufficiency audit
hour,,1098,688,7896551.57,888.9708947848219,533.7836401191315,0.0413211865626129,0.34972677595628415,0.6457194899817851,2340.1386866627354,0.10934284798979271,0.3551912568306011,0.04644808743169399,0.1302367941712204,75.22787941697739,,2.0,,,,feature sufficiency audit
hour,,1098,701,8021339.704,559.1943478725686,305.456053120241,0.026004269373479064,0.39526411657559196,0.6038251366120219,2283.8113412348007,0.10669650985613419,0.3533697632058288,0.044626593806921674,0.12021857923497267,74.79425340915006,,5.0,,,,feature sufficiency audit
hour,,1098,689,8099990.322,736.2349689193034,427.9693186505979,0.03423636855411114,0.3761384335154827,0.6229508196721312,2298.198237845073,0.10738451485238834,0.348816029143898,0.04918032786885246,0.12295081967213115,73.98793073329557,,3.0,,,,feature sufficiency audit
hour,,1098,688,7658184.254,606.2003700772115,376.6685769414927,0.02820972839187969,0.36885245901639346,0.6293260473588342,2249.607007704068,0.10509877984135609,0.366120218579235,0.04553734061930783,0.12750455373406194,72.30796053085298,,6.0,,,,feature sufficiency audit
hour,,1098,693,7909163.428,725.9699069074949,433.51674095500863,0.03371622045167157,0.37067395264116576,0.6275045537340619,2232.2043077712433,0.10431640913943999,0.3542805100182149,0.05009107468123861,0.12386156648451731,72.29127153363191,,1.0,,,,feature sufficiency audit
hour,,1098,648,7353893.87,481.572383542844,255.64549478809272,0.02241849932471911,0.3870673952641166,0.6120218579234973,2211.503909848743,0.10333519612276347,0.34790528233151186,0.042805100182149364,0.13296903460837886,66.96120708755073,,7.0,,,,feature sufficiency audit
hour,,1098,649,7285164.928,290.31721619613614,211.5035572521126,0.013430866483613302,0.4098360655737705,0.587431693989071,2153.1874228561455,0.10062647596185689,0.3451730418943534,0.042805100182149364,0.13114754098360656,65.30658289924513,,21.0,,,,feature sufficiency audit
hour,,1098,634,6939437.603,440.85895480589903,221.3851896663674,0.02047318655402269,0.38160291438979965,0.6174863387978142,2094.9054097192015,0.09784401106512161,0.3242258652094718,0.037340619307832425,0.11202185792349727,62.033103015287104,,8.0,,,,feature sufficiency audit
hour,,1098,602,6640252.719,624.5626595597614,324.9551632746321,0.029062185335767005,0.3633879781420765,0.6320582877959927,2193.289528963506,0.10249395469333406,0.34153005464480873,0.05009107468123861,0.1366120218579235,61.701360725387104,,20.0,,,,feature sufficiency audit
hour,,1098,566,6089003.926,717.7204713799559,309.26435041872855,0.03339826161147236,0.33788706739526414,0.6602914389799636,2036.3030814396775,0.09513257980574426,0.3132969034608379,0.05191256830601093,0.1111111111111111,53.84504017005125,,19.0,,,,feature sufficiency audit
hour,,1098,589,6487651.935,427.1688840065537,234.7268700450855,0.019819753000039228,0.35154826958105645,0.644808743169399,1916.1351951676945,0.08947504487369819,0.2959927140255009,0.04553734061930783,0.10109289617486339,52.70080143060823,,9.0,,,,feature sufficiency audit
hour,,1098,544,5593177.936,794.8204468213366,376.983033102509,0.037036089385896996,0.3123861566484517,0.6848816029143898,1966.6517739791138,0.09185941732038412,0.2923497267759563,0.044626593806921674,0.1029143897996357,49.97152302228896,,18.0,,,,feature sufficiency audit
hour,,1098,550,6015849.271,89.53923551184546,116.77236563500888,0.004106072510379221,0.38160291438979965,0.6056466302367942,1784.8112085583107,0.08336833018566717,0.2996357012750455,0.05555555555555555,0.0947176684881603,45.85258160211694,,10.0,,,,feature sufficiency audit
hour,,1098,502,5348793.975,698.9231072476213,317.23626217251854,0.032565057847857876,0.31693989071038253,0.6739526411657559,1910.5715828961388,0.08927812196499742,0.2768670309653916,0.03825136612021858,0.11384335154826958,44.8176172264287,,17.0,,,,feature sufficiency audit
hour,,1098,523,5477154.493,266.15682479090714,141.6838575256938,0.012411871699551892,0.36885245901639346,0.6183970856102003,1679.5116022268678,0.07848177965909785,0.2795992714025501,0.04918032786885246,0.08287795992714025,41.045970761708176,,11.0,,,,feature sufficiency audit
hour,,1098,498,5168814.43,631.1040042353836,263.64401272778616,0.02943489629699907,0.3069216757741348,0.6785063752276868,1699.349717566613,0.07940833176312911,0.24772313296903462,0.03825136612021858,0.08652094717668488,39.5453492180383,,16.0,,,,feature sufficiency audit
hour,,1098,511,5223123.574,465.6451973860268,224.89652782545744,0.02171783692739321,0.35792349726775957,0.6347905282331512,1620.3148476292051,0.07570687295024309,0.2550091074681239,0.04189435336976321,0.06830601092896176,38.68621207757422,,15.0,,,,feature sufficiency audit
hour,,1098,497,5104467.839,474.43654403073714,241.45759561260542,0.02214200919849071,0.32695810564663025,0.6621129326047359,1632.1557798871079,0.07625424712025027,0.27140255009107467,0.039162112932604735,0.08652094717668488,37.89836081876438,,14.0,,,,feature sufficiency audit
