slice_type,model_id,target,count,candidate_better_abs_error_rate,anchor_fail_candidate_success_count,anchor_fail_candidate_success_rate,candidate_norm_abs_error,anchor_norm_abs_error,actual_bin,month,hour,high_generation_flag,near_zero_flag
actual_bin,tabm_torch,,4394,0.5070550751024124,819,0.1863905325443787,0.15517919799977384,0.1464823624365037,30-60%,,,,
target+near_zero_flag,mlp_regressor_medium,kpx_group_2,4982,0.4678843837816138,774,0.1553592934564432,0.1371237846281813,0.12724201563281665,,,,,False
target,mlp_regressor_medium,kpx_group_2,8784,0.44489981785063754,774,0.08811475409836066,0.10949180411477491,0.09743167261454445,,,,,
actual_bin,tabm_torch,,4497,0.5399154992217033,748,0.16633311096286413,0.10997145183889362,0.1226415449685317,10-30%,,,,
target+near_zero_flag,tabm_torch,kpx_group_2,4982,0.42011240465676436,734,0.14733038940184665,0.15545620897620868,0.12724201563281665,,,,,False
target,tabm_torch,kpx_group_2,8784,0.3789845173041894,734,0.08356102003642987,0.12334297311130954,0.09743167261454445,,,,,
target+high_generation_flag,mlp_regressor_medium,kpx_group_2,7831,0.4726088622142766,732,0.09347465202400715,0.10456154044134626,0.09990926308854271,,,,False,
target+high_generation_flag,tabm_torch,kpx_group_2,7831,0.4017366875239433,702,0.08964372366236752,0.1180829996094638,0.09990926308854271,,,,False,
target+near_zero_flag,tabm_torch,kpx_group_3,4572,0.43241469816272965,680,0.14873140857392825,0.1695129883781167,0.13825807891838035,,,,,False
target,tabm_torch,kpx_group_3,8784,0.4077868852459016,680,0.07741347905282331,0.11317023238083233,0.09409083282851897,,,,,
target+near_zero_flag,tabm_torch,kpx_group_1,4995,0.423023023023023,673,0.13473473473473474,0.14521364247245022,0.11800893368961968,,,,,False
target,tabm_torch,kpx_group_1,8784,0.38831967213114754,673,0.07661657559198543,0.11747827485433912,0.09505471290658841,,,,,
actual_bin,mlp_regressor_medium,,4394,0.5097860719162495,671,0.1527082385070551,0.14604819471093966,0.1464823624365037,30-60%,,,,
actual_bin,explainable_boosting,,4394,0.5530268548020028,651,0.14815657715066,0.1383401341052703,0.1464823624365037,30-60%,,,,
target+near_zero_flag,explainable_boosting,kpx_group_2,4982,0.47430750702529106,647,0.12986752308309915,0.1311938986486185,0.12724201563281665,,,,,False
target,explainable_boosting,kpx_group_2,8784,0.4464936247723133,647,0.07365664845173042,0.10625990036187963,0.09743167261454445,,,,,
target+high_generation_flag,tabm_torch,kpx_group_1,7944,0.4111278952668681,640,0.08056394763343404,0.10965258334177841,0.09463252111207307,,,,False,
target+high_generation_flag,tabm_torch,kpx_group_3,8072,0.4209613478691774,625,0.07742814667988107,0.09687700829281506,0.08504190260531146,,,,False,
target+high_generation_flag,explainable_boosting,kpx_group_2,7831,0.4694164219129102,597,0.07623547439662878,0.10496974755436783,0.09990926308854271,,,,False,
actual_bin,extra_trees_wide,,4394,0.6219845243513883,594,0.135184342284934,0.12607799462253447,0.1464823624365037,30-60%,,,,
target+near_zero_flag,mlp_regressor_medium,kpx_group_1,4995,0.4278278278278278,593,0.11871871871871872,0.13122330116028014,0.11800893368961968,,,,,False
target,mlp_regressor_medium,kpx_group_1,8784,0.41006375227686703,593,0.06750910746812386,0.1126225906740083,0.09505471290658841,,,,,
target+near_zero_flag,extra_trees_wide,kpx_group_2,4982,0.5475712565234846,587,0.11782416700120434,0.12146273650217435,0.12724201563281665,,,,,False
target,extra_trees_wide,kpx_group_2,8784,0.4600409836065574,587,0.06682604735883424,0.09715817845173429,0.09743167261454445,,,,,
