model_id,model_family,raw_score,raw_1_nmae,raw_ficr,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,delta_vs_baseline,worst_month_score,high_generation_score,group_1_score,group_2_score,group_3_score,train_seconds,predict_seconds,status,notes,months_better_than_lgbm,groups_better_than_lgbm
autogluon_tabular,AutoGluon Tabular,0.5964422138497883,0.8671411496559769,0.32574327804359987,1.03,0.606223314806999,0.8685112103810608,0.3439354192329371,0.1314887896189392,-0.014502660093001052,0.5825786358544627,0.5903225241362373,0.6081190900894006,0.6494320018165605,0.5611188525150358,185.8085193000152,0.8304543000413105,ok,"AutoGluon first-pass; time_limit_per_target=60; leaders={'kpx_group_1': 'WeightedEnsemble_L2', 'kpx_group_2': 'WeightedEnsemble_L2', 'kpx_group_3': 'WeightedEnsemble_L2'}",2.0,0.0
catboost_quantile_055,CatBoost,0.6188512296904316,0.8706411815873153,0.36706127779354786,1.025,0.622655108214881,0.8703161948782733,0.3749940215514888,0.1296838051217267,0.001929133314880982,0.5932831179721162,0.6292680247808355,0.6423261945785509,0.6514561242472232,0.574183005818869,,,ok,CatBoost Quantile q=0.55 first-pass; loaded cached prediction,6.0,1.0
catboost_rmse,CatBoost,0.6036526000115007,0.8698776502770842,0.3374275497459171,1.03,0.6132986461104365,0.8713058319379672,0.3552914602829058,0.1286941680620328,-0.0074273287895635365,0.5795106295766748,0.6038208233078873,0.6309270093604947,0.6448254762747406,0.5641434526960742,,,ok,CatBoost RMSE first-pass diversity; loaded cached prediction,5.0,1.0
elastic_net,linear,0.5775473547567074,0.858104965776228,0.2969897437371869,1.03,0.5842390063750398,0.8601221589514882,0.30835585379859126,0.13987784104851178,-0.03648696852496025,0.5523059643448531,0.5566925975040982,0.6139990197355627,0.5790737724861603,0.5596442269033961,,,ok,previously deferred; first-pass linear sparse baseline; loaded cached prediction,0.0,0.0
explainable_boosting,ExplainableBoostingMachine,0.5929069659443688,0.8636362925521299,0.32217763933660754,1.03,0.5997640239316746,0.8644006059422409,0.33512744192110827,0.1355993940577591,-0.020961950968325427,0.5812289140671052,0.5855299982890485,0.6233921481268792,0.6264281148346426,0.5494718088335021,136.98395259998506,0.1700907999766059,ok,EBM first-pass sampled,2.0,0.0
extra_trees_wide,sklearn ExtraTrees,0.5936166128940831,0.868614930241205,0.31861829554696114,1.03,0.6088335618340395,0.8712614260646374,0.34640569760344153,0.12873857393536256,-0.011892413065960561,0.5664201178951153,0.592181819879221,0.6171632968291291,0.6473479457879194,0.5619894428850699,,,ok,bagging diversity; wider than #4 first run; loaded cached prediction,2.0,0.0
flaml_automl,FLAML AutoML,0.5860972680484775,0.8567349254592095,0.31545961063774547,1.03,0.5939642178502578,0.8575007580139482,0.3304276776865672,0.1424992419860518,-0.026761757049742263,0.5696775965895868,0.5835648368012838,0.6202866693152214,0.6178002733818728,0.5438057108536789,,,ok,loaded cached prediction,1.0,0.0
gradient_boosting_quantile,sklearn GradientBoosting,0.6029589498576766,0.8688864059533535,0.3370314937619996,1.03,0.612810912750066,0.8695676164566335,0.35605420904349855,0.13043238354336656,-0.007915062149933982,0.5856902693860848,0.6111202667981193,0.6165560471045096,0.6369910872286189,0.5848856039170696,,,ok,quantile boosting q=0.55 for underprediction-bias diversity; loaded cached prediction,3.0,1.0
h2o_automl,H2O AutoML,0.6037014174693449,0.8672749524896973,0.34012788244899245,1.03,0.6110201755172882,0.868182018211591,0.3538583328229854,0.13181798178840898,-0.009705799382711877,0.5856291632936483,0.6049826096787786,0.6327794392075596,0.6395236922699203,0.5607573950743846,,,ok,loaded cached prediction,2.0,0.0
hist_gbdt_absolute,sklearn HistGradientBoosting,0.6106209930450941,0.869713944934848,0.35152804115534014,1.03,0.6187155761476404,0.8708187155664312,0.36661243672884963,0.1291812844335688,-0.0020103987523596434,0.5987855488129422,0.6121314201258928,0.6386173096984984,0.6518898970775797,0.5656395216668431,,,ok,sklearn boosting absolute-error variant; loaded cached prediction,4.0,1.0
huber_regressor,linear,0.5836765455669186,0.8603354439486044,0.3070176471852328,1.03,0.590969507319831,0.8617855443131704,0.3201534703264916,0.13821445568682952,-0.029756467580169033,0.56556211661536,0.5670533020213985,0.6171073425958209,0.5854220343092238,0.5703791450544484,,,ok,previously deferred; robust linear baseline; loaded cached prediction,0.0,1.0
