experiment_id,score,one_minus_nmae,avg_nmae,ficr,worst_month_score,high_generation_score,delta_score,delta_one_minus_nmae,delta_avg_nmae,delta_ficr,delta_worst_month_score,delta_high_generation_score,method,alpha_kpx_group_1,alpha_kpx_group_2,alpha_kpx_group_3,verdict,reason,lambda
baseline_w4,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,0.0,0.0,0.0,0.0,0.0,0.0,baseline,1.0,1.0,1.0,Baseline,fixed W4 baseline,
A2_group_1.030_1.030_1.030,0.6213552467009833,0.8712021483970117,0.12879785160298826,0.37150834500495483,0.6026838369238885,0.6159288142378625,0.00958789022825668,0.0011734712681223947,-0.0011734712681224224,0.01800230918839102,0.010968917098232334,0.015731828702903905,A2_group,1.03,1.03,1.03,Reject,does not pass Phase 1 acceptance criteria,
A1_global_1.0300,0.6213552467009833,0.8712021483970117,0.12879785160298826,0.37150834500495483,0.6026838369238885,0.6159288142378625,0.00958789022825668,0.0011734712681223947,-0.0011734712681224224,0.01800230918839102,0.010968917098232334,0.015731828702903905,A1_global,1.03,1.03,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_1.025,0.6211681096868009,0.8711079922117163,0.1288920077882837,0.3712282271618856,0.6025894786447451,0.6153710960730597,0.009400753214074298,0.0010793150828269926,-0.0010793150828269926,0.01772219134532177,0.010874558819088942,0.015174110538101138,A2_group,1.03,1.03,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.030,0.6211435225619181,0.871329797985709,0.12867020201429102,0.3709572471381271,0.6028759030070856,0.6154092588956902,0.009376166089191451,0.0013011208568196597,-0.0013011208568196597,0.017451211321563298,0.01116098318142944,0.01521227336073161,A2_group,1.03,1.02,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.030,0.6211166842620935,0.8712729536439994,0.1287270463560006,0.37096041488018766,0.6026170585973316,0.6154122154997606,0.009349327789366924,0.0012442765151100543,-0.001244276515110082,0.01745437906362385,0.010902138771675451,0.015215229964801957,A2_group,1.03,1.025,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.025,0.6209563855477357,0.8712356418004136,0.12876435819958645,0.37067712929505786,0.6027815447279422,0.6148515407308874,0.00918902907500907,0.0012069646715242577,-0.00120696467152423,0.01717109347849405,0.011066624902286049,0.014654555195928842,A2_group,1.03,1.02,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.025,0.6209295472479112,0.871178797458704,0.128821202541296,0.37068029703711836,0.6025227003181883,0.6148544973349577,0.009162190775184542,0.0011501203298146523,-0.00115012032981468,0.017174261220554543,0.01080778049253217,0.014657511799999079,A2_group,1.03,1.025,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.015_1.030,0.6208049016932904,0.8713704297015012,0.1286295702984987,0.3702393736850795,0.6044990201112117,0.614678520641043,0.00903754522056377,0.0013417525726119317,-0.0013417525726119872,0.016733337868515663,0.012784100285555544,0.014481535106084409,A2_group,1.03,1.015,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_1.020,0.6207613308766762,0.8710082799320296,0.12899172006797047,0.37051438182132285,0.6020505857245696,0.6147481111366264,0.008993974403949556,0.0009796028031402448,-0.000979602803140217,0.017008346004759034,0.010335665898913438,0.014551125601667825,A2_group,1.03,1.03,1.02,Reject,does not pass Phase 1 acceptance criteria,
A1_global_1.0275,0.6207259749431353,0.8711552359099702,0.12884476409002976,0.3702967139763003,0.6030160002282019,0.6147216733527106,0.008958618470408686,0.0011265587810809219,-0.0011265587810809219,0.016790678159736505,0.011301080402545738,0.014524687817751958,A1_global,1.0275,1.0275,1.0275,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.030_1.030_1.015,0.6206928393871008,0.8709008103486586,0.12909918965134135,0.370484868425543,0.6017164292227197,0.6143495232666722,0.008925482914374228,0.000872133219769311,-0.0008721332197693388,0.0169788326089792,0.010001509397063568,0.014152537731713655,A2_group,1.03,1.03,1.015,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.015_1.025,0.620617764679108,0.8712762735162058,0.12872372648379413,0.36995925584201017,0.6044046618320682,0.6141208024762402,0.008850408206381388,0.0012475963873165297,-0.0012475963873165574,0.016453220025446358,0.012689742006412041,0.013923816941281641,A2_group,1.03,1.015,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.030_1.030,0.6205865030803577,0.871122618962292,0.12887738103770793,0.37005038719842326,0.6031391784205384,0.614779793027311,0.008819146607631057,0.0010939418334027229,-0.0010939418334027506,0.016544351381859446,0.011424258594882275,0.014582807492352412,A2_group,1.025,1.03,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.020,0.620549606737611,0.8711359295207267,0.12886407047927326,0.3699632839544951,0.6022426518077668,0.614228555794454,0.008782250264884328,0.0011072523918373989,-0.0011072523918374266,0.016457248137931313,0.010527731982110655,0.014031570259495418,A2_group,1.03,1.02,1.02,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.020,0.6205227684377864,0.8710790851790172,0.1289209148209828,0.3699664516965557,0.6019838073980129,0.6142315123985242,0.0087554119650598,0.0010504080501279045,-0.0010504080501278767,0.016460415879991863,0.010268887572356777,0.014034526863565655,A2_group,1.03,1.025,1.02,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.015,0.6204811152480356,0.8710284599373559,0.1289715400626441,0.3699337705587153,0.601908495305917,0.6138299679244998,0.008713758775309,0.000999782808466576,-0.000999782808466576,0.01642773474215148,0.010193575480260786,0.013632982389541248,A2_group,1.03,1.02,1.015,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.015,0.6204542769482111,0.8709716155956463,0.12902838440435369,0.3699369383007758,0.601649650896163,0.6138329245285702,0.008686920475484472,0.0009429384667569707,-0.0009429384667569984,0.016430902484211973,0.009934731070506797,0.013635938993611596,A2_group,1.03,1.025,1.015,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_1.010,0.6204369844619192,0.8707867272696204,0.12921327273037966,0.3700872416542181,0.600730497333493,0.6139266540180773,0.008669627989192574,0.000758050140731048,-0.0007580501407310203,0.016581205837654267,0.00901557750783688,0.01372966848311874,A2_group,1.03,1.03,1.01,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.030_1.025,0.6203993660661753,0.8710284627769966,0.12897153722300336,0.36977026935535395,0.603044820141395,0.6142220748625082,0.008632009593448675,0.0009997856481073208,-0.0009997856481073208,0.01626423353879014,0.011329900315738883,0.014025089327549645,A2_group,1.025,1.03,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.020_1.030,0.6203747789412924,0.8712502685509893,0.12874973144901067,0.3694992893315956,0.6033312445037355,0.6142602376851387,0.008607422468565828,0.001221591422099988,-0.0012215914221000157,0.01599325351503178,0.011616324678079382,0.014063252150180117,A2_group,1.025,1.02,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.025_1.030,0.6203479406414679,0.8711934242092798,0.12880657579072025,0.36950245707365603,0.6030724000939817,0.614263194289209,0.008580584168741301,0.0011647470803904936,-0.001164747080390438,0.01599642125709222,0.011357480268325504,0.014066208754250353,A2_group,1.025,1.025,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.020_1.010,0.620225260322854,0.8709143768583175,0.12908562314168245,0.36953614378739036,0.6009225634166901,0.613407098675905,0.008457903850127346,0.0008856997294282021,-0.0008856997294282298,0.016030107970826546,0.009207643591033987,0.013210113140946445,A2_group,1.03,1.02,1.01,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.015_1.020,0.6202109858689833,0.8711765612365191,0.12882343876348093,0.3692454105014475,0.6038657689118929,0.6134978175398068,0.008443629396256647,0.0011478841076297819,-0.0011478841076297541,0.015739374684883678,0.012150849086236759,0.013300832004848218,A2_group,1.03,1.015,1.02,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.010,0.6201984220230294,0.870857532516608,0.129142467483392,0.3695393115294509,0.6006637190069363,0.6134100552799753,0.008431065550302819,0.0008288553877187077,-0.00082885538771868,0.016033275712887096,0.00894879918128011,0.013213069745016681,A2_group,1.03,1.025,1.01,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.020_1.025,0.6201876419271101,0.8711561123656939,0.1288438876343061,0.36921917148852623,0.6032368862245922,0.6137025195203358,0.008420285454383447,0.001127435236804586,-0.001127435236804586,0.01571313567196242,0.01152196639893599,0.013505533985377238,A2_group,1.025,1.02,1.025,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A1_global_1.0250,0.6201608036272855,0.8710992680239843,0.12890073197601568,0.3692223392305867,0.6029780418148383,0.6137054761244061,0.00839344715455892,0.0010705908950949805,-0.0010705908950950083,0.015716303414022914,0.011263121989182112,0.013508490589447475,A1_global,1.025,1.025,1.025,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.025_1.025_1.025,0.6201608036272855,0.8710992680239843,0.12890073197601568,0.3692223392305867,0.6029780418148383,0.6137054761244061,0.00839344715455892,0.0010705908950949805,-0.0010705908950950083,0.015716303414022914,0.011263121989182112,0.013508490589447475,A2_group,1.025,1.025,1.025,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.030_1.010_1.030,0.6201472530582359,0.8713934661436648,0.12860653385633522,0.3689010399728072,0.6029541316768423,0.6137169773558869,0.008379896585509305,0.001364789014775436,-0.0013647890147754638,0.015395004156243397,0.011239211851186148,0.013519991820928334,A2_group,1.03,1.01,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.015_1.015,0.6201424943794078,0.8710690916531482,0.1289309083468518,0.3692158971056676,0.603531612410043,0.6130992296698526,0.008375137906681207,0.001040414524258848,-0.0010404145242588758,0.015709861289103788,0.01181669258438689,0.012902244134894048,A2_group,1.03,1.015,1.015,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_1.005,0.6200582741946667,0.8706659452888229,0.1293340547111771,0.3694506031005107,0.600127428629597,0.6133182768118,0.008290917721940128,0.0006372681599335905,-0.0006372681599335905,0.015944567283946887,0.008412508803940844,0.013121291276841363,A2_group,1.03,1.03,1.005,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.015_1.030,0.6200361580726648,0.8712909002667817,0.12870909973321837,0.36878141587854785,0.6041864772115317,0.6135294994304914,0.008268801599938147,0.001262223137892371,-0.0012622231378923154,0.015275380061984034,0.012471557385875576,0.013332513895532805,A2_group,1.025,1.015,1.03,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.030_1.020,0.6199925872560506,0.8709287504973099,0.12907124950269014,0.36905642401479116,0.6025059272212197,0.6135990899260747,0.008225230783323934,0.0009000733684205731,-0.0009000733684205453,0.01555038819822735,0.01079100739556349,0.01340210439111611,A2_group,1.025,1.03,1.02,Reject,does not pass Phase 1 acceptance criteria,
A1_global_1.0225,0.619970835376066,0.8710362173110797,0.1289637826889203,0.36890545344105236,0.602730190589186,0.613172434134547,0.00820347890333939,0.0010075401821904029,-0.0010075401821903751,0.015399417624488543,0.011015270763529816,0.012975448599588435,A1_global,1.0225,1.0225,1.0225,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.030_1.010_1.025,0.6199601160440537,0.8712993099583694,0.12870069004163065,0.3686209221297379,0.6028597733976989,0.6131592591910842,0.008192759571327035,0.001270632829480034,-0.001270632829480034,0.015114886313174092,0.011144853572042757,0.012962273656125567,A2_group,1.03,1.01,1.025,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.030_1.015,0.6199240957664751,0.870821280913939,0.12917871908606102,0.36902691061901133,0.6021717707193698,0.6132005020561206,0.008156739293748494,0.0007926037850496392,-0.000792603785049667,0.015520874802447515,0.01045685089371362,0.01300351652116205,A2_group,1.025,1.03,1.015,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.015_1.010,0.6198866394542263,0.8709550085741099,0.12904499142589013,0.3688182703343427,0.6025456805208164,0.6126763604212577,0.008119282981499665,0.0009263314452205851,-0.0009263314452205573,0.015312234517778911,0.010830760695160202,0.012479374886299133,A2_group,1.03,1.015,1.01,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.030_1.000,0.6198715126953064,0.8705384882104505,0.12946151178954943,0.3692045371801623,0.6004616392916017,0.612905036175486,0.008104156222579761,0.0005098110815612289,-0.0005098110815612567,0.01569850136359846,0.008746719465945518,0.01270805064052738,A2_group,1.03,1.03,1.0,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.015_1.025,0.6198490210584824,0.8711967440814862,0.1288032559185138,0.36850129803547854,0.6042170988120494,0.6129717812656886,0.008081664585755766,0.0011680669525968579,-0.0011680669525968856,0.014995262218914729,0.012502178986393275,0.012774795730730037,A2_group,1.025,1.015,1.025,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.030_1.020_1.005,0.6198465500556016,0.8707935948775202,0.12920640512247986,0.368899505233683,0.6003194947127941,0.6127987214696277,0.00807919358287501,0.0007649177486308556,-0.0007649177486308278,0.015393469417119165,0.00860457488713795,0.012601735934669067,A2_group,1.03,1.02,1.005,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.030_1.025_1.005,0.619819711755777,0.8707367505358106,0.1292632494641894,0.3689026729757435,0.6000606503030402,0.6128016780736979,0.008052355283050372,0.0007080734069212502,-0.000708073406921278,0.01539663715917966,0.008345730477384072,0.012604692538739304,A2_group,1.03,1.025,1.005,Reject,does not pass Phase 1 acceptance criteria,
A2_group_1.025_1.020_1.020,0.6197808631169853,0.871056400086007,0.12894359991399293,0.36850532614796355,0.6026979933044168,0.6130795345839024,0.008013506644258706,0.001027722957117727,-0.0010277229571177549,0.01499929033139974,0.010983073478760597,0.012882549048943814,A2_group,1.025,1.02,1.02,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.025_1.025_1.020,0.6197540248171608,0.8709995557442975,0.12900044425570248,0.368508493890024,0.6024391488946629,0.6130824911879728,0.007986668344434178,0.0009708786154082327,-0.000970878615408205,0.015002458073460179,0.010724229069006719,0.012885505653014162,A2_group,1.025,1.025,1.02,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
A2_group_1.025_1.020_1.015,0.61971237162741,0.8709489305026362,0.12905106949736378,0.36847581275218366,0.602363836802567,0.6126809467139482,0.007945015154683377,0.0009202533737469043,-0.0009202533737469043,0.01496977693561985,0.010648916976910838,0.012483961178989644,A2_group,1.025,1.02,1.015,Strong accept,passes strong score/FiCR/nMAE/worst-month criteria,
