experiment_id,score,one_minus_nmae,avg_nmae,ficr,worst_month_score,high_generation_score,delta_score,delta_one_minus_nmae,delta_avg_nmae,delta_ficr,delta_worst_month_score,delta_high_generation_score,method,alpha_kpx_group_1,alpha_kpx_group_2,alpha_kpx_group_3,verdict,reason
baseline_w4,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,0.0,0.0,0.0,0.0,0.0,0.0,baseline,1.0,1.0,1.0,Baseline,fixed W4 baseline
A1_global_0.9700,0.5981432422939454,0.8674666486220248,0.13253335137797512,0.32881983596586595,,,-0.013624114178781177,-0.002562028506864489,0.0025620285068644333,-0.024686199850697865,,,A1_global,0.97,0.97,0.97,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9725,0.5992968172604621,0.8677285155412182,0.13227148445878179,0.330865118979706,,,-0.012470539212264486,-0.0023001615876711012,0.0023001615876711012,-0.022640916836857816,,,A1_global,0.9725,0.9725,0.9725,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9750,0.6005990781483723,0.8679831697580803,0.13201683024191965,0.3332149865386644,,,-0.011168278324354297,-0.0020455073708089966,0.002045507370808969,-0.02029104927789943,,,A1_global,0.975,0.975,0.975,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9775,0.6020944641281789,0.8682280930630981,0.13177190693690186,0.33596083519325964,,,-0.009672892344547712,-0.0018005840657911998,0.001800584065791172,-0.01754520062330417,,,A1_global,0.9775,0.9775,0.9775,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9800,0.602873281775009,0.8684640699614624,0.13153593003853756,0.3372824935885555,,,-0.008894074697717635,-0.0015646071674269013,0.0015646071674268736,-0.016223542228008314,,,A1_global,0.98,0.98,0.98,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9825,0.6037242313856338,0.8686903688135638,0.13130963118643624,0.3387580939577039,,,-0.008043125087092817,-0.0013383083153255537,0.0013383083153255537,-0.014747941858859914,,,A1_global,0.9825,0.9825,0.9825,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9850,0.6050088880222796,0.8689088402240329,0.13109115977596708,0.3411089358205263,,,-0.0067584684504470305,-0.0011198369048563972,0.0011198369048563972,-0.012397099996037497,,,A1_global,0.985,0.985,0.985,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9875,0.6066763191221869,0.8691190292128668,0.13088097078713326,0.34423360903150707,,,-0.005091037350539729,-0.000909647916022549,0.0009096479160225768,-0.009272426785056742,,,A1_global,0.9875,0.9875,0.9875,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9900,0.6075809699804344,0.8693203966883011,0.1306796033116989,0.34584154327256766,,,-0.004186386492292193,-0.0007082804405882381,0.0007082804405882104,-0.007664492543996149,,,A1_global,0.99,0.99,0.99,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9925,0.6087764394506338,0.869510724519297,0.13048927548070302,0.34804215438197045,,,-0.002990917022092865,-0.0005179526095923093,0.000517952609592337,-0.005463881434593365,,,A1_global,0.9925,0.9925,0.9925,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9950,0.6098227651040092,0.8696927111502009,0.1303072888497991,0.3499528190578176,,,-0.0019445913687173855,-0.00033596597868845723,0.0003359659786884295,-0.0035532167587462027,,,A1_global,0.995,0.995,0.995,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_0.9975,0.610952048386823,0.8698656707424703,0.13013432925752969,0.3520384260311757,,,-0.0008153080859035766,-0.00016300638641897347,0.00016300638641900123,-0.0014676097853881243,,,A1_global,0.9975,0.9975,0.9975,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0000,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,,,0.0,0.0,0.0,0.0,,,A1_global,1.0,1.0,1.0,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0025,0.612784008630022,0.8701814634137012,0.1298185365862988,0.35538655384634293,,,0.0010166521572954057,0.00015278628481185663,-0.0001527862848118844,0.0018805180297791213,,,A1_global,1.0025,1.0025,1.0025,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0050,0.6134989795789816,0.8703232567680259,0.12967674323197412,0.3566747023899373,,,0.0017316231062549647,0.000294579639136594,-0.00029457963913656626,0.003168666573373502,,,A1_global,1.005,1.005,1.005,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0075,0.6145427570296882,0.8704553768933379,0.12954462310666215,0.3586301371660385,,,0.0027754005569615714,0.00042669976444853486,-0.00042669976444853486,0.0051241013494746634,,,A1_global,1.0075,1.0075,1.0075,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0100,0.6154262454254551,0.87057784706767,0.12942215293232992,0.36027464378324026,,,0.0036588889527284785,0.0005491699387807358,-0.0005491699387807636,0.006768607966676443,,,A1_global,1.01,1.01,1.01,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0125,0.6165858415373229,0.8706886458731733,0.12931135412682665,0.36248303720147246,,,0.004818485064596256,0.0006599687442839786,-0.0006599687442840341,0.008977001384908645,,,A1_global,1.0125,1.0125,1.0125,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0150,0.6175211874136612,0.8707902048842239,0.1292097951157761,0.36425216994309856,,,0.005753830940934623,0.0007615277553345567,-0.0007615277553345845,0.010746134126534745,,,A1_global,1.015,1.015,1.015,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0175,0.6179931731808813,0.87088178972845,0.12911821027155007,0.3651045566333127,,,0.006225816708154697,0.0008531125995606681,-0.0008531125995606126,0.011598520816748892,,,A1_global,1.0175,1.0175,1.0175,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0200,0.6188295208224395,0.8709635794067843,0.12903642059321577,0.36669546223809474,,,0.007062164349712852,0.0009349022778949445,-0.0009349022778949168,0.013189426421530925,,,A1_global,1.02,1.02,1.02,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0225,0.619970835376066,0.8710362173110797,0.1289637826889203,0.36890545344105236,,,0.00820347890333939,0.0010075401821904029,-0.0010075401821903751,0.015399417624488543,,,A1_global,1.0225,1.0225,1.0225,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0250,0.6201608036272855,0.8710992680239843,0.12890073197601568,0.3692223392305867,,,0.00839344715455892,0.0010705908950949805,-0.0010705908950950083,0.015716303414022914,,,A1_global,1.025,1.025,1.025,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0275,0.6207259749431353,0.8711552359099702,0.12884476409002976,0.3702967139763003,,,0.008958618470408686,0.0011265587810809219,-0.0011265587810809219,0.016790678159736505,,,A1_global,1.0275,1.0275,1.0275,Screened,fast metric pass; detailed slices computed for top candidates only
A1_global_1.0300,0.6213552467009833,0.8712021483970117,0.12879785160298826,0.37150834500495483,,,0.00958789022825668,0.0011734712681223947,-0.0011734712681224224,0.01800230918839102,,,A1_global,1.03,1.03,1.03,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.970,0.5981432422939454,0.8674666486220248,0.13253335137797512,0.32881983596586595,,,-0.013624114178781177,-0.002562028506864489,0.0025620285068644333,-0.024686199850697865,,,A2_group,0.97,0.97,0.97,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.975,0.5983267670077347,0.8676364407283483,0.1323635592716517,0.32901709328712103,,,-0.013440589464991937,-0.0023922364005409813,0.002392236400541009,-0.02448894252944278,,,A2_group,0.97,0.97,0.975,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.980,0.5987408111559015,0.867798221495382,0.132201778504618,0.32968340081642095,,,-0.013026545316825122,-0.0022304556335073222,0.0022304556335073222,-0.023822635000142867,,,A2_group,0.97,0.97,0.98,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.985,0.5991564349395755,0.8679533323729797,0.13204666762702033,0.33035953750617136,,,-0.012610921533151132,-0.002075344755909647,0.002075344755909647,-0.02314649831039245,,,A2_group,0.97,0.97,0.985,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.990,0.5995379375173235,0.8681025991024204,0.13189740089757965,0.3309732759322266,,,-0.012229418955403082,-0.0019260780264689359,0.0019260780264689636,-0.022532759884337228,,,A2_group,0.97,0.97,0.99,Screened,fast metric pass; detailed slices computed for top candidates only
A2_group_0.970_0.970_0.995,0.5997993299281741,0.8682456519154472,0.13175434808455275,0.3313530079409009,,,-0.011968026544552535,-0.001783025213442091,0.0017830252134420632,-0.022153027875662923,,,A2_group,0.97,0.97,0.995,Screened,fast metric pass; detailed slices computed for top candidates only
