target,feature,test_time_available,rows,spearman_with_actual_ratio
kpx_group_1,target_time_actual_lag1,False,26193,0.9616552451754914
kpx_group_1,target_time_actual_lag24,False,26130,0.43937542736007495
kpx_group_1,ldaps_speed,True,8778,0.7587481854104386
kpx_group_1,gfs_speed,True,8778,0.7602318696517738
kpx_group_1,same_cycle_ldaps_ramp,True,8411,0.03619405264138497
kpx_group_1,same_lead_issue_delta,True,8754,0.33348184641428413
kpx_group_2,target_time_actual_lag1,False,26194,0.9643478684659958
kpx_group_2,target_time_actual_lag24,False,26132,0.43446789467223795
kpx_group_2,ldaps_speed,True,8778,0.7752555582510098
kpx_group_2,gfs_speed,True,8778,0.7861501767725703
kpx_group_2,same_cycle_ldaps_ramp,True,8411,0.04544853814947357
kpx_group_2,same_lead_issue_delta,True,8754,0.3434907611648658
kpx_group_3,target_time_actual_lag1,False,17535,0.9576739580381237
kpx_group_3,target_time_actual_lag24,False,17508,0.41022928137771836
kpx_group_3,ldaps_speed,True,8778,0.8316956566282061
kpx_group_3,gfs_speed,True,8778,0.7969732271411614
kpx_group_3,same_cycle_ldaps_ramp,True,8411,0.05897601333344879
kpx_group_3,same_lead_issue_delta,True,8754,0.36643061419839684
