source,feature,month,lead_hour,train2024_mean,test2025_mean,z_delta_vs_2024,test_above_train_p90_rate,abs_z_delta
gfs,wind_primary_speed,4,34,5.345224780480035,12.562681708838939,2.024403010704273,0.5518518518518518,2.024403010704273
gfs,wind_primary_speed,4,33,5.482730892077455,12.419211878057167,1.8857951524261498,0.5518518518518518,1.8857951524261498
gfs,wind_primary_speed,4,35,5.712978453408807,12.616453020770917,1.7990545632596486,0.4740740740740741,1.7990545632596486
gfs,wind_primary_speed,4,32,5.598584175783758,12.287106013607673,1.7775143957976378,0.5111111111111111,1.7775143957976378
gfs,wind_primary_speed,4,31,5.81128525566211,11.880062458015315,1.597152637915236,0.46296296296296297,1.597152637915236
gfs,wind_primary_speed,4,12,5.873367441308585,11.50305146693109,1.5205377562265268,0.4925925925925926,1.5205377562265268
gfs,wind_primary_speed,4,13,5.924489373788893,11.334858225695955,1.4030483347270735,0.3925925925925926,1.4030483347270735
gfs,wind_primary_speed,4,30,5.993891394693805,11.172187440372934,1.3353475464896536,0.43703703703703706,1.3353475464896536
gfs,wind_primary_speed,4,14,5.897179247991166,11.07054405972808,1.2373697756965223,0.3814814814814815,1.2373697756965223
ldaps,wind_primary_speed,4,27,6.836908586733225,10.592101243107425,1.22508775253897,0.39166666666666666,1.22508775253897
gfs,wind_primary_speed,4,16,5.69521669765103,10.734603053512735,1.2021940805372067,0.4222222222222222,1.2021940805372067
gfs,wind_primary_speed,4,29,6.055386862652719,10.766728428303148,1.1760870392929126,0.42592592592592593,1.1760870392929126
gfs,wind_primary_speed,4,17,5.693075257682755,10.64328456992388,1.1675501563850512,0.3851851851851852,1.1675501563850512
ldaps,wind_primary_speed,4,25,6.52738159828608,10.558670602399271,1.1662939195779072,0.48541666666666666,1.1662939195779072
gfs,wind_primary_speed,4,15,5.824028269177983,10.83360582847468,1.16575468467524,0.3925925925925926,1.16575468467524
ldaps,wind_primary_speed,4,24,6.395212725474264,10.227656084586867,1.1433226850563616,0.4708333333333333,1.1433226850563616
ldaps,wind_primary_speed,4,35,5.747399952484288,8.621285177600047,1.1433026119091063,0.45,1.1433026119091063
ldaps,wind_primary_speed,2,28,7.2207877336907265,11.739830979030895,1.134144432567754,0.46875,1.134144432567754
ldaps,wind_primary_speed,4,26,6.857297356602904,10.649909273493625,1.1198171145604554,0.48333333333333334,1.1198171145604554
ldaps,wind_primary_speed,4,34,5.792972784723374,8.710697526124148,1.1165734133689382,0.4270833333333333,1.1165734133689382
gfs,wind_primary_speed,4,18,5.782812163462324,10.511564210909288,1.101642305407777,0.36666666666666664,1.101642305407777
ldaps,wind10_speed,2,28,4.655919065640441,7.338787991259414,1.097706279926897,0.39285714285714285,1.097706279926897
ldaps,wind10_speed,4,26,4.296887561865575,6.390264353598719,1.091591184030921,0.49375,1.091591184030921
ldaps,wind10_speed,4,27,4.338541717165682,6.351496637677568,1.0905140081547662,0.4270833333333333,1.0905140081547662
ldaps,wind10_speed,4,33,4.001496040975069,5.64835853554164,1.0846873371756274,0.3729166666666667,1.0846873371756274
