experiment,slice_type,target,nmae,ficr,eligible_hours,month,score,one_minus_nmae,avg_nmae
lead_bias_correction_shrink_0.10,group,kpx_group_1,0.11931017052861614,0.3781577428738058,4989,,,,
lead_bias_correction_shrink_0.10,group,kpx_group_2,0.12411929334347205,0.42212158756342455,4976,,,,
lead_bias_correction_shrink_0.10,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_0.10,month,,,0.3623879346017504,1492,1.0,0.6073812837075143,0.8523746328132782,0.14762536718672184
lead_bias_correction_shrink_0.10,month,,,0.339276306054389,772,2.0,0.5989573076907333,0.8586383093270775,0.14136169067292245
lead_bias_correction_shrink_0.10,month,,,0.3616196306299175,1587,3.0,0.6125028507878547,0.8633860709457919,0.13661392905420813
lead_bias_correction_shrink_0.10,month,,,0.337827053305011,1166,4.0,0.6099262420473717,0.8820254307897324,0.11797456921026762
lead_bias_correction_shrink_0.10,month,,,0.36895889811599636,1545,5.0,0.621186717121019,0.8734145361260417,0.12658546387395828
lead_bias_correction_shrink_0.10,month,,,0.33205260197383124,970,6.0,0.6039340610894639,0.8758155202050966,0.1241844797949034
lead_bias_correction_shrink_0.10,month,,,0.3524086811186635,1577,7.0,0.6075262504587904,0.8626438197989172,0.13735618020108278
lead_bias_correction_shrink_0.10,month,,,0.34420073429564835,689,8.0,0.6052635747279933,0.8663264151603381,0.13367358483966185
lead_bias_correction_shrink_0.10,month,,,0.3533222663939093,837,9.0,0.622086146674064,0.8908500269542188,0.10914997304578122
lead_bias_correction_shrink_0.10,month,,,0.3160524848306391,895,10.0,0.5941433452011837,0.8722342055717284,0.12776579442827166
lead_bias_correction_shrink_0.10,month,,,0.31846550859144385,963,11.0,0.5919521871153204,0.8654388656391968,0.1345611343608032
lead_bias_correction_shrink_0.10,month,,,0.3970826696141194,2038,12.0,0.6390683926376666,0.8810541156612138,0.11894588433878615
lead_bias_correction_shrink_0.20,group,kpx_group_1,0.1187474963538863,0.3827341641267126,4989,,,,
lead_bias_correction_shrink_0.20,group,kpx_group_2,0.1241827975161325,0.42123523448400724,4976,,,,
lead_bias_correction_shrink_0.20,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_0.20,month,,,0.3655180257896067,1492,1.0,0.6089969482410447,0.8524758706924827,0.1475241293075173
lead_bias_correction_shrink_0.20,month,,,0.3413603421901786,772,2.0,0.6000526045376923,0.858744866885206,0.14125513311479396
lead_bias_correction_shrink_0.20,month,,,0.36563486482375707,1587,3.0,0.6146087759631127,0.8635826871024683,0.13641731289753167
lead_bias_correction_shrink_0.20,month,,,0.3376984887126587,1166,4.0,0.6099596639610536,0.8822208392094486,0.11777916079055135
lead_bias_correction_shrink_0.20,month,,,0.36950393634584805,1545,5.0,0.6216089613291766,0.8737139863125052,0.12628601368749484
lead_bias_correction_shrink_0.20,month,,,0.3347696498971812,970,6.0,0.6052991079346548,0.8758285659721284,0.1241714340278716
lead_bias_correction_shrink_0.20,month,,,0.3535173185726406,1577,7.0,0.6081109956117783,0.862704672650916,0.13729532734908398
lead_bias_correction_shrink_0.20,month,,,0.34602152168175015,689,8.0,0.6062883737978182,0.8665552259138863,0.13344477408611366
lead_bias_correction_shrink_0.20,month,,,0.35459713474741655,837,9.0,0.6228493445722142,0.8911015543970118,0.10889844560298817
lead_bias_correction_shrink_0.20,month,,,0.31517648319916375,895,10.0,0.5938946300204477,0.8726127768417318,0.12738722315826825
lead_bias_correction_shrink_0.20,month,,,0.3202474662558377,963,11.0,0.5929398236956069,0.8656321811353761,0.1343678188646239
lead_bias_correction_shrink_0.20,month,,,0.3959369682921265,2038,12.0,0.6385295695745398,0.8811221708569531,0.11887782914304688
lead_bias_correction_shrink_0.35,group,kpx_group_1,0.11798321876111625,0.3894819362661545,4989,,,,
lead_bias_correction_shrink_0.35,group,kpx_group_2,0.12428104335276548,0.4204876935378696,4976,,,,
lead_bias_correction_shrink_0.35,group,kpx_group_3,0.14593831567756324,0.2633704983189503,4566,,,,
lead_bias_correction_shrink_0.35,month,,,0.36633794306203216,1492,1.0,0.6094760292205343,0.8526141153790365,0.14738588462096353
lead_bias_correction_shrink_0.35,month,,,0.3425857420734633,772,2.0,0.6007317740349163,0.8588778059963693,0.14112219400363066
lead_bias_correction_shrink_0.35,month,,,0.37211973763410494,1587,3.0,0.6179885471583958,0.8638573566826866,0.1361426433173134
lead_bias_correction_shrink_0.35,month,,,0.33924247427346965,1166,4.0,0.6108576962282499,0.8824729181830303,0.11752708181696973
lead_bias_correction_shrink_0.35,month,,,0.37277045600935055,1545,5.0,0.6234504966706353,0.8741305373319203,0.12586946266807977
lead_bias_correction_shrink_0.35,month,,,0.3348042087405139,970,6.0,0.6053039747993856,0.8758037408582572,0.12419625914174282
lead_bias_correction_shrink_0.35,month,,,0.35253096652299104,1577,7.0,0.6076572541992362,0.8627835418754813,0.13721645812451866
lead_bias_correction_shrink_0.35,month,,,0.3461925505201093,689,8.0,0.6065329945696805,0.8668734386192516,0.13312656138074844
lead_bias_correction_shrink_0.35,month,,,0.3562741513735909,837,9.0,0.623858323894605,0.8914424964156191,0.10855750358438092
