kpx_group_1,kpx_group_2,kpx_group_3
2717.210806008696,3502.1595925901993,2029.312235524089
2226.771742885543,2777.592768097736,781.1269058026586
1725.3298001209403,1987.9344600157153,598.6285302087726
1206.3539249121122,1492.9836483770425,377.2779340919581
1275.712221104995,1177.7802558754274,235.27012391455253
856.859742987753,801.0604230780011,48.54556475007826
650.771484186488,709.7456709945784,21.188889546794783
480.9000649562076,223.6401241008745,42.39415186715107
378.4073200313531,203.77188100227292,68.10436631572615
28.457631310981,71.44851835033666,0.0
86.31568458152067,74.8018503788041,0.0
8.626929318802425,164.7534108200219,0.0
243.35095832205565,277.4075089621763,0.0
162.56194495484087,495.1093832809378,331.9869630357137
1695.631591994019,1867.4675941195446,1180.9102772970507
2977.5482555722915,3032.0116474579236,1881.3795291552265
3961.4154075025563,4795.249526804014,2487.829199915128
5049.427485250046,5859.102664147627,4084.6294741430006
9602.47955673316,11462.277852039773,6473.970859288592
13977.850128922331,14755.693888168302,9894.133577180675
16547.12781702755,17528.29175711711,11646.668967785428
16069.17395966892,17397.74831335128,12013.53325570201
16034.86261147678,17613.675572183634,12372.567312233075
17302.16321518657,19676.852915594944,15386.523813433929
15705.247406850354,17843.00535456276,14363.623070809668
19696.307404686337,19917.40625177217,15303.486552472154
17947.714072624087,18951.354002444743,14702.488800764797
17721.462128438558,18202.71117341452,15000.065388099096
19453.91919062598,19519.467643257765,15009.976201511368
19469.95407491921,19449.495521974597,13894.491335141372
18707.150141805243,19651.02813035235,14370.333927593188
18119.162427019764,18808.76153781342,14255.068144319042
17008.94728411884,17105.564728971083,14336.080875450636
15865.97205028188,16289.601190915075,14753.549076728224
15703.349659828998,16439.293536839417,15217.927303024591
15728.011307718947,16884.297497431246,15163.66187425816
17267.070538730757,18095.514262396075,15028.621984160218
17684.62342015264,18234.72668938581,14417.8063181777
16618.388774136536,18403.498063780375,12757.528090843998
15226.85050464416,17745.968128769025,12632.73155599036
16008.331715812677,16513.07335509151,11974.467857087282
14428.37770818023,16878.15788769309,11100.234182658714
15060.516394527815,17609.708014484993,11377.235257661365
13331.633917536832,14763.591314382067,9313.46059107529
13170.15092049546,12010.298833921435,7116.870169249637
11450.612999118439,10700.843418011698,6024.587996640354
9689.804745800118,9505.943487358205,5287.149829630936
