target,lead_hour,median_signed_error_ratio,mean_signed_error_ratio,rows
kpx_group_1,12.0,-0.047509945062901064,-0.06545089903616011,365
kpx_group_1,13.0,-0.024569326605110776,-0.06273833502315701,365
kpx_group_1,14.0,-0.03635367577408324,-0.060883499158750735,365
kpx_group_1,15.0,-0.042744182876314554,-0.06223947638840492,365
kpx_group_1,16.0,-0.04360169680931642,-0.06255832625487451,365
kpx_group_1,17.0,-0.028159731445466414,-0.05865551797390697,365
kpx_group_1,18.0,-0.04201279671914471,-0.06289229047818995,365
kpx_group_1,19.0,-0.029256134886308315,-0.046423447460171366,365
kpx_group_1,20.0,0.0017547029981685956,-0.030037307995147516,365
kpx_group_1,21.0,-0.001929040534664005,-0.03660160153056441,365
kpx_group_1,22.0,0.0035517706107230105,-0.023248408293792506,364
kpx_group_1,23.0,0.0029957210724369057,-0.021560931968840454,364
kpx_group_1,24.0,0.0035517706107230105,-0.017762261293502425,364
kpx_group_1,25.0,0.0035517706107230105,-0.014169087575225501,365
kpx_group_1,26.0,0.0035517706107230105,-0.01432134322308998,365
kpx_group_1,27.0,0.0034188226329817362,-0.012794350212881436,365
kpx_group_1,28.0,0.004114625700792837,-0.011477607650217492,365
kpx_group_1,29.0,0.0003470289245211636,-0.021117931131054382,365
kpx_group_1,30.0,-0.0018215909230240507,-0.036276815910513724,365
kpx_group_1,31.0,-0.01059837305491305,-0.045025969326043386,365
kpx_group_1,32.0,-0.031782003001126866,-0.055688115536521365,365
kpx_group_1,33.0,-0.0284150575421895,-0.05018949330427093,365
kpx_group_1,34.0,-0.03572089944590693,-0.05415678257645921,365
kpx_group_1,35.0,-0.0380698719014657,-0.06542554689765522,365
kpx_group_2,12.0,-0.0019476667569220067,-0.010418906913499964,365
kpx_group_2,13.0,0.006915319654737215,-0.00013072752890886196,365
kpx_group_2,14.0,0.004142292272343402,-0.004181518718303772,365
kpx_group_2,15.0,0.004562675509615948,-0.0063252465725699624,365
kpx_group_2,16.0,0.001225011456492582,-0.010603380013221118,365
kpx_group_2,17.0,0.002710797733655302,-0.01199853698755539,365
kpx_group_2,18.0,0.0010613594823325068,-0.008982488114614178,365
kpx_group_2,19.0,0.00749254881588208,-0.0006038166727222492,365
kpx_group_2,20.0,0.00938522027049668,0.0012611093184136837,365
kpx_group_2,21.0,0.003799254841474216,-0.010724349710799722,365
kpx_group_2,22.0,0.004127051859275966,-0.011231089508291017,364
kpx_group_2,23.0,0.003416442523864767,-0.01189955262143689,364
kpx_group_2,24.0,0.005184552407599365,-0.0032196267874158406,365
kpx_group_2,25.0,0.005110164142820402,0.004447144766354398,365
kpx_group_2,26.0,0.007489448404719843,0.009122845540060695,365
kpx_group_2,27.0,0.006929457570589764,0.019344685552576516,365
kpx_group_2,28.0,0.008112476402897188,0.021524881587007712,365
kpx_group_2,29.0,0.007785888116522575,0.016829521462987985,365
kpx_group_2,30.0,0.004557537379357496,0.0015932183197444301,365
kpx_group_2,31.0,0.002771679920406088,-0.014407832933758346,365
kpx_group_2,32.0,-0.003373419970668593,-0.0218379425043082,365
kpx_group_2,33.0,0.006537530399757459,-0.0034464245535870135,365
kpx_group_2,34.0,0.004871041129729882,-0.006986197955663317,365
kpx_group_2,35.0,-0.0057746453902662205,-0.016601982591791815,365
