experiment,month,lead_hour,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8,seed
lead_basic,1,12.0,60,0.17605601157568204,0.17626830312073163,0.00021229154504959444,0.012737492702975667,1,6,-5,11
lead_basic,1,13.0,60,0.1617403571662185,0.16285502926722759,0.0011146721010090812,0.06688032606054488,3,2,1,11
lead_basic,1,14.0,57,0.131098130846975,0.12946024844262513,-0.0016378824043498767,-0.09335929704794298,3,1,2,11
lead_basic,1,15.0,63,0.1427856276509421,0.1417562751795278,-0.001029352471414293,-0.06484920569910047,5,3,2,11
lead_basic,1,16.0,60,0.12518115056039428,0.12388714000451488,-0.0012940105558793965,-0.07764063335276379,6,4,2,11
lead_basic,1,17.0,61,0.1387820669184834,0.13759724950452554,-0.0011848174139578627,-0.07227386225142962,3,2,1,11
lead_basic,1,18.0,61,0.15441041717080742,0.15804542654708598,0.003635009376278567,0.2217355719529926,1,3,-2,11
lead_basic,1,19.0,60,0.1519180578817814,0.1524370769987532,0.0005190191169717929,0.03114114701830758,1,3,-2,11
lead_basic,1,20.0,63,0.15866134806050686,0.15876558257290382,0.00010423451239694058,0.006566774281007257,1,2,-1,11
lead_basic,1,21.0,65,0.15389119980924496,0.15680168281155374,0.0029104830023088126,0.18918139515007282,3,3,0,11
lead_basic,1,22.0,63,0.12907150577808812,0.1316715356147952,0.002600029836707039,0.16380187971254345,4,5,-1,11
lead_basic,1,23.0,60,0.11480524684898613,0.11689955438654899,0.002094307537562874,0.12565845225377245,0,6,-6,11
lead_basic,1,24.0,56,0.1111924053837179,0.11332599264527483,0.002133587261556924,0.11948088664718773,1,1,0,11
lead_basic,1,25.0,53,0.11954335798847143,0.1157877861462708,-0.003755571842200627,-0.19904530763663322,3,1,2,11
lead_basic,1,26.0,55,0.11212007775488322,0.11105824209610436,-0.0010618356587788632,-0.05840096123283747,3,3,0,11
lead_basic,1,27.0,54,0.11245226042828048,0.11617454907219245,0.003722288643911983,0.20100358677124708,0,2,-2,11
lead_basic,1,28.0,57,0.13990621988323954,0.14409176678244096,0.0041855468992014425,0.23857617325448224,2,5,-3,11
lead_basic,1,29.0,61,0.13670577199818532,0.1377018231875136,0.0009960511893282668,0.06075912254902427,6,5,1,11
lead_basic,1,30.0,64,0.16060380885398953,0.15965977266901005,-0.0009440361849794933,-0.06041831583868757,0,2,-2,11
lead_basic,1,31.0,72,0.17677243524704667,0.1778438544992243,0.0010714192521776413,0.07714218615679017,2,1,1,11
lead_basic,1,32.0,77,0.15220233348126763,0.1518526518498959,-0.000349681631371721,-0.026925485615622517,2,5,-3,11
lead_basic,1,33.0,75,0.1527533445300251,0.15472295251389612,0.001969607983871019,0.14772059879032642,3,7,-4,11
lead_basic,1,34.0,72,0.19355300604035244,0.19156246260111467,-0.0019905434392377564,-0.14331912762511845,1,5,-4,11
lead_basic,1,35.0,63,0.17406086233989568,0.17460399668070928,0.0005431343408136064,0.0342174634712572,3,0,3,11
lead_basic,2,12.0,31,0.1263821718567492,0.1220946136277136,-0.0042875582290356085,-0.13291430510010385,0,2,-2,11
lead_basic,2,13.0,33,0.133330156525467,0.13367210936162052,0.00034195283615351505,0.011284443593065997,2,0,2,11
lead_basic,2,14.0,34,0.12261539166853555,0.1218752867547627,-0.0007401049137728587,-0.025163567068277194,0,2,-2,11
lead_basic,2,15.0,37,0.11278682404915207,0.1158081936038396,0.0030213695546875406,0.111790673523439,0,2,-2,11
lead_basic,2,16.0,36,0.1287264431404381,0.13583561149137197,0.007109168350933875,0.2559300606336195,0,1,-1,11
lead_basic,2,17.0,36,0.14852410314480963,0.15149439146438418,0.002970288319574559,0.10693037950468412,0,2,-2,11
lead_basic,2,18.0,33,0.14809213050067802,0.14971133290808664,0.0016192024074086122,0.053433679444484204,1,2,-1,11
lead_basic,2,19.0,32,0.1455229900073616,0.1417427931473353,-0.003780196860026308,-0.12096629952084186,4,1,3,11
lead_basic,2,20.0,33,0.13625139340511827,0.1328783516982231,-0.0033730417068951607,-0.1113103763275403,2,1,1,11
