experiment,seed,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,feature_count,baseline_score,baseline_ficr,baseline_avg_nmae,delta_score_vs_baseline,delta_ficr_vs_baseline,delta_nmae_vs_baseline
B1_aggregate,11,0.612660060094862,0.8700424588566025,0.12995754114339753,0.3552776613331215,0.5810277433474991,0.5997974878264528,14531,286,0.612660060094862,0.3552776613331215,0.12995754114339753,0.0,0.0,0.0
lead_basic,11,0.6119570034866081,0.870099868231208,0.12990013176879198,0.3538141387420081,0.58304566162672,0.5999163438311459,14531,291,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.0007030566082538714,-0.0014635225911133753,-5.740937460554929e-05
lead_interactions,11,0.6108554742054599,0.8700047927522048,0.12999520724779523,0.3517061556587151,0.5783367798993346,0.5985922251946805,14531,296,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.0018045858894020217,-0.0035715056744063944,3.766610439770446e-05
issue_cycle,11,0.6071607474100343,0.8685716192377959,0.13142838076220412,0.3457498755822727,0.5864773561157706,0.5949659517834597,14531,302,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.0054993126848276175,-0.009527785750848783,0.0014708396188065909
forecast_safe_ramp,11,0.6103332267418264,0.8696535922314322,0.13034640776856773,0.35101286125222053,0.5729486594983219,0.5980012405790837,14531,290,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.002326833353035518,-0.004264800080900966,0.00038886662517020887
source_disagreement,11,0.6109206125617844,0.8698768289753008,0.1301231710246992,0.35196439614826797,0.5855075554587004,0.5984258635862328,14531,289,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.0017394475330775316,-0.003313265184853531,0.000165629881301671
all_forecast_time_features,11,0.6062179727525879,0.8683864785521747,0.13161352144782534,0.34404946695300126,0.5751568664597746,0.5934535927029277,14531,319,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.006442087342274028,-0.011228194380120238,0.0016559803044278176
all_plus_2025_lead_month_weight,11,0.6039177934196192,0.8679408752458909,0.1320591247541091,0.33989471159334733,0.5657268440682247,0.5912470073817697,14531,319,0.612660060094862,0.3552776613331215,0.12995754114339753,-0.008742266675242805,-0.015382949739774165,0.0021015836107115826
B1_aggregate,42,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,14531,286,0.6117673564727266,0.3535060358165638,0.12997132287111068,0.0,0.0,0.0
lead_basic,42,0.6113532457915938,0.8698975942322408,0.1301024057677592,0.35280889735094684,0.5714087807002659,0.5998604017083777,14531,291,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.0004141106811328399,-0.0006971384656169755,0.00013108289664851003
