feature,source,stat,train_valid_ks,train_test_ks,valid_test_ks,train_valid_psi,train_test_psi,valid_test_psi,valid_mean_delta,test_mean_delta_vs_train
year,time,time,1.0,1.0,1.0,0.0,0.0,0.0,1.4999714595580826,2.4999714595580826
ldaps_heightAboveGround_2_r_min,ldaps,min,0.1278518672571055,0.052054409305338945,0.0857375624513585,0.1154861655099404,0.01563623943922646,0.05608782969726937,6.594057443014236,2.352182537728055
ldaps_heightAboveGround_2_r_mean,ldaps,mean,0.12670937881546457,0.0504603875026835,0.08472604906427472,0.12188930645565195,0.01320462266500621,0.05587824235598468,6.483333649365264,2.188870787271739
gfs_heightAboveGround_2_2r_min,gfs,min,0.12461744630939858,0.047976349081007896,0.09100604249680422,0.09746966115907724,0.050112187306921255,0.05059829823267173,4.403823839555521,1.0851183072183375
ldaps_heightAboveGround_2_r_max,ldaps,max,0.11838673385159451,0.03716587951141842,0.08860506823633746,0.12246568838639378,0.010434260462075998,0.055665121004349435,5.9072091803770235,1.7952638831638552
gfs_heightAboveGround_2_2r_mean,gfs,mean,0.11347115611455316,0.045696873945434924,0.07927952742232758,0.08253468993510912,0.028265826480663267,0.03586505992758661,4.976272092069465,1.7204215562895655
gfs_heightAboveGround_2_2r_max,gfs,max,0.11084490260951135,0.06414451751016226,0.05453703513076641,0.10087360912955028,0.029007819760967536,0.027988537922668366,4.580239623521948,2.041129881910365
gfs_isobaricInhPa_850_r_min,gfs,min,0.10103960378796645,0.07606804221190977,0.05109527208132103,0.04176720488816399,0.037959391506416265,0.016301276194877805,4.830256425472385,2.573649791255292
ldaps_surface_0_NDNLW_max,ldaps,max,0.10076447314916276,0.03382173668070304,0.08585795489874481,0.0510546325787734,0.015147804556125903,0.040024041700515205,8.913826509075783,2.215153414420243
gfs_isobaricInhPa_850_r_mean,gfs,mean,0.09937353600270166,0.07755751505088787,0.06540379180113676,0.052010328229453215,0.03248029553459796,0.01923069168869865,5.539341615618206,2.9737611535386463
ldaps_surface_0_NDNLW_min,ldaps,min,0.09831988553463317,0.02105711124550691,0.09394266547798563,0.04662658860666692,0.010195359761533098,0.044679507436205045,7.543495861019011,1.5055148425607285
ldaps_surface_0_NDNLW_mean,ldaps,mean,0.09645413213091258,0.027142980040895825,0.09107265365980055,0.04842024327648058,0.012605169180258103,0.04102703621317485,8.519482031678514,1.8918890745963353
gfs_heightAboveGround_2_2d_std,gfs,std,0.09555193705382159,0.08435674826283068,0.023028993233293632,0.08285694016026088,0.05118536777796265,0.007266632903172868,-0.18815938414826583,-0.15143227645158652
gfs_isobaricInhPa_500_gh_max,gfs,max,0.09550932133948553,0.08523275963602239,0.09011488261566403,0.08558385223124435,0.12294752720134533,0.0722976668030229,22.235020759785584,-1.5304853185507454
gfs_isobaricInhPa_500_gh_min,gfs,min,0.09535941253893376,0.0862033822968361,0.09301274764795658,0.08953328915616164,0.13340078337392525,0.07009695860556399,23.769749641400267,-1.8629279296401364
gfs_isobaricInhPa_500_gh_mean,gfs,mean,0.09483485845344497,0.08677415203199779,0.09146898033165368,0.08990888383751719,0.12637833831586545,0.06927364026201238,23.027819155156067,-1.7563561955275873
gfs_isobaricInhPa_850_r_max,gfs,max,0.09108073763473665,0.0720796726879559,0.061229396939832426,0.054730791161960744,0.030051444262570275,0.01682754985011586,5.534079114182688,3.2864376211547466
ldaps_etc_0_lcc_max,ldaps,max,0.08937432203454154,0.04710909575405581,0.055197799312841744,0.03950602108948923,0.007383456943572609,0.016780517291967566,0.07791045177967076,0.030226257115502364
ldaps_etc_0_lcc_mean,ldaps,mean,0.08886331036269651,0.04722293808737216,0.058998679853980884,0.044015178341142415,0.00802991463287991,0.018253816880129274,0.07114784579806993,0.022491238914866263
gfs_isobaricInhPa_500_t_min,gfs,min,0.08831986577986473,0.07097063914838486,0.0963133210264498,0.09969300776616404,0.07258126008601855,0.1620707189342541,1.2835711786231059,0.14356633036800304
gfs_isobaricInhPa_500_t_mean,gfs,mean,0.08805842701512412,0.07319560754682664,0.09162364820280611,0.10675611018215739,0.07073766916056651,0.15988669136619066,1.2428605792946428,0.17256421955187307
gfs_isobaricInhPa_500_t_max,gfs,max,0.08598441026453613,0.07536514381876958,0.08920596842259149,0.11153517238611464,0.07038531665934616,0.1542963481149636,1.1988789427730353,0.18686459195714633
gfs_surface_0_tp_max,gfs,max,0.08551593632767801,0.040723336203843385,0.06492876647719725,0.0541003509571387,0.015473121370838956,0.04586727324181758,0.18419561857950484,-1.011223818331704
gfs_surface_0_tp_std,gfs,std,0.08551593632767801,0.04004003390809119,0.06776091716020016,0.03827845879042947,0.022312746438244692,0.0362075113807792,0.042429360713724495,-0.3738545617786422
gfs_surface_0_tp_mean,gfs,mean,0.08551593632767801,0.039124856407429576,0.06492876647719725,0.041328831631020344,0.019872991610268214,0.03023346059740476,0.057801664426464505,-0.45980317061191855
gfs_surface_0_prate_std,gfs,std,0.08533788348034527,0.02971029688765303,0.059083503701942985,0.020388581519084414,0.004959832010805755,0.013434585874408033,-9.77133964195864e-07,-4.996482039355884e-06
gfs_lowCloudLayer_0_lcc_max,gfs,max,0.08495642150063254,0.046727060400770126,0.048113457487703015,0.03646600888658117,0.011943830229453233,0.014413948984728985,7.069029478637347,3.2180988069639085
ldaps_etc_0_VLCDC_mean,ldaps,mean,0.08448315833207787,0.03269540991206288,0.054272022473686565,0.03136339063182774,0.003632138967954687,0.01548061814863446,0.054704436792244016,0.0161780062919763
gfs_surface_0_prate_mean,gfs,mean,0.08388052742320573,0.027998515545117453,0.05873807445726914,0.02164416338559453,0.005652223478314811,0.016136168011540566,1.622760481611663e-07,-6.538310929493819e-06
ldaps_etc_0_VLCDC_max,ldaps,max,0.0837889536741322,0.0324674514449379,0.05411085274027028,0.03293461973783627,0.003802955569212507,0.0139532223997408,0.06239578129732118,0.016369344034579292
gfs_surface_0_prate_max,gfs,max,0.08367194566066238,0.028740469279676495,0.05898948123304243,0.021099937186074086,0.006180631284022971,0.016778998753445015,-3.1826599117315264e-06,-1.6476893679819352e-05
gfs_lowCloudLayer_0_lcc_mean,gfs,mean,0.083608853868883,0.04747100176742203,0.048777996444354654,0.035428637923819874,0.01331903309274041,0.015306005308613346,5.0004121109686785,1.560907464445446
gfs_surface_0_dlwrf_max,gfs,max,0.08217714002107107,0.059157555105910475,0.09040096618809568,0.04749946339403111,0.03606378640876785,0.1025349930456096,9.819393249898667,3.304030949257765
ldaps_heightAboveGround_50_50MUmax_min,ldaps,min,0.08117828304237157,0.05727477999413333,0.12197698835292542,0.036573720968213486,0.025866484388176018,0.07488730728390516,-0.8925889429813605,0.5095519000012456
ldaps_heightAboveGround_10_10u_mean,ldaps,mean,0.08068174953636076,0.0521932311273795,0.11868756227006477,0.03633798182032136,0.024902443485053577,0.06744829425260407,-0.670910598211166,0.3107320647711913
ldaps_etc_0_lcc_min,ldaps,min,0.08064131074552316,0.026321060647826022,0.05998228849163845,0.03392007600518138,0.005954298635787409,0.016039867422661416,0.05700636128545514,0.01660346355903644
ldaps_heightAboveGround_2_t_std,ldaps,std,0.08054067189710551,0.03039945499552954,0.06714620741234345,0.032080999696384956,0.009066244130509776,0.028205744222544002,-0.021198994197744403,-0.019204713560729503
ldaps_heightAboveGround_10_10u_min,ldaps,min,0.08050787508248913,0.053449160453855504,0.11855714736089301,0.03437825930031968,0.025811523171106746,0.06824376422568734,-0.5894361975058552,0.34644694497923356
ldaps_heightAboveGround_50_50MUmin_min,ldaps,min,0.07960580997098021,0.05899678300067135,0.12209899680552122,0.03489401700838302,0.028673129753747847,0.07242935870376793,-0.8560993801030417,0.518857524115546
ldaps_heightAboveGround_10_10u_max,ldaps,max,0.07947445375725815,0.049568325084540676,0.11651479061557501,0.03668383221162082,0.015986848914487595,0.06825361325468376,-0.7011930158852575,0.29792942486667684
ldaps_heightAboveGround_2_dpt_max,ldaps,max,0.07930339955651589,0.066218843519399,0.07529129755319208,0.09462007178402541,0.044690933974571315,0.10019772597087628,2.0145204172998774,0.6549667831936858
gfs_lowCloudLayer_0_lcc_std,gfs,std,0.07923750700644455,0.0462674807599332,0.04073593000673156,0.02991287268638529,0.010209064377982077,0.008725250049571517,1.634571673299595,0.9388951898427731
ldaps_heightAboveGround_50_50MUmax_mean,ldaps,mean,0.07906055886655866,0.054213853465262085,0.12447379304204415,0.037641019787012196,0.026639597507648504,0.0719572548108654,-1.0256787586803586,0.49478857665953146
ldaps_heightAboveGround_2_q_max,ldaps,max,0.07904378680820234,0.06650565573271638,0.07380930617273784,0.09206041572941852,0.04331148711563925,0.10301618657302461,0.0007019333290064151,0.0003710089669276438
ldaps_heightAboveGround_2_q_min,ldaps,min,0.0785201034921128,0.06599151717325769,0.07178209379007527,0.0845416385147555,0.04379949317033717,0.09510774542419759,0.0006888704174429251,0.00037210163146737807
ldaps_heightAboveGround_2_dpt_min,ldaps,min,0.0782812722403603,0.06576391708914975,0.07271142886378984,0.09397285624872594,0.04306148375322086,0.0943326256146959,2.1038987454038534,0.7708383505252527
ldaps_heightAboveGround_2_q_mean,ldaps,mean,0.07822291769404466,0.06627651098436815,0.07256412664185047,0.08980847010820174,0.044484866481849,0.10208339534064616,0.0006999934759616723,0.0003748426404157814
ldaps_heightAboveGround_2_dpt_mean,ldaps,mean,0.07793719486030837,0.06656199361327608,0.0739471452798191,0.09410965551886759,0.046923842843079794,0.10043893531840475,2.0965884465789486,0.7310949619636062
gfs_heightAboveGround_2_2d_mean,gfs,mean,0.07744887517907961,0.0645786750106897,0.07633257158756929,0.07989755327189668,0.05379447074650319,0.12270514111290713,1.9756159393936628,0.7166138709585539
ldaps_heightAboveGround_50_50MUmax_max,ldaps,max,0.07726271247943034,0.05221743717471694,0.12107997139198229,0.039620274475758534,0.020862799508853655,0.07331322643882236,-1.0901057787945838,0.49314847846348275
gfs_heightAboveGround_2_2d_min,gfs,min,0.077175252141027,0.06600640091825738,0.071370254399794,0.07246592009809538,0.05623359608958164,0.12130751907733989,2.0631214094469783,0.8391313835784331
gfs_heightAboveGround_2_2sh_min,gfs,min,0.07710065839524116,0.063266401202,0.0712505622632022,0.07506838499193691,0.05202464003039156,0.11945970818678343,0.0006192741779714574,0.0003016416608037425
gfs_surface_0_dlwrf_mean,gfs,mean,0.07701103412989757,0.05955759050270548,0.07311898913862419,0.04522065737774745,0.033943143049401235,0.08386205245691954,9.590946298288259,3.8540896778596903
ldaps_heightAboveGround_50_50MUmin_mean,ldaps,mean,0.07692141636283312,0.05689387135669011,0.12138546058658917,0.034928193171460106,0.03123533942047721,0.0733173840968786,-1.0023504029433097,0.5019187326285612
gfs_heightAboveGround_100_100u_mean,gfs,mean,0.0768065332866289,0.06155375963836196,0.1182054274229723,0.028593912804271492,0.020016239836783925,0.07177324400828483,-0.36206117271616733,0.3771786361923506
gfs_heightAboveGround_2_2sh_mean,gfs,mean,0.07659934865409207,0.06178160744447336,0.07485618227496843,0.08179611381033516,0.050423604178388086,0.12430124265064954,0.0006460262135262124,0.0003163884075028647
gfs_heightAboveGround_80_u_mean,gfs,mean,0.0762210773294173,0.060020115749135905,0.11787494507340979,0.029955401304570847,0.018807135560063616,0.07102232011624635,-0.34543648608034383,0.3558458603457715
gfs_heightAboveGround_10_10u_mean,gfs,mean,0.07587572628666184,0.05345748244133952,0.11920989776635676,0.028428041537724935,0.017580305929559836,0.06278664073889945,-0.23776309393875716,0.21188758058848145
ldaps_heightAboveGround_50_50MUmin_max,ldaps,max,0.07581076948878085,0.04988186682182383,0.11866523376944338,0.03684213409211713,0.019581796212911024,0.07158354871198212,-1.0728181354014366,0.5008005175780834
gfs_planetaryBoundaryLayer_0_u_mean,gfs,mean,0.0749081520235485,0.05727418572073251,0.11911478352424804,0.02958733525359556,0.016327827954365454,0.06788890155044922,-0.36268888632671814,0.5087473695823705
gfs_isobaricInhPa_850_u_min,gfs,min,0.07408853707725704,0.05316575670154111,0.11037324138731308,0.0353831959238336,0.013055699441568158,0.06604530803067409,-0.6671693497275446,0.4784516673331858
gfs_middleCloudLayer_0_mcc_max,gfs,max,0.07342850686909685,0.037814231355852934,0.03810968255186292,0.02050773538961996,0.007668107117032273,0.005387651765873301,-6.157259203538693,-3.2448705475094286
gfs_middleCloudLayer_0_mcc_mean,gfs,mean,0.07290809218739458,0.041528007876966366,0.03464097609931682,0.021911959828996814,0.010415807247516642,0.008503175018406188,-4.243616087002263,-2.1060063614842193
gfs_isobaricInhPa_850_u_mean,gfs,mean,0.07220250904274528,0.05253800383516549,0.11592882033800878,0.038415907172836966,0.020094619731642626,0.07250185951427829,-0.7282285527510606,0.6265787025244061
gfs_isobaricInhPa_850_u_max,gfs,max,0.07206756577896006,0.05585156248834111,0.11684464909473291,0.03396006726174067,0.019483788931017182,0.0757373248114855,-0.737141080180435,0.7445557549478528
gfs_heightAboveGround_10_10u_max,gfs,max,0.06972071228209059,0.036915378505659235,0.1034381939908387,0.022807652860270713,0.009930306826082525,0.04836912330593049,-0.27119769733220034,0.20478907313233208
gfs_heightAboveGround_80_u_max,gfs,max,0.06870176912269382,0.04883209964050517,0.10703873205826697,0.02463128069791382,0.017434467465632895,0.05841819191861393,-0.35653352637571434,0.36275512091601847
