target,year,rows,non_null,missing,eligible_count,eligible_rate,zero_count,negative_count,capacity_exceed_count
kpx_group_1,2022,8759,8664,95,5416,0.6183354264185409,827,0,0
kpx_group_1,2023,8760,8757,3,5509,0.6288812785388128,917,0,0
kpx_group_1,2024,8784,8778,6,4989,0.567964480874317,1257,0,0
kpx_group_1,2025,1,1,0,1,1.0,0,0,0
kpx_group_2,2022,8759,8664,95,5440,0.6210754652357575,869,0,0
kpx_group_2,2023,8760,8758,2,5474,0.6248858447488584,931,0,0
kpx_group_2,2024,8784,8778,6,4976,0.5664845173041895,1192,0,0
kpx_group_2,2025,1,1,0,1,1.0,0,0,0
kpx_group_3,2022,8759,0,8759,0,0.0,0,0,0
kpx_group_3,2023,8760,8759,1,4847,0.5533105022831051,1302,0,11
kpx_group_3,2024,8784,8778,6,4566,0.519808743169399,1544,0,27
kpx_group_3,2025,1,1,0,1,1.0,0,0,0
