slice_type,target,rows,non_null,eligible_count,eligible_rate,actual_sum,eligible_actual_sum,year,month,hour,season,ratio_bin
target,kpx_group_1,26304,26200,15915,0.6050410583941606,173495905.475,168086438.71899998,,,,,
target,kpx_group_2,26304,26201,15891,0.6041286496350365,185420359.759,180042495.033,,,,,
target,kpx_group_3,26304,17538,9414,0.3578923357664234,97578269.008,93981195.00299999,,,,,
target+year,kpx_group_1,8759,8664,5416,0.6183354264185409,56847355.289,55006773.86,2022.0,,,,
target+year,kpx_group_1,8760,8757,5509,0.6288812785388128,61302687.682000004,59468498.973,2023.0,,,,
target+year,kpx_group_1,8784,8778,4989,0.567964480874317,55324992.167,53590295.548999995,2024.0,,,,
target+year,kpx_group_1,1,1,1,1.0,20870.337,20870.337,2025.0,,,,
target+year,kpx_group_2,8759,8664,5440,0.6210754652357575,65157914.741,63423391.659,2022.0,,,,
target+year,kpx_group_2,8760,8758,5474,0.6248858447488584,63286266.394,61427982.073,2023.0,,,,
target+year,kpx_group_2,8784,8778,4976,0.5664845173041895,56954874.392,55169817.069000006,2024.0,,,,
target+year,kpx_group_2,1,1,1,1.0,21304.232,21304.232,2025.0,,,,
target+year,kpx_group_3,8759,0,0,0.0,0.0,0.0,2022.0,,,,
target+year,kpx_group_3,8760,8759,4847,0.5533105022831051,49390903.124,47491398.809999995,2023.0,,,,
target+year,kpx_group_3,8784,8778,4566,0.519808743169399,48171036.979,46473467.288,2024.0,,,,
target+year,kpx_group_3,1,1,1,1.0,16328.905,16328.905,2025.0,,,,
target+month,kpx_group_1,2232,2232,1629,0.7298387096774194,20880967.254,20598010.027999997,,1.0,,,
target+month,kpx_group_1,2040,2040,1143,0.5602941176470588,13963499.166,13663229.559,,2.0,,,
target+month,kpx_group_1,2232,2230,1511,0.6769713261648745,15829781.666,15428978.661,,3.0,,,
target+month,kpx_group_1,2160,2160,1432,0.662962962962963,14923288.796,14454668.028,,4.0,,,
target+month,kpx_group_1,2232,2232,1521,0.6814516129032258,15741267.131,15259933.261,,5.0,,,
target+month,kpx_group_1,2160,2160,1157,0.5356481481481481,10651696.349,10110644.085,,6.0,,,
target+month,kpx_group_1,2232,2212,1155,0.5174731182795699,12470583.081,11964372.575,,7.0,,,
target+month,kpx_group_1,2232,2232,1003,0.44937275985663083,8873306.446,8318629.891,,8.0,,,
target+month,kpx_group_1,2160,2160,926,0.4287037037037037,6877708.836,6251121.467,,9.0,,,
target+month,kpx_group_1,2232,2150,1066,0.4775985663082437,10386586.658,9769921.009,,10.0,,,
target+month,kpx_group_1,2160,2160,1421,0.6578703703703703,17587344.618,17136961.901,,11.0,,,
target+month,kpx_group_1,2232,2232,1951,0.8741039426523297,25309875.474,25129968.254,,12.0,,,
target+month,kpx_group_2,2232,2232,1662,0.7446236559139785,21617199.868,21324349.851,,1.0,,,
target+month,kpx_group_2,2040,2040,1121,0.5495098039215687,14239658.663,13941066.795,,2.0,,,
target+month,kpx_group_2,2232,2230,1484,0.6648745519713262,17130048.497,16716749.314000003,,3.0,,,
target+month,kpx_group_2,2160,2160,1446,0.6694444444444444,16221791.133,15761616.837000001,,4.0,,,
target+month,kpx_group_2,2232,2232,1502,0.6729390681003584,16203104.706,15692540.785,,5.0,,,
target+month,kpx_group_2,2160,2160,1177,0.5449074074074074,11479784.457,10980646.435,,6.0,,,
target+month,kpx_group_2,2232,2213,1165,0.5219534050179212,13738105.306,13239184.235,,7.0,,,
target+month,kpx_group_2,2232,2232,1019,0.45654121863799285,10619718.281,10071145.202,,8.0,,,
target+month,kpx_group_2,2160,2160,961,0.4449074074074074,7802136.048,7216276.924000001,,9.0,,,
target+month,kpx_group_2,2232,2150,1034,0.4632616487455197,10836405.332,10221692.222000001,,10.0,,,
target+month,kpx_group_2,2160,2160,1391,0.6439814814814815,17648118.82,17198965.471,,11.0,,,
target+month,kpx_group_2,2232,2232,1929,0.864247311827957,27884288.648000002,27678260.962,,12.0,,,
target+month,kpx_group_3,2232,1488,1129,0.5058243727598566,12645905.49,12488546.340999998,,1.0,,,
target+month,kpx_group_3,2040,1368,579,0.2838235294117647,6283070.574,6048926.524,,2.0,,,
target+month,kpx_group_3,2232,1488,925,0.414426523297491,9822422.248,9495959.861000001,,3.0,,,
target+month,kpx_group_3,2160,1440,816,0.37777777777777777,7896551.547,7555741.713,,4.0,,,
target+month,kpx_group_3,2232,1488,876,0.3924731182795699,8109073.181,7765631.048,,5.0,,,
target+month,kpx_group_3,2160,1440,619,0.2865740740740741,5175308.382,4820729.613,,6.0,,,
target+month,kpx_group_3,2232,1482,904,0.4050179211469534,11146625.615,10917384.568999998,,7.0,,,
target+month,kpx_group_3,2232,1488,428,0.1917562724014337,3704448.614,3362510.652,,8.0,,,
target+month,kpx_group_3,2160,1440,470,0.2175925925925926,2947331.222,2557476.8209999995,,9.0,,,
target+month,kpx_group_3,2232,1488,595,0.26657706093189965,4791080.137,4347335.999,,10.0,,,
target+month,kpx_group_3,2160,1440,866,0.4009259259259259,10948393.567,10702592.203,,11.0,,,
target+month,kpx_group_3,2232,1488,1207,0.5407706093189965,14108058.431,13918359.659,,12.0,,,
target+hour,kpx_group_1,1096,1093,768,0.7007299270072993,8663706.372,8467340.076,,,0.0,,
target+hour,kpx_group_1,1096,1093,768,0.7007299270072993,8784170.016,8596684.107,,,1.0,,
target+hour,kpx_group_1,1096,1093,749,0.6833941605839416,8872684.553,8660466.646000002,,,2.0,,
target+hour,kpx_group_1,1096,1093,763,0.6961678832116789,8988028.221,8792818.987,,,3.0,,
target+hour,kpx_group_1,1096,1093,774,0.7062043795620438,9054862.494,8884486.499000002,,,4.0,,
target+hour,kpx_group_1,1096,1093,758,0.6916058394160584,8886294.384,8698417.969,,,5.0,,
target+hour,kpx_group_1,1096,1093,748,0.6824817518248175,8575423.238,8374486.597999999,,,6.0,,
target+hour,kpx_group_1,1096,1093,729,0.6651459854014599,8320351.002,8100163.894,,,7.0,,
target+hour,kpx_group_1,1096,1093,705,0.6432481751824818,7746178.106,7544041.013,,,8.0,,
target+hour,kpx_group_1,1096,1091,646,0.5894160583941606,6964473.341,6742854.375,,,9.0,,
target+hour,kpx_group_1,1096,1091,592,0.5401459854014599,6139248.945,5910919.074000001,,,10.0,,
target+hour,kpx_group_1,1096,1090,559,0.510036496350365,5551871.171,5330758.42,,,11.0,,
target+hour,kpx_group_1,1096,1088,528,0.48175182481751827,5345004.615,5092839.472999999,,,12.0,,
target+hour,kpx_group_1,1096,1088,519,0.47354014598540145,5297854.722,5040309.278,,,13.0,,
target+hour,kpx_group_1,1096,1088,530,0.4835766423357664,5318030.824,5065735.51,,,14.0,,
target+hour,kpx_group_1,1096,1090,537,0.48996350364963503,5434849.747,5167064.397,,,15.0,,
target+hour,kpx_group_1,1096,1091,548,0.5,5529583.441,5258862.061000001,,,16.0,,
target+hour,kpx_group_1,1096,1091,568,0.5182481751824818,5697703.185,5437554.3780000005,,,17.0,,
target+hour,kpx_group_1,1096,1091,599,0.5465328467153284,6018582.816,5781025.445,,,18.0,,
target+hour,kpx_group_1,1096,1092,638,0.5821167883211679,6618225.336,6389909.934,,,19.0,,
target+hour,kpx_group_1,1096,1093,673,0.6140510948905109,7191877.576,6936761.944,,,20.0,,
target+hour,kpx_group_1,1096,1093,718,0.6551094890510949,7752845.613,7529505.535,,,21.0,,
target+hour,kpx_group_1,1096,1093,737,0.6724452554744526,8217532.422,7980047.368999999,,,22.0,,
target+hour,kpx_group_1,1096,1093,761,0.6943430656934306,8526523.335,8303385.737000001,,,23.0,,
target+hour,kpx_group_2,1096,1093,773,0.7052919708029197,9329821.59,9150290.417,,,0.0,,
target+hour,kpx_group_2,1096,1093,759,0.6925182481751825,9387211.391,9182210.599,,,1.0,,
target+hour,kpx_group_2,1096,1093,759,0.6925182481751825,9498722.339,9309197.120000001,,,2.0,,
target+hour,kpx_group_2,1096,1093,756,0.6897810218978102,9578558.966,9383205.101,,,3.0,,
target+hour,kpx_group_2,1096,1093,762,0.6952554744525548,9572050.545,9387153.541000001,,,4.0,,
target+hour,kpx_group_2,1096,1093,744,0.6788321167883211,9409773.906,9204165.66,,,5.0,,
target+hour,kpx_group_2,1096,1093,737,0.6724452554744526,9119180.14,8907916.805,,,6.0,,
target+hour,kpx_group_2,1096,1093,708,0.6459854014598541,8805315.15,8566528.422,,,7.0,,
target+hour,kpx_group_2,1096,1093,697,0.6359489051094891,8221625.488,8014686.634,,,8.0,,
target+hour,kpx_group_2,1096,1091,645,0.5885036496350365,7493839.392,7281505.774,,,9.0,,
target+hour,kpx_group_2,1096,1091,590,0.5383211678832117,6764621.424,6540428.019,,,10.0,,
target+hour,kpx_group_2,1096,1090,553,0.5045620437956204,6151745.099,5921549.491,,,11.0,,
target+hour,kpx_group_2,1096,1088,537,0.48996350364963503,5867862.227,5628063.084,,,12.0,,
target+hour,kpx_group_2,1096,1089,528,0.48175182481751827,5707943.11,5448604.24,,,13.0,,
target+hour,kpx_group_2,1096,1088,535,0.48813868613138683,5715102.365,5451062.965,,,14.0,,
target+hour,kpx_group_2,1096,1090,550,0.5018248175182481,5767039.576,5497374.007999999,,,15.0,,
target+hour,kpx_group_2,1096,1091,546,0.4981751824817518,5725212.115,5447707.521,,,16.0,,
target+hour,kpx_group_2,1096,1091,560,0.5109489051094891,5948798.081,5677772.968,,,17.0,,
target+hour,kpx_group_2,1096,1091,602,0.5492700729927007,6316711.887,6078735.097000001,,,18.0,,
target+hour,kpx_group_2,1096,1092,643,0.5866788321167883,7033433.675,6809384.9059999995,,,19.0,,
target+hour,kpx_group_2,1096,1093,683,0.6231751824817519,7674542.077,7453458.254,,,20.0,,
target+hour,kpx_group_2,1096,1093,721,0.6578467153284672,8373994.861,8169225.476,,,21.0,,
target+hour,kpx_group_2,1096,1093,743,0.6779197080291971,8803087.835,8588092.993,,,22.0,,
target+hour,kpx_group_2,1096,1093,760,0.6934306569343066,9154166.52,8944175.938000001,,,23.0,,
target+hour,kpx_group_3,1096,731,444,0.4051094890510949,4931763.285,4780232.790000001,,,0.0,,
target+hour,kpx_group_3,1096,731,450,0.41058394160583944,4884483.226,4729134.447,,,1.0,,
target+hour,kpx_group_3,1096,731,451,0.4114963503649635,4820613.906,4686265.642999999,,,2.0,,
target+hour,kpx_group_3,1096,731,449,0.4096715328467153,4835829.148,4704185.493999999,,,3.0,,
target+hour,kpx_group_3,1096,731,454,0.4142335766423358,4777036.402,4656211.191000001,,,4.0,,
target+hour,kpx_group_3,1096,731,439,0.4005474452554745,4635528.903,4505215.843,,,5.0,,
target+hour,kpx_group_3,1096,731,425,0.38777372262773724,4393010.656,4252457.687000001,,,6.0,,
target+hour,kpx_group_3,1096,731,403,0.3677007299270073,4139326.863,3986393.433,,,7.0,,
target+hour,kpx_group_3,1096,731,390,0.35583941605839414,3959101.45,3808872.6319999998,,,8.0,,
target+hour,kpx_group_3,1096,731,366,0.33394160583941607,3798705.011,3649980.369,,,9.0,,
target+hour,kpx_group_3,1096,731,346,0.3156934306569343,3587369.361,3440958.8170000003,,,10.0,,
target+hour,kpx_group_3,1096,731,339,0.3093065693430657,3372591.462,3211471.8940000003,,,11.0,,
target+hour,kpx_group_3,1096,729,330,0.3010948905109489,3305496.874,3134310.939,,,12.0,,
target+hour,kpx_group_3,1096,729,331,0.30200729927007297,3221523.775,3040358.275,,,13.0,,
target+hour,kpx_group_3,1096,729,342,0.31204379562043794,3227656.161,3052680.881,,,14.0,,
target+hour,kpx_group_3,1096,731,346,0.3156934306569343,3271971.264,3098601.406,,,15.0,,
target+hour,kpx_group_3,1096,731,342,0.31204379562043794,3249278.594,3077138.084,,,16.0,,
target+hour,kpx_group_3,1096,731,347,0.3166058394160584,3377812.674,3222753.16,,,17.0,,
target+hour,kpx_group_3,1096,731,362,0.3302919708029197,3563591.913,3422720.768,,,18.0,,
target+hour,kpx_group_3,1096,731,370,0.3375912408759124,3911025.91,3760478.9009999996,,,19.0,,
target+hour,kpx_group_3,1096,731,387,0.3531021897810219,4188516.049,4044217.1330000004,,,20.0,,
target+hour,kpx_group_3,1096,731,425,0.38777372262773724,4501990.533,4378243.756,,,21.0,,
target+hour,kpx_group_3,1096,731,430,0.39233576642335766,4707410.768,4560653.118000001,,,22.0,,
target+hour,kpx_group_3,1096,731,446,0.40693430656934304,4916634.82,4777658.342,,,23.0,,
target+season,kpx_group_1,6552,6470,3413,0.520909645909646,34851640.112,33158004.377000004,,,,fall,
target+season,kpx_group_1,6624,6622,4464,0.6739130434782609,46494337.593,45143579.95,,,,spring,
target+season,kpx_group_1,6624,6604,3315,0.5004528985507246,31995585.876,30393646.551,,,,summer,
target+season,kpx_group_1,6504,6504,4723,0.7261685116851169,60154341.894,59391207.841000006,,,,winter,
target+season,kpx_group_2,6552,6470,3386,0.5167887667887668,36286660.2,34636934.617,,,,fall,
target+season,kpx_group_2,6624,6622,4432,0.6690821256038647,49554944.336,48170906.936000004,,,,spring,
target+season,kpx_group_2,6624,6605,3361,0.507397342995169,35837608.044,34290975.871999994,,,,summer,
