target,year,ratio_bin,rows,non_null,actual_sum,eligible_count,eligible_rate,mean_actual_ratio,actual_sum_share
kpx_group_1,2022,1-5%,1034,1034,619833.101,0,0.0,0.027752395452754496,0.010903464160274457
kpx_group_1,2022,10-30%,1704,1704,6991143.399,1704,1.0,0.18994368911384976,0.12298097885923624
kpx_group_1,2022,30-60%,1865,1865,18174071.571,1865,1.0,0.45114863397378613,0.31969950895000904
kpx_group_1,2022,5-10%,734,734,1167133.4510000001,0,0.0,0.07361574395751337,0.02053100702867423
kpx_group_1,2022,60-80%,1289,1289,19208505.54,1289,1.0,0.6899012132574778,0.33789620365535034
kpx_group_1,2022,80-90%,335,335,6083406.695,335,1.0,0.8407140263957987,0.10701301167087264
kpx_group_1,2022,90-100%,223,223,4549646.655,223,1.0,0.944537173019432,0.08003268809728357
kpx_group_1,2022,<1%,1480,1480,53614.877,0,0.0,0.0016771420482982983,0.0009431375782995223
kpx_group_1,2022,,95,0,0.0,0,0.0,,0.0
kpx_group_1,2023,1-5%,983,983,593177.514,0,0.0,0.02793684836667797,0.0096762072990508
kpx_group_1,2023,10-30%,1747,1747,7137423.788,1747,1.0,0.18914498367571922,0.11642921473564896
kpx_group_1,2023,30-60%,1596,1596,15348201.906,1596,1.0,0.4452161046714007,0.2503675203543582
kpx_group_1,2023,5-10%,749,749,1195712.64,0,0.0,0.07390796617712506,0.019505060629684122
kpx_group_1,2023,60-80%,1137,1137,17149978.748,1137,1.0,0.698311783282843,0.27975900236158263
kpx_group_1,2023,80-90%,579,579,10644132.129,579,1.0,0.8510948097773939,0.17363238923903468
kpx_group_1,2023,90-100%,450,450,9188762.402,450,1.0,0.9453459261316872,0.1498916727707854
kpx_group_1,2023,<1%,1516,1516,45298.555,0,0.0,0.0013833478390989935,0.0007389326098552248
kpx_group_1,2023,,3,0,0.0,0,0.0,,0.0
kpx_group_1,2024,1-5%,1032,1032,605167.447,0,0.0,0.02714826689455929,0.010938409989707465
kpx_group_1,2024,10-30%,1554,1554,6282448.682,1554,1.0,0.1871648041493875,0.11355534697657538
kpx_group_1,2024,30-60%,1484,1484,14344502.139,1484,1.0,0.44750493345687337,0.25927707491942753
kpx_group_1,2024,5-10%,679,679,1068480.255,0,0.0,0.0728522510636557,0.019312795413956193
kpx_group_1,2024,60-80%,1111,1111,16733410.858,1111,1.0,0.6972951819348602,0.3024566331160019
kpx_group_1,2024,80-90%,448,448,8234381.995,448,1.0,0.850940599681713,0.14883656865498132
kpx_group_1,2024,90-100%,392,392,7995551.875,392,1.0,0.9442970373913454,0.14451971092675817
kpx_group_1,2024,<1%,2078,2078,61048.916,0,0.0,0.001360124496488789,0.0011034600025919962
kpx_group_1,2024,,6,0,0.0,0,0.0,,0.0
kpx_group_1,2025,90-100%,1,1,20870.337,1,1.0,0.9662193055555556,1.0
kpx_group_2,2022,1-5%,1039,1039,631635.035,0,0.0,0.028144718702099596,0.00969391113129883
kpx_group_2,2022,10-30%,1497,1497,6085561.711,1497,1.0,0.18820238350157106,0.09339712197957616
kpx_group_2,2022,30-60%,1442,1442,14045230.491,1442,1.0,0.4509307575319772,0.21555678303747455
kpx_group_2,2022,5-10%,666,666,1049895.082,0,0.0,0.07298236305750194,0.016113085972337963
kpx_group_2,2022,60-80%,1180,1180,17974248.58,1180,1.0,0.7052043542059008,0.275856719040916
kpx_group_2,2022,80-90%,782,782,14409600.813,782,1.0,0.8530833104219948,0.22114889450157457
kpx_group_2,2022,90-100%,539,539,10908750.064,539,1.0,0.9369846478389336,0.16742018383126328
kpx_group_2,2022,<1%,1519,1519,52992.965000000004,0,0.0,0.001615127063370151,0.0008133005055586084
kpx_group_2,2022,,95,0,0.0,0,0.0,,0.0
