target,year,month,hour,count,mean_actual,mean_actual_ratio,p50_actual_ratio,p90_actual_ratio,eligible_rate
kpx_group_1,2022,1,0,30,8599.311566666667,0.39811627623456786,0.38066226851851853,0.7321304166666667,0.7666666666666667
kpx_group_1,2022,1,1,31,9546.61729032258,0.4419730227001195,0.4794268981481481,0.8115438425925927,0.8064516129032258
kpx_group_1,2022,1,2,31,10308.499129032258,0.47724533004778974,0.5731695833333333,0.8323011574074075,0.7741935483870968
kpx_group_1,2022,1,3,31,10625.755612903225,0.49193313022700125,0.5175935648148149,0.8550672685185186,0.8064516129032258
kpx_group_1,2022,1,4,31,11038.188806451613,0.511027259557945,0.5845526388888889,0.8892163888888889,0.8387096774193549
kpx_group_1,2022,1,5,31,10672.410903225807,0.4940930973715651,0.5430380092592593,0.885868425925926,0.8709677419354839
kpx_group_1,2022,1,6,31,10301.500870967742,0.476921336618877,0.5229502777777778,0.8764941666666667,0.8387096774193549
kpx_group_1,2022,1,7,31,9954.851548387096,0.46087275686977297,0.53366375,0.7934649074074074,0.8064516129032258
kpx_group_1,2022,1,8,31,9559.680838709679,0.4425778166069295,0.4392514814814815,0.7954737037037037,0.7741935483870968
kpx_group_1,2022,1,9,31,9126.252612903227,0.422511695041816,0.30935087962962965,0.7767251388888888,0.8064516129032258
kpx_group_1,2022,1,10,31,7076.216612903226,0.32760262096774195,0.24507018518518517,0.6742777777777778,0.7419354838709677
kpx_group_1,2022,1,11,31,5752.604354838711,0.2663242756869773,0.1861462037037037,0.6327631481481482,0.6129032258064516
kpx_group_1,2022,1,12,31,5443.279451612903,0.2520036783154122,0.0984298148148148,0.6187017592592593,0.4838709677419355
kpx_group_1,2022,1,13,31,5503.464870967741,0.2547900403225806,0.10311694444444444,0.6655731018518519,0.5161290322580645
kpx_group_1,2022,1,14,31,5377.961967741935,0.24897972072879332,0.17074560185185186,0.6421374074074074,0.5806451612903226
kpx_group_1,2022,1,15,31,5374.696129032259,0.24882852449223417,0.12320467592592593,0.6287456018518519,0.5161290322580645
kpx_group_1,2022,1,16,31,5448.878064516129,0.2522628733572282,0.11985671296296298,0.620040925925926,0.5161290322580645
kpx_group_1,2022,1,17,31,5946.69064516129,0.2753097520908005,0.1961900462962963,0.6240584722222222,0.5483870967741935
kpx_group_1,2022,1,18,31,6606.397322580646,0.3058517278972521,0.25913157407407406,0.6796344907407407,0.6451612903225806
kpx_group_1,2022,1,19,31,7236.244516129032,0.33501132019115887,0.346847962962963,0.6582075925925925,0.6774193548387096
kpx_group_1,2022,1,20,31,8037.316870967742,0.3720980032855436,0.40711111111111115,0.7847602314814814,0.7096774193548387
kpx_group_1,2022,1,21,31,8243.999967741936,0.3816666651732378,0.42117249999999995,0.8229268981481482,0.7096774193548387
kpx_group_1,2022,1,22,31,8391.430935483872,0.3884921729390681,0.3937193055555555,0.8249356944444445,0.7096774193548387
kpx_group_1,2022,1,23,31,8125.495451612903,0.3761803449820788,0.3575613888888889,0.7144531944444444,0.7419354838709677
kpx_group_1,2022,2,0,28,10600.461607142857,0.49076211144179893,0.61133625,0.7722388796296296,0.8214285714285714
kpx_group_1,2022,2,1,28,10385.580428571428,0.4808139087301587,0.5879005787037037,0.756771337962963,0.7857142857142857
kpx_group_1,2022,2,2,28,10315.847392857144,0.47758552744708993,0.6160234027777778,0.7444508796296296,0.8571428571428571
kpx_group_1,2022,2,3,28,10373.700035714286,0.48026389054232804,0.5731696064814815,0.7479327361111111,0.8214285714285714
kpx_group_1,2022,2,4,28,10244.564607142858,0.47428539847883594,0.5781915277777778,0.7212160972222222,0.8214285714285714
kpx_group_1,2022,2,5,28,10017.28642857143,0.4637632605820106,0.5728347916666667,0.7467944351851852,0.8214285714285714
kpx_group_1,2022,2,6,28,9793.1075,0.45338460648148143,0.5704912268518518,0.7423081851851852,0.7857142857142857
kpx_group_1,2022,2,7,28,9947.036821428572,0.4605109639550265,0.5597777777777777,0.7762564259259259,0.7857142857142857
kpx_group_1,2022,2,8,28,10205.307392857143,0.47246793485449734,0.5758479398148149,0.7634003055555555,0.75
kpx_group_1,2022,2,9,28,9469.752678571429,0.4384144758597884,0.5273026388888888,0.7804078842592592,0.75
kpx_group_1,2022,2,10,28,8257.430035714286,0.3822884275793651,0.38802777777777775,0.7201447546296297,0.7142857142857143
kpx_group_1,2022,2,11,28,8326.646642857142,0.38549290013227516,0.4359035185185185,0.7307912268518519,0.7142857142857143
kpx_group_1,2022,2,12,28,8064.243642857144,0.3733446130952381,0.3508655092592593,0.7266397638888888,0.7142857142857143
kpx_group_1,2022,2,13,28,8474.377357142857,0.39233228505291,0.4087850694444444,0.7077572962962962,0.75
kpx_group_1,2022,2,14,28,8609.194642857143,0.3985738260582011,0.4837792361111112,0.7174663703703704,0.6785714285714286
kpx_group_1,2022,2,15,28,8464.563107142856,0.39187792162698415,0.4874619907407407,0.7247649212962963,0.6785714285714286
kpx_group_1,2022,2,16,28,8058.561678571429,0.3730815591931217,0.42987719907407407,0.6828485509259259,0.6785714285714286
kpx_group_1,2022,2,17,28,8248.132357142857,0.3818579794973545,0.5132412268518519,0.6914862685185185,0.6785714285714286
kpx_group_1,2022,2,18,28,8393.797035714286,0.3886017146164021,0.5185979629629629,0.736817537037037,0.6785714285714286
kpx_group_1,2022,2,19,28,8566.321714285714,0.3965889682539682,0.5376812962962962,0.6901470648148148,0.7142857142857143
kpx_group_1,2022,2,20,28,9193.402964285715,0.4256205076058201,0.5229502777777778,0.7236935509259259,0.7857142857142857
kpx_group_1,2022,2,21,28,9702.19632142857,0.44917575562169315,0.5145804166666667,0.6985839305555556,0.8214285714285714
kpx_group_1,2022,2,22,28,9864.390214285713,0.45668473214285715,0.5396900694444444,0.7206803935185185,0.8214285714285714
