slice_type,target,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,year,season
target,kpx_group_1,26200,0.3065732002314815,0.30474273741317154,0.0,0.0,0.0,0.0,0.025444444444444447,0.1968596296296296,0.5651344907407407,0.7868359861111126,0.8818508796296296,0.9682280555555555,0.9849678240740741,,
target,kpx_group_2,26201,0.3276316138608648,0.324127132765117,0.0,0.0,0.0,0.0,0.025444444444444447,0.20288597222222224,0.6253976388888889,0.8416754166666666,0.9019386111111111,0.961532175925926,0.9889853703703704,,
target,kpx_group_3,17538,0.26494379281994473,0.29974204291950246,0.0,0.0,0.0,0.0,0.007575952380952381,0.12947971428571428,0.4752180476190476,0.7660652809523817,0.8836300952380952,0.9797963185714293,1.0062225714285713,,
target+year,kpx_group_1,8664,0.3037652359326374,0.28847759726859834,0.0,0.0,0.0,0.0006695833333333333,0.03347953703703704,0.21393421296296297,0.5499013310185186,0.7372193055555556,0.8202485185185184,0.9557535791666671,0.9842982407407408,2022.0,
target+year,kpx_group_1,8757,0.324093570022289,0.3139329006716356,0.0,0.0,0.0,0.0,0.03548828703703704,0.2162777777777778,0.5959356944444444,0.828283611111111,0.902072527777777,0.9749239814814815,0.9849678240740741,2023.0,
target+year,kpx_group_1,8778,0.29179109477713644,0.3101114017517322,0.0,0.0,0.0,0.0,0.012722222222222223,0.15869296296296295,0.5530818518518518,0.7907865277777778,0.8879776203703702,0.9695672685185185,0.9842982407407408,2024.0,
target+year,kpx_group_1,1,0.9662193055555556,,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,0.9662193055555556,2025.0,
target+year,kpx_group_2,8664,0.34817291400024797,0.3313400829264823,0.0,0.0,0.0,0.0,0.03280995370370371,0.23368712962962962,0.6583749884259259,0.8635710694444443,0.912652037037037,0.967806218055556,0.9889853703703704,2022.0,
target+year,kpx_group_2,8758,0.33454210327277495,0.32278618222290356,0.0,0.0,0.0,0.0,0.03280995370370371,0.2162777777777778,0.6305870023148148,0.8477017592592593,0.9019386111111111,0.9608625925925927,0.9869766203703704,2023.0,
target+year,kpx_group_2,8778,0.30038730238896905,0.3162869470189115,0.0,0.0,0.0,0.0,0.013391805555555554,0.16070175925925925,0.5723326041666666,0.8128830555555556,0.8818508796296296,0.9581842129629629,0.9889853703703704,2024.0,
target+year,kpx_group_2,1,0.986307037037037,,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,0.986307037037037,2025.0,
target+year,kpx_group_3,0,,,,,,,,,,,,,,2022.0,
