year,target_a,target_b,correlation
all,kpx_group_1,kpx_group_1,1.0
all,kpx_group_1,kpx_group_2,0.9553499467645247
all,kpx_group_1,kpx_group_3,0.9036942118579854
all,kpx_group_2,kpx_group_1,0.9553499467645247
all,kpx_group_2,kpx_group_2,1.0
all,kpx_group_2,kpx_group_3,0.9282938694563538
all,kpx_group_3,kpx_group_1,0.9036942118579854
all,kpx_group_3,kpx_group_2,0.9282938694563538
all,kpx_group_3,kpx_group_3,1.0
2022,kpx_group_1,kpx_group_1,1.0
2022,kpx_group_1,kpx_group_2,0.9503893300637875
2022,kpx_group_1,kpx_group_3,
2022,kpx_group_2,kpx_group_1,0.9503893300637875
2022,kpx_group_2,kpx_group_2,1.0
2022,kpx_group_2,kpx_group_3,
2022,kpx_group_3,kpx_group_1,
2022,kpx_group_3,kpx_group_2,
2022,kpx_group_3,kpx_group_3,
2023,kpx_group_1,kpx_group_1,1.0
2023,kpx_group_1,kpx_group_2,0.9613888928059399
2023,kpx_group_1,kpx_group_3,0.8848905953480614
2023,kpx_group_2,kpx_group_1,0.9613888928059399
2023,kpx_group_2,kpx_group_2,1.0
2023,kpx_group_2,kpx_group_3,0.9137871028267786
2023,kpx_group_3,kpx_group_1,0.8848905953480614
2023,kpx_group_3,kpx_group_2,0.9137871028267786
2023,kpx_group_3,kpx_group_3,1.0
2024,kpx_group_1,kpx_group_1,1.0
2024,kpx_group_1,kpx_group_2,0.9615379006372254
2024,kpx_group_1,kpx_group_3,0.923777123104376
2024,kpx_group_2,kpx_group_1,0.9615379006372254
2024,kpx_group_2,kpx_group_2,1.0
2024,kpx_group_2,kpx_group_3,0.9446515188761795
2024,kpx_group_3,kpx_group_1,0.923777123104376
2024,kpx_group_3,kpx_group_2,0.9446515188761795
2024,kpx_group_3,kpx_group_3,1.0
2025,kpx_group_1,kpx_group_1,
2025,kpx_group_1,kpx_group_2,
2025,kpx_group_1,kpx_group_3,
2025,kpx_group_2,kpx_group_1,
2025,kpx_group_2,kpx_group_2,
2025,kpx_group_2,kpx_group_3,
2025,kpx_group_3,kpx_group_1,
2025,kpx_group_3,kpx_group_2,
2025,kpx_group_3,kpx_group_3,
