slice_type,target,year,ratio_bin,count,row_count,actual_sum,eligible_count,mean_actual_ratio,month,count_share_hint
target+year+ratio_bin,kpx_group_1,2022.0,1-5%,1034,1034,619833.101,0,0.027752395452754496,,1034
target+year+ratio_bin,kpx_group_1,2022.0,10-30%,1704,1704,6991143.399,1704,0.18994368911384976,,1704
target+year+ratio_bin,kpx_group_1,2022.0,30-60%,1865,1865,18174071.571,1865,0.45114863397378613,,1865
target+year+ratio_bin,kpx_group_1,2022.0,5-10%,734,734,1167133.4510000001,0,0.07361574395751337,,734
target+year+ratio_bin,kpx_group_1,2022.0,60-80%,1289,1289,19208505.54,1289,0.6899012132574778,,1289
target+year+ratio_bin,kpx_group_1,2022.0,80-90%,335,335,6083406.695,335,0.8407140263957987,,335
target+year+ratio_bin,kpx_group_1,2022.0,90-100%,223,223,4549646.655,223,0.944537173019432,,223
target+year+ratio_bin,kpx_group_1,2022.0,<1%,1480,1480,53614.877,0,0.0016771420482982983,,1480
target+year+ratio_bin,kpx_group_1,2022.0,,0,95,0.0,0,,,0
target+year+ratio_bin,kpx_group_1,2023.0,1-5%,983,983,593177.514,0,0.02793684836667797,,983
target+year+ratio_bin,kpx_group_1,2023.0,10-30%,1747,1747,7137423.788,1747,0.18914498367571922,,1747
target+year+ratio_bin,kpx_group_1,2023.0,30-60%,1596,1596,15348201.906,1596,0.4452161046714007,,1596
target+year+ratio_bin,kpx_group_1,2023.0,5-10%,749,749,1195712.64,0,0.07390796617712506,,749
target+year+ratio_bin,kpx_group_1,2023.0,60-80%,1137,1137,17149978.748,1137,0.698311783282843,,1137
target+year+ratio_bin,kpx_group_1,2023.0,80-90%,579,579,10644132.129,579,0.8510948097773939,,579
target+year+ratio_bin,kpx_group_1,2023.0,90-100%,450,450,9188762.402,450,0.9453459261316872,,450
target+year+ratio_bin,kpx_group_1,2023.0,<1%,1516,1516,45298.555,0,0.0013833478390989935,,1516
target+year+ratio_bin,kpx_group_1,2023.0,,0,3,0.0,0,,,0
target+year+ratio_bin,kpx_group_1,2024.0,1-5%,1032,1032,605167.447,0,0.02714826689455929,,1032
target+year+ratio_bin,kpx_group_1,2024.0,10-30%,1554,1554,6282448.682,1554,0.1871648041493875,,1554
target+year+ratio_bin,kpx_group_1,2024.0,30-60%,1484,1484,14344502.139,1484,0.44750493345687337,,1484
target+year+ratio_bin,kpx_group_1,2024.0,5-10%,679,679,1068480.255,0,0.0728522510636557,,679
target+year+ratio_bin,kpx_group_1,2024.0,60-80%,1111,1111,16733410.858,1111,0.6972951819348602,,1111
target+year+ratio_bin,kpx_group_1,2024.0,80-90%,448,448,8234381.995,448,0.850940599681713,,448
target+year+ratio_bin,kpx_group_1,2024.0,90-100%,392,392,7995551.875,392,0.9442970373913454,,392
target+year+ratio_bin,kpx_group_1,2024.0,<1%,2078,2078,61048.916,0,0.001360124496488789,,2078
target+year+ratio_bin,kpx_group_1,2024.0,,0,6,0.0,0,,,0
target+year+ratio_bin,kpx_group_1,2025.0,90-100%,1,1,20870.337,1,0.9662193055555556,,1
target+year+ratio_bin,kpx_group_2,2022.0,1-5%,1039,1039,631635.035,0,0.028144718702099596,,1039
