experiment,target,label_regime,rows,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.003266820442595166,0.7154336769283414,16,21,-5
B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.004808316339923679,7.746197623617046,187,163,24
B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.007681520696911725,17.81344649613829,220,296,-76
B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,-0.00576392408228967,-4.841696229123323,103,53,50
B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,-0.0034598727803489006,-0.7750115027981538,24,19,5
B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.011318913070524593,17.929158303710956,150,215,-65
B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.005372344153920489,11.899742300933882,253,254,-1
B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,-0.011421891914404557,-10.885062994427543,103,54,49
B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,-0.0033342728947455794,-0.7068658536860628,16,12,4
B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.01311773216683794,17.74829162173173,181,247,-66
B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.009432627722846885,21.59128485759652,263,289,-26
B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,-0.008545363902204329,-6.084299098369482,38,12,26
B1_plus_soft_upstream,kpx_group_1,ficr_boundary_8_12pct,219,-0.0006978364351041903,-0.15282617928781767,7,12,-5
B1_plus_soft_upstream,kpx_group_1,high_50_80pct,1611,0.0022306270548809945,3.593540185413282,79,66,13
B1_plus_soft_upstream,kpx_group_1,mid_12_50pct,2319,0.00022255483134927788,0.5161046538989754,112,135,-23
B1_plus_soft_upstream,kpx_group_1,very_high_80pct_plus,840,-0.002257767491536349,-1.896524692890533,33,33,0
B1_plus_soft_upstream,kpx_group_2,ficr_boundary_8_12pct,224,-0.0009723905113845553,-0.2178154745501404,16,15,1
B1_plus_soft_upstream,kpx_group_2,high_50_80pct,1584,0.0016207806382053406,2.5673165309172594,72,77,-5
B1_plus_soft_upstream,kpx_group_2,mid_12_50pct,2215,0.00021610201062919034,0.4786659535436566,150,129,21
B1_plus_soft_upstream,kpx_group_2,very_high_80pct_plus,953,0.0015851760682727381,1.5106727930639194,37,40,-3
