month,base_score,candidate_score,delta_score,base_ficr,candidate_ficr,delta_ficr,base_avg_nmae,candidate_avg_nmae,delta_avg_nmae,eligible_hours
1,0.6104499370537623,0.6233202471635051,0.012870310109742822,0.36707328253973365,0.39133877180419674,0.02426548926446309,0.1461734084322091,0.14469827747718642,-0.001475130955022691,1492
2,0.5734043310386321,0.5788180397716202,0.005413708732988076,0.2916450878760113,0.2980246332747026,0.006379545398691289,0.14483642579874725,0.14038855373146222,-0.00444787206728503,772
3,0.6145507886545746,0.6100303657723969,-0.004520422882177688,0.36689914179963673,0.3603107787044834,-0.006588363095153316,0.13779756449048763,0.1402500471596897,0.0024524826692020607,1587
4,0.6059561126641813,0.6055676204948442,-0.0003884921693370069,0.3316203186994498,0.3327685480901292,0.0011482293906793783,0.11970809337108727,0.12163330710044058,0.001925213729353309,1166
5,0.6191417225559904,0.6200447194199182,0.0009029968639278074,0.36401530877028915,0.3674687232745977,0.0034534145043085274,0.12573186365830827,0.1273792844347612,0.0016474207764529403,1545
6,0.6055508371781704,0.6018488249087263,-0.0037020122694441104,0.3349333065999802,0.32798879174037193,-0.006944514859608286,0.12383163224363958,0.1242911419229195,0.0004595096792799208,970
7,0.6080710382675205,0.6153775469602961,0.007306508692775604,0.3537602164457063,0.3662234816802992,0.012463265234592902,0.1376181399106652,0.135468387759707,-0.002149752150958223,1577
8,0.6147614041153363,0.6129171842652482,-0.0018442198500880913,0.36045570865520676,0.35944895647956326,-0.0010067521756434994,0.1309329004245341,0.13361458794906686,0.0026816875245327665,689
9,0.6146600445513081,0.6144775460658303,-0.0001824984854778,0.33947455994699194,0.33947455994699194,0.0,0.11015447084437574,0.11051946781533149,0.0003649969709557527,837
10,0.5989926657536926,0.5946487651777951,-0.004343900575897508,0.3271129236390474,0.3195128225234632,-0.007600101115584235,0.12912759213166233,0.13021529216787292,0.001087700036210587,895
11,0.5901677225285769,0.5906654264518172,0.0004977039232403335,0.315242166956134,0.31284009742925173,-0.0024020695268822667,0.13490672189898023,0.13150924452561727,-0.0033974773733629615,963
12,0.6419835011996575,0.6410087334699486,-0.0009747677297089474,0.4029355354005378,0.4050439130649759,0.0021083776644381103,0.11896853300122268,0.12302644612507878,0.004057913123856102,2038
