ensemble_id,model_id,members,weights,best_alpha,alpha_score,alpha_1_nmae,alpha_ficr,avg_nmae,worst_month_score,high_generation_score,delta_vs_baseline
avg_lgbm_l1_baseline_catboost_mae,avg_lgbm_l1_baseline_catboost_mae,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.5, ""catboost_mae"": 0.5}",1.03,0.6203138457510603,0.8713050870080146,0.369322604494106,0.12869491299198543,,,-0.00041212914893973274
avg_lgbm_l1_baseline_xgboost_l1,avg_lgbm_l1_baseline_xgboost_l1,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.5, ""xgboost_l1"": 0.5}",1.03,0.6197639406812468,0.871349694618785,0.36817818674370867,0.12865030538121505,,,-0.0009620342187531827
avg_lgbm_l1_baseline_catboost_mae_xgboost_l1,avg_lgbm_l1_baseline_catboost_mae_xgboost_l1,lgbm_l1_baseline+catboost_mae+xgboost_l1,"{""lgbm_l1_baseline"": 0.3333333333333333, ""catboost_mae"": 0.3333333333333333, ""xgboost_l1"": 0.3333333333333333}",1.03,0.6198478065584694,0.8716159366572394,0.3680796764596994,0.12838406334276062,,,-0.0008781683415306496
w2_lgbm_l1_baseline_xgboost_l1_0.00,w2_lgbm_l1_baseline_xgboost_l1_0.00,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.0, ""xgboost_l1"": 1.0}",1.0275,0.6176402913337409,0.8702091405323495,0.3650714421351322,0.12979085946765045,,,-0.0030856835662591564
w2_lgbm_l1_baseline_xgboost_l1_0.05,w2_lgbm_l1_baseline_xgboost_l1_0.05,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.05, ""xgboost_l1"": 0.95}",1.0275,0.6178894800924181,0.8703744547551273,0.36540450542970876,0.1296255452448727,,,-0.0028364948075819685
w2_lgbm_l1_baseline_xgboost_l1_0.10,w2_lgbm_l1_baseline_xgboost_l1_0.10,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.1, ""xgboost_l1"": 0.9}",1.03,0.6182194243055834,0.8705759629240952,0.36586288568707165,0.12942403707590472,,,-0.0025065505944166233
w2_lgbm_l1_baseline_xgboost_l1_0.15,w2_lgbm_l1_baseline_xgboost_l1_0.15,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.15, ""xgboost_l1"": 0.85}",1.03,0.618501458108991,0.8707150930976513,0.3662878231203308,0.1292849069023487,,,-0.0022245167910089902
w2_lgbm_l1_baseline_xgboost_l1_0.20,w2_lgbm_l1_baseline_xgboost_l1_0.20,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.2, ""xgboost_l1"": 0.8}",1.0275,0.6189384322058472,0.8707863692395751,0.3670904951721193,0.12921363076042494,,,-0.0017875426941528216
w2_lgbm_l1_baseline_xgboost_l1_0.25,w2_lgbm_l1_baseline_xgboost_l1_0.25,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.25, ""xgboost_l1"": 0.75}",1.03,0.6188485681199694,0.8709538630684542,0.36674327317148453,0.12904613693154574,,,-0.001877406780030677
w2_lgbm_l1_baseline_xgboost_l1_0.30,w2_lgbm_l1_baseline_xgboost_l1_0.30,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.3, ""xgboost_l1"": 0.7}",1.03,0.619015036286187,0.8710567587052129,0.3669733138671612,0.12894324129478707,,,-0.0017109386138129956
w2_lgbm_l1_baseline_xgboost_l1_0.35,w2_lgbm_l1_baseline_xgboost_l1_0.35,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.35, ""xgboost_l1"": 0.65}",1.0275,0.6191511553026698,0.8710925819171562,0.3672097286881834,0.12890741808284378,,,-0.0015748195973301904
w2_lgbm_l1_baseline_xgboost_l1_0.40,w2_lgbm_l1_baseline_xgboost_l1_0.40,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.4, ""xgboost_l1"": 0.6}",1.03,0.619459791590766,0.8712254601506324,0.3676941230308996,0.12877453984936757,,,-0.0012661833092340036
w2_lgbm_l1_baseline_xgboost_l1_0.45,w2_lgbm_l1_baseline_xgboost_l1_0.45,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.45, ""xgboost_l1"": 0.55}",1.03,0.6193974876911511,0.8712939720558459,0.36750100332645624,0.12870602794415412,,,-0.0013284872088489275
w2_lgbm_l1_baseline_xgboost_l1_0.50,w2_lgbm_l1_baseline_xgboost_l1_0.50,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.5, ""xgboost_l1"": 0.5}",1.03,0.6197639406812468,0.871349694618785,0.36817818674370867,0.12865030538121505,,,-0.0009620342187531827
w2_lgbm_l1_baseline_xgboost_l1_0.55,w2_lgbm_l1_baseline_xgboost_l1_0.55,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.55, ""xgboost_l1"": 0.44999999999999996}",1.03,0.6199515044042343,0.8713915345132962,0.36851147429517234,0.1286084654867038,,,-0.0007744704957657333
w2_lgbm_l1_baseline_xgboost_l1_0.60,w2_lgbm_l1_baseline_xgboost_l1_0.60,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.6, ""xgboost_l1"": 0.4}",1.03,0.6199714420287459,0.8714221373728966,0.3685207466845952,0.12857786262710333,,,-0.0007545328712541544
w2_lgbm_l1_baseline_xgboost_l1_0.65,w2_lgbm_l1_baseline_xgboost_l1_0.65,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.65, ""xgboost_l1"": 0.35}",1.03,0.6200330625369658,0.8714414031263152,0.36862472194761636,0.1285585968736848,,,-0.0006929123630342593
w2_lgbm_l1_baseline_xgboost_l1_0.70,w2_lgbm_l1_baseline_xgboost_l1_0.70,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.7, ""xgboost_l1"": 0.30000000000000004}",1.03,0.6204177718382327,0.87144930137537,0.36938624230109524,0.12855069862462995,,,-0.0003082030617673759
w2_lgbm_l1_baseline_xgboost_l1_0.75,w2_lgbm_l1_baseline_xgboost_l1_0.75,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.75, ""xgboost_l1"": 0.25}",1.03,0.6204072064623551,0.8714437073802958,0.3693707055444146,0.12855629261970425,,,-0.0003187684376448896
w2_lgbm_l1_baseline_xgboost_l1_0.80,w2_lgbm_l1_baseline_xgboost_l1_0.80,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.8, ""xgboost_l1"": 0.19999999999999996}",1.03,0.6210717163869782,0.8714227171179617,0.3707207156559947,0.12857728288203826,0.6023583773901591,0.6145599788172783,0.0003457414869781905
w2_lgbm_l1_baseline_xgboost_l1_0.85,w2_lgbm_l1_baseline_xgboost_l1_0.85,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.85, ""xgboost_l1"": 0.15000000000000002}",1.03,0.6211307144949278,0.8713851457205755,0.3708762832692803,0.12861485427942454,0.6027798234701339,0.6148136826664798,0.0004047395949278165
w2_lgbm_l1_baseline_xgboost_l1_0.90,w2_lgbm_l1_baseline_xgboost_l1_0.90,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.9, ""xgboost_l1"": 0.09999999999999998}",1.03,0.6209885030233538,0.8713333376147642,0.3706436684319436,0.1286666623852358,,,0.00026252812335381126
w2_lgbm_l1_baseline_xgboost_l1_0.95,w2_lgbm_l1_baseline_xgboost_l1_0.95,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 0.95, ""xgboost_l1"": 0.050000000000000044}",1.03,0.6216172232334264,0.8712724365364394,0.37196200993041345,0.12872756346356065,0.6029112761225887,0.6159130362762791,0.0008912483334263532
w2_lgbm_l1_baseline_xgboost_l1_1.00,w2_lgbm_l1_baseline_xgboost_l1_1.00,lgbm_l1_baseline+xgboost_l1,"{""lgbm_l1_baseline"": 1.0, ""xgboost_l1"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.6026838369238885,0.6159288142378625,0.0006292718009832665
w2_lgbm_l1_baseline_catboost_mae_0.00,w2_lgbm_l1_baseline_catboost_mae_0.00,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.0, ""catboost_mae"": 1.0}",1.03,0.6140365738320124,0.8685533636102254,0.3595197840537993,0.1314466363897746,,,-0.006689401067987655
w2_lgbm_l1_baseline_catboost_mae_0.05,w2_lgbm_l1_baseline_catboost_mae_0.05,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.05, ""catboost_mae"": 0.95}",1.03,0.6147574137674351,0.8689630455476123,0.3605517819872579,0.13103695445238778,,,-0.005968561132564942
w2_lgbm_l1_baseline_catboost_mae_0.10,w2_lgbm_l1_baseline_catboost_mae_0.10,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.1, ""catboost_mae"": 0.9}",1.03,0.6158039745289353,0.8693427807906592,0.3622651682672114,0.13065721920934084,,,-0.0049220003710647164
w2_lgbm_l1_baseline_catboost_mae_0.15,w2_lgbm_l1_baseline_catboost_mae_0.15,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.15, ""catboost_mae"": 0.85}",1.03,0.6165436503137439,0.8696908173186161,0.3633964833088718,0.1303091826813839,,,-0.004182324586256114
w2_lgbm_l1_baseline_catboost_mae_0.20,w2_lgbm_l1_baseline_catboost_mae_0.20,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.2, ""catboost_mae"": 0.8}",1.03,0.6164366807500685,0.8700099152148563,0.36286344628528067,0.12999008478514376,,,-0.004289294149931511
w2_lgbm_l1_baseline_catboost_mae_0.25,w2_lgbm_l1_baseline_catboost_mae_0.25,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.25, ""catboost_mae"": 0.75}",1.03,0.6172531292327319,0.8702959392633448,0.36421031920211905,0.12970406073665516,,,-0.003472845667268132
w2_lgbm_l1_baseline_catboost_mae_0.30,w2_lgbm_l1_baseline_catboost_mae_0.30,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.3, ""catboost_mae"": 0.7}",1.025,0.6178006794832072,0.8704646759207508,0.36513668304566355,0.12953532407924914,,,-0.0029252954167928724
w2_lgbm_l1_baseline_catboost_mae_0.35,w2_lgbm_l1_baseline_catboost_mae_0.35,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.35, ""catboost_mae"": 0.65}",1.0275,0.6184062741034317,0.8707405452465783,0.3660720029602853,0.1292594547534217,,,-0.0023197007965682914
w2_lgbm_l1_baseline_catboost_mae_0.40,w2_lgbm_l1_baseline_catboost_mae_0.40,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.4, ""catboost_mae"": 0.6}",1.03,0.6193253060463318,0.8709804974474857,0.3676701146451779,0.12901950255251424,,,-0.0014006688536681855
w2_lgbm_l1_baseline_catboost_mae_0.45,w2_lgbm_l1_baseline_catboost_mae_0.45,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.45, ""catboost_mae"": 0.55}",1.03,0.6200938533477387,0.8711557833570751,0.3690319233384023,0.12884421664292486,,,-0.0006321215522613333
w2_lgbm_l1_baseline_catboost_mae_0.50,w2_lgbm_l1_baseline_catboost_mae_0.50,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.5, ""catboost_mae"": 0.5}",1.03,0.6203138457510603,0.8713050870080146,0.369322604494106,0.12869491299198543,,,-0.00041212914893973274
w2_lgbm_l1_baseline_catboost_mae_0.55,w2_lgbm_l1_baseline_catboost_mae_0.55,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.55, ""catboost_mae"": 0.44999999999999996}",1.03,0.6203765110887823,0.8714290342031992,0.3693239879743655,0.12857096579680086,,,-0.00034946381121769843
w2_lgbm_l1_baseline_catboost_mae_0.60,w2_lgbm_l1_baseline_catboost_mae_0.60,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.6, ""catboost_mae"": 0.4}",1.03,0.6202143546106083,0.8715273606803612,0.36890134854085527,0.1284726393196388,,,-0.0005116202893917787
w2_lgbm_l1_baseline_catboost_mae_0.65,w2_lgbm_l1_baseline_catboost_mae_0.65,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.65, ""catboost_mae"": 0.35}",1.03,0.6202529220808591,0.8715961632532307,0.3689096809084876,0.12840383674676928,,,-0.0004730528191408956
w2_lgbm_l1_baseline_catboost_mae_0.70,w2_lgbm_l1_baseline_catboost_mae_0.70,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.7, ""catboost_mae"": 0.30000000000000004}",1.03,0.6204489180862075,0.871630423331847,0.369267412840568,0.12836957666815302,,,-0.0002770568137925311
w2_lgbm_l1_baseline_catboost_mae_0.75,w2_lgbm_l1_baseline_catboost_mae_0.75,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.75, ""catboost_mae"": 0.25}",1.03,0.6208146120154338,0.871632719328209,0.3699965047026585,0.128367280671791,,,8.863711543372066e-05
w2_lgbm_l1_baseline_catboost_mae_0.80,w2_lgbm_l1_baseline_catboost_mae_0.80,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.8, ""catboost_mae"": 0.19999999999999996}",1.0275,0.6207266480845359,0.8715608181071822,0.36989247806188974,0.12843918189281775,,,6.731845358931565e-07
w2_lgbm_l1_baseline_catboost_mae_0.85,w2_lgbm_l1_baseline_catboost_mae_0.85,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.85, ""catboost_mae"": 0.15000000000000002}",1.0275,0.6206100557300771,0.8715057922247411,0.3697143192354131,0.12849420777525888,,,-0.00011591916992292894
w2_lgbm_l1_baseline_catboost_mae_0.90,w2_lgbm_l1_baseline_catboost_mae_0.90,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.9, ""catboost_mae"": 0.09999999999999998}",1.03,0.6208314602326918,0.8714667468886503,0.3701961735767331,0.12853325311134964,,,0.00010548533269172378
w2_lgbm_l1_baseline_catboost_mae_0.95,w2_lgbm_l1_baseline_catboost_mae_0.95,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 0.95, ""catboost_mae"": 0.050000000000000044}",1.03,0.6208713168338303,0.8713465316304132,0.3703961020372475,0.12865346836958674,,,0.0001453419338303119
w2_lgbm_l1_baseline_catboost_mae_1.00,w2_lgbm_l1_baseline_catboost_mae_1.00,lgbm_l1_baseline+catboost_mae,"{""lgbm_l1_baseline"": 1.0, ""catboost_mae"": 0.0}",1.03,0.6213552467009833,0.8712021483970117,0.37150834500495483,0.12879785160298826,0.6026838369238885,0.6159288142378625,0.0006292718009832665
