model_id,target,nmae,ficr,eligible_hours,group_score
lgbm_l1_baseline__alpha,kpx_group_1,0.11785922557727523,0.40886837138200616,4989,0.6455045729023654
lgbm_l1_baseline__alpha,kpx_group_2,0.12458699411380977,0.43537474183953045,4976,0.6553938738628603
lgbm_l1_baseline__alpha,kpx_group_3,0.14394733511787977,0.27028192179332794,4566,0.5631672933377241
lgbm_l2__alpha,kpx_group_1,0.11897608168210959,0.39037430735704115,4989,0.6356991128374658
lgbm_l2__alpha,kpx_group_2,0.12353697184630884,0.4158484960591124,4976,0.6461557621064018
lgbm_l2__alpha,kpx_group_3,0.15150923001427272,0.25309960602589243,4566,0.5507951880058098
lgbm_huber__alpha,kpx_group_1,0.25913480846513653,0.10508442380394906,4989,0.4229748076694062
lgbm_huber__alpha,kpx_group_2,0.26014753507643035,0.10625154183343843,4976,0.423052003378504
lgbm_huber__alpha,kpx_group_3,0.267330512681349,0.10594196322793636,4566,0.4193057252732937
hist_gbdt_l2__alpha,kpx_group_1,0.11887039763716636,0.38682810045888666,4989,0.6339788514108602
hist_gbdt_l2__alpha,kpx_group_2,0.12310830176623216,0.4199594467799811,4976,0.6484255725068744
hist_gbdt_l2__alpha,kpx_group_3,0.15054959997352624,0.26639486851235517,4566,0.5579226342694145
extra_trees__alpha,kpx_group_1,0.1199609632643942,0.35425122453171937,4989,0.6171451306336626
extra_trees__alpha,kpx_group_2,0.12122801147905127,0.41675909877032247,4976,0.6477655436456355
extra_trees__alpha,kpx_group_3,0.14520450819143868,0.26937364579277867,4566,0.5620845688006699
random_forest__alpha,kpx_group_1,0.12223557405026053,0.3538750738398172,4989,0.6158197498947784
random_forest__alpha,kpx_group_2,0.12236138237358715,0.41793238293979956,4976,0.6477855002831062
random_forest__alpha,kpx_group_3,0.14863599907659622,0.2574832777398513,4566,0.5544236393316275
ridge__alpha,kpx_group_1,0.12513837243950418,0.36077789424247314,4989,0.6178197609014845
ridge__alpha,kpx_group_2,0.1377310845310266,0.3255960073292227,4976,0.593932461399098
ridge__alpha,kpx_group_3,0.14840558814098817,0.26717725879054705,4566,0.5593858353247795
xgboost_l1__alpha,kpx_group_1,0.12040601354406649,0.39337372938584914,4989,0.6364838579208913
xgboost_l1__alpha,kpx_group_2,0.12464210393980286,0.428376130972884,4976,0.6518670135165405
xgboost_l1__alpha,kpx_group_3,0.14432446091908202,0.2734644660466634,4566,0.5645700025637908
catboost_mae__alpha,kpx_group_1,0.12204442442946027,0.3837059486768161,4989,0.630830762123678
catboost_mae__alpha,kpx_group_2,0.12830926389146644,0.4158934562815996,4976,0.6437920961950666
catboost_mae__alpha,kpx_group_3,0.14398622084839713,0.2789599472029822,4566,0.5674868631772926
