model_id,month,score,one_minus_nmae,ficr,avg_nmae,eligible_hours
lgbm_l1_baseline__alpha,1,0.6236824321215324,0.8539016526969928,0.39346321154607206,0.1460983473030072,1492
lgbm_l1_baseline__alpha,2,0.6160518555280711,0.8630183321126417,0.3690853789435005,0.13698166788735838,772
lgbm_l1_baseline__alpha,3,0.617276800660023,0.8631137080571949,0.3714398932628511,0.1368862919428051,1587
lgbm_l1_baseline__alpha,4,0.619956171633242,0.8833728007927806,0.3565395424737034,0.11662719920721942,1166
lgbm_l1_baseline__alpha,5,0.6255490613311911,0.874327499384174,0.37677062327820837,0.12567250061582605,1545
lgbm_l1_baseline__alpha,6,0.6038066015731703,0.874282014787002,0.33333118835933867,0.125717985212998,970
lgbm_l1_baseline__alpha,7,0.6067595298932661,0.8632018132994559,0.3503172464870763,0.13679818670054417,1577
lgbm_l1_baseline__alpha,8,0.6140349210918059,0.8670293910121016,0.3610404511715102,0.13297060898789842,689
lgbm_l1_baseline__alpha,9,0.6295822368003818,0.8917419869615909,0.3674224866391727,0.10825801303840905,837
lgbm_l1_baseline__alpha,10,0.6026838369238885,0.8741336227263576,0.3312340511214193,0.1258663772736424,895
lgbm_l1_baseline__alpha,11,0.6131558710915328,0.8681024174810615,0.3582093247020041,0.1318975825189385,963
lgbm_l1_baseline__alpha,12,0.6492868006780896,0.8817439869300051,0.4168296144261743,0.11825601306999485,2038
lgbm_l2__alpha,1,0.6120981813347298,0.8499915084745834,0.3742048541948763,0.1500084915254166,1492
lgbm_l2__alpha,2,0.5768974216288609,0.8565220118002728,0.29727283145744904,0.14347798819972718,772
lgbm_l2__alpha,3,0.6048391766039973,0.8594349351116682,0.3502434180963263,0.14056506488833173,1587
lgbm_l2__alpha,4,0.6186636788230309,0.8819291179607617,0.35539823968530015,0.11807088203923836,1166
lgbm_l2__alpha,5,0.6195292111497253,0.8761249896812047,0.36293343261824584,0.12387501031879532,1545
lgbm_l2__alpha,6,0.5980810679371212,0.874668365921166,0.32149376995307644,0.12533163407883394,970
lgbm_l2__alpha,7,0.602052687898263,0.8569622609269952,0.3471431148695309,0.14303773907300474,1577
lgbm_l2__alpha,8,0.6174505470611193,0.8693564906766529,0.36554460344558576,0.13064350932334712,689
lgbm_l2__alpha,9,0.6384106595532341,0.8917325043642588,0.38508881474220935,0.10826749563574124,837
lgbm_l2__alpha,10,0.6128077455384257,0.8780045633623889,0.3476109277144624,0.12199543663761116,895
lgbm_l2__alpha,11,0.5981550801622064,0.8630790420456178,0.3332311182787951,0.1369209579543822,963
lgbm_l2__alpha,12,0.6278092472322213,0.8763087239080762,0.3793097705563664,0.12369127609192376,2038
lgbm_huber__alpha,1,0.3855576562317987,0.6898987314074392,0.08121658105615825,0.3101012685925609,1492
lgbm_huber__alpha,2,0.37677019831606784,0.6770467467130628,0.07649364991907288,0.32295325328693725,772
lgbm_huber__alpha,3,0.4324220697600002,0.7467860308980394,0.11805810862196094,0.2532139691019606,1587
lgbm_huber__alpha,4,0.5130523274088243,0.8256173868691031,0.20048726794854546,0.17438261313089687,1166
lgbm_huber__alpha,5,0.4285339903652106,0.7478801027912704,0.10918787793915086,0.2521198972087296,1545
lgbm_huber__alpha,6,0.5161593183646466,0.8261247752717236,0.20619386145756965,0.17387522472827643,970
lgbm_huber__alpha,7,0.36807178087477893,0.6729151057167766,0.06322845603278128,0.32708489428322346,1577
lgbm_huber__alpha,8,0.48384742836170386,0.8074207167604557,0.16027413996295203,0.1925792832395443,689
lgbm_huber__alpha,9,0.6210359486219135,0.8786903482684295,0.3633815489753974,0.12130965173157045,837
lgbm_huber__alpha,10,0.48615526106835183,0.7955352190464405,0.1767753030902631,0.20446478095355944,895
lgbm_huber__alpha,11,0.3624354795475215,0.6716437529007653,0.05322720619427764,0.3283562470992348,963
lgbm_huber__alpha,12,0.3531732920832772,0.6633325006380189,0.04301408352853555,0.3366674993619812,2038
hist_gbdt_l2__alpha,1,0.6150573611792514,0.853068465445366,0.37704625691313676,0.14693153455463406,1492
hist_gbdt_l2__alpha,2,0.5822786324908439,0.8576997730804692,0.3068574919012186,0.14230022691953076,772
