model_id,target,pearson,spearman,both_outside_8pct_rate,model_better_abs_error_rate,actual_weighted_boundary_gain
lgbm_l1_baseline,kpx_group_1,1.0,1.0,0.5728602926438164,0.0,0.0
lgbm_l1_baseline,kpx_group_2,0.9999999999999999,1.0,0.5633038585209004,0.0,0.0
lgbm_l1_baseline,kpx_group_3,1.0,1.0,0.6484888304862023,0.0,0.0
lgbm_l2,kpx_group_1,0.9527428873293234,0.9432515584922182,0.497294046903187,0.50070154339547,3788956.869
lgbm_l2,kpx_group_2,0.9613182367492487,0.9430344727208099,0.482516077170418,0.5128617363344051,4036392.5670000003
lgbm_l2,kpx_group_3,0.94947795522185,0.9489591047189864,0.5727113447218573,0.4662724485326325,2963674.608
lgbm_huber,kpx_group_1,0.3554178986922647,0.3474606278154322,0.46522349168169974,0.26718781318901585,3563490.692
lgbm_huber,kpx_group_2,0.2959201483952873,0.25763079918663995,0.45759646302250806,0.27773311897106107,3867766.623
lgbm_huber,kpx_group_3,0.5345754695041444,0.5112312776222354,0.5225580376697329,0.2974156811213316,3227251.2010000004
hist_gbdt_l2,kpx_group_1,0.9509981453154126,0.9396760895079559,0.49669272399278414,0.5023050711565444,3826416.443
hist_gbdt_l2,kpx_group_2,0.9583688844392008,0.9401125691681711,0.48010450160771706,0.532355305466238,4195371.596
hist_gbdt_l2,kpx_group_3,0.9445945486957198,0.9415389925461025,0.5630749014454665,0.4680245291283399,3382195.008
extra_trees,kpx_group_1,0.9448489343904977,0.9281834064283185,0.4934856684706354,0.4890759671276809,3730974.0640000002
extra_trees,kpx_group_2,0.9490339832545248,0.9241609218495174,0.4628215434083601,0.532355305466238,4820715.153
extra_trees,kpx_group_3,0.946507083281115,0.9427727055021962,0.5558475689881734,0.5153307052124397,3433524.748
random_forest,kpx_group_1,0.9423305963856053,0.9279199216734131,0.49569051914211265,0.46662657847263983,3540682.295
random_forest,kpx_group_2,0.9533156920399939,0.9325402503895563,0.4728697749196141,0.5271302250803859,4428647.868
random_forest,kpx_group_3,0.9417484435843707,0.9362141182378889,0.5565045992115637,0.4877354358300482,3497018.014
ridge,kpx_group_1,0.8436491912702943,0.8149719314383345,0.4253357386249749,0.4722389256364001,7306946.453
ridge,kpx_group_2,0.8580392515411577,0.8237162927086276,0.44011254019292606,0.43729903536977494,5958025.571
ridge,kpx_group_3,0.8276358855284784,0.8287395809863086,0.5111695137976346,0.4868593955321945,5473292.835999999
xgboost_l1,kpx_group_1,0.979189452141877,0.9735836131813209,0.5233513730206454,0.4722389256364001,2628245.056
xgboost_l1,kpx_group_2,0.982423008841608,0.9753019807350949,0.5118569131832797,0.5018086816720257,2697190.928
xgboost_l1,kpx_group_3,0.9795282069190114,0.9787665130108044,0.5948313622426632,0.5070083223828296,2131377.7199999997
catboost_mae,kpx_group_1,0.9547517661300428,0.9431784372057516,0.5057125676488274,0.4662256965323712,3854908.868
catboost_mae,kpx_group_2,0.9591354892988712,0.9454749065793167,0.492564308681672,0.47729099678456594,3959737.833
catboost_mae,kpx_group_3,0.9568659316314682,0.9543345027748289,0.573587385019711,0.4918966272448533,3255541.137
