experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,gate,threshold,specialist,delta_score_vs_lead_base
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,0.6141379962789046,0.869366938479111,0.13063306152088902,0.3589090540786984,0.5788180397716202,0.6058739751839679,14531,specialist_pred,0.65,B1_plus_fundamental_all,0.002302887327358727
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,0.6138544599003385,0.868988945857476,0.13101105414252398,0.35871997394320093,0.5812085302596287,0.6072758635772851,14531,specialist_pred,0.6,B1_plus_fundamental_all,0.0020193509487925754
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,0.6135924425369195,0.8687464023164928,0.13125359768350717,0.3584384827573462,0.5801533449178936,0.6069314828092067,14531,specialist_pred,0.6,B1_plus_proxy_power_curve,0.001757333585373555
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,0.6133215505418994,0.8685117983709004,0.1314882016290996,0.3581313027128985,0.582792027303223,0.6064766898873621,14531,specialist_pred,0.6,B1_plus_scada_wind_proxy,0.0014864415903534933
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,0.6132577295745306,0.8699487303079696,0.13005126969203046,0.3565667288410917,0.5783711543550375,0.6020524847943072,14531,specialist_pred,0.9,B1_plus_scada_wind_proxy,0.001422620622984705
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,0.6130917603961584,0.8687922165907317,0.13120778340926828,0.3573913042015852,0.5804532643829626,0.6042221540313947,14531,specialist_pred,0.65,B1_plus_scada_wind_proxy,0.001256651444612511
deploy_high_specialist_pred_ge_0.90::B1_plus_fundamental_all,0.6128907991255733,0.8700027770363534,0.12999722296364652,0.35577882121479315,0.5728466161945872,0.6015734202056092,14531,specialist_pred,0.9,B1_plus_fundamental_all,0.0010556901740274016
deploy_high_specialist_pred_ge_0.90::B1_plus_proxy_power_curve,0.6128827247408795,0.8699193262880556,0.1300806737119444,0.35584612319370335,0.5733127115671879,0.6015245822940941,14531,specialist_pred,0.9,B1_plus_proxy_power_curve,0.0010476157893335447
deploy_high_specialist_pred_ge_0.85::B1_plus_scada_wind_proxy,0.6128651992742798,0.8694418237394204,0.13055817626057967,0.35628857480913934,0.5849200613116412,0.6012871559139119,14531,specialist_pred,0.85,B1_plus_scada_wind_proxy,0.0010300903227339342
deploy_high_lead_pred_ge_0.80::B1_plus_scada_wind_proxy,0.6128291246140736,0.8697898464182239,0.13021015358177612,0.35586840280992327,0.5834826988869755,0.6013186683748734,14531,lead_pred,0.8,B1_plus_scada_wind_proxy,0.0009940156625276586
