experiment,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,delta_score_vs_lead_base,delta_ficr_vs_lead_base,delta_nmae_vs_lead_base
oracle_boundary_or_very_high::B1_plus_fundamental_all,0.6194084914021226,0.871898889972476,0.128101110027524,0.3669180928317692,0.57121401663379,0.6110638975520423,14531,0.0075733824505767044,0.013196333097547419,-0.001950431803605851
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,0.6192861619862099,0.871445576920669,0.12855442307933096,0.3671267470517507,0.5763362768339805,0.6106733631151857,14531,0.007451053034663979,0.013404987317528927,-0.0014971187517988926
oracle_very_high::B1_plus_fundamental_all,0.6192640495608274,0.8718414781573796,0.12815852184262042,0.36668662096427523,0.5712098117669303,0.6110638975520423,14531,0.007428940609281454,0.01296486123005347,-0.0018930199885094368
oracle_very_high::B1_plus_scada_wind_proxy,0.6191796356515247,0.8713717100066047,0.12862828999339526,0.36698756129644455,0.5764985376092149,0.6106733631151857,14531,0.0073445266999787595,0.01326580156222279,-0.0014232518377345904
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,0.618986836471177,0.871554868549197,0.12844513145080308,0.3664188043931571,0.5695590098645753,0.6103288530956118,14531,0.0071517275196311125,0.012697044658935341,-0.0016064103803267726
oracle_very_high::B1_plus_proxy_power_curve,0.6188473225539022,0.8714871501623069,0.12851284983769304,0.3662074949454975,0.569479656187807,0.6103288530956118,14531,0.007012213602356265,0.012485735211275717,-0.0015386919934368137
deploy_high_specialist_pred_ge_0.65::B1_plus_fundamental_all,0.6141379962789046,0.869366938479111,0.13063306152088902,0.3589090540786984,0.5788180397716202,0.6058739751839679,14531,0.002302887327358727,0.005187294344476623,0.000581519689759169
deploy_high_specialist_pred_ge_0.60::B1_plus_fundamental_all,0.6138544599003385,0.868988945857476,0.13101105414252398,0.35871997394320093,0.5812085302596287,0.6072758635772851,14531,0.0020193509487925754,0.004998214208979168,0.0009595123113941284
deploy_high_specialist_pred_ge_0.60::B1_plus_proxy_power_curve,0.6135924425369195,0.8687464023164928,0.13125359768350717,0.3584384827573462,0.5801533449178936,0.6069314828092067,14531,0.001757333585373555,0.004716723023124425,0.001202055852377315
deploy_high_specialist_pred_ge_0.60::B1_plus_scada_wind_proxy,0.6133215505418994,0.8685117983709004,0.1314882016290996,0.3581313027128985,0.582792027303223,0.6064766898873621,14531,0.0014864415903534933,0.004409542978676739,0.0014366597979697526
deploy_high_specialist_pred_ge_0.90::B1_plus_scada_wind_proxy,0.6132577295745306,0.8699487303079696,0.13005126969203046,0.3565667288410917,0.5783711543550375,0.6020524847943072,14531,0.001422620622984705,0.0028449691068699323,-2.7213909939427516e-07
deploy_high_specialist_pred_ge_0.65::B1_plus_scada_wind_proxy,0.6130917603961584,0.8687922165907317,0.13120778340926828,0.3573913042015852,0.5804532643829626,0.6042221540313947,14531,0.001256651444612511,0.0036695444673634503,0.0011562415781384283
deploy_high_specialist_pred_ge_0.90::B1_plus_fundamental_all,0.6128907991255733,0.8700027770363534,0.12999722296364652,0.35577882121479315,0.5728466161945872,0.6015734202056092,14531,0.0010556901740274016,0.002057061480571387,-5.431886748333281e-05
deploy_high_specialist_pred_ge_0.90::B1_plus_proxy_power_curve,0.6128827247408795,0.8699193262880556,0.1300806737119444,0.35584612319370335,0.5733127115671879,0.6015245822940941,14531,0.0010476157893335447,0.002124363459481582,2.9131880814547984e-05
deploy_high_specialist_pred_ge_0.85::B1_plus_scada_wind_proxy,0.6128651992742798,0.8694418237394204,0.13055817626057967,0.35628857480913934,0.5849200613116412,0.6012871559139119,14531,0.0010300903227339342,0.002566815074917572,0.0005066344294498148
deploy_high_lead_pred_ge_0.80::B1_plus_scada_wind_proxy,0.6128291246140736,0.8697898464182239,0.13021015358177612,0.35586840280992327,0.5834826988869755,0.6013186683748734,14531,0.0009940156625276586,0.0021466430757015043,0.0001586117506462703
oracle_boundary::B1_plus_fundamental_all,0.611979550792841,0.8700058699839666,0.1299941300160334,0.3539532316017156,0.5734085359054917,0.6001244492570202,14531,0.00014444184129513982,0.00023147186749383764,-5.7411815096442e-05
oracle_boundary::B1_plus_proxy_power_curve,0.6119746228688208,0.8700161765557601,0.1299838234442399,0.35393306918188133,0.5734836847154003,0.6001244492570202,14531,0.0001395139172748472,0.00021130944765956894,-6.77183868899589e-05
oracle_boundary::B1_plus_scada_wind_proxy,0.6119416352862312,0.8700223250829344,0.12997767491706552,0.353860945489528,0.5732420702633976,0.6001244492570202,14531,0.00010652633468533068,0.0001391857553062481,-7.386691406432999e-05
B1_plus_lead_interactions,0.6118351089515459,0.8699484581688701,0.13005154183112985,0.35372175973422176,0.5734043310386321,0.6001244492570202,14531,0.0,0.0,0.0
B1_aggregate,0.6117673564727266,0.8700286771288893,0.12997132287111068,0.3535060358165638,0.5917149198256562,0.6001969855349586,14531,-6.775247881929403e-05,-0.00021572391765795063,-8.021896001916828e-05
