experiment,target,label_regime,rows,baseline_abs_error,candidate_abs_error,delta_abs_error,impact_delta,fail_to_pass8,pass_to_fail8,net_pass8
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07343777771529207,0.002994932604051245,0.6558902402872226,24,23,1
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1282628144341378,-0.006485558509338473,-5.447869147844317,85,47,38
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.1001880892699724,-0.0028064349121238175,-0.6286414203157351,26,18,8
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08830522475590075,-0.013471584891184312,-12.838420401298649,94,57,37
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.07738700424050371,-0.00382010579492387,-0.8098624285238605,19,11,8
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_fundamental_all,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.24339335783020488,-0.012870831775184758,-9.164032223931548,48,19,29
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07412209731261514,0.003679252201374301,0.8057562321009719,19,19,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1295624884064111,-0.005185884537065197,-4.356143011134765,87,44,43
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.09996489340086365,-0.003029630781232592,-0.6786372949961006,25,19,6
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08818574231236707,-0.013591067334717983,-12.952287169986237,103,48,55
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.07589320763511863,-0.005313902400308943,-1.1265473088654958,18,12,6
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2511745464866343,-0.005089643118755357,-3.623825900553814,35,21,14
oracle_very_high::B1_plus_fundamental_all,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07044284511124083,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1282628144341378,-0.006485558509338473,-5.447869147844317,85,47,38
oracle_very_high::B1_plus_fundamental_all,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10299452418209623,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08830522475590075,-0.013471584891184312,-12.838420401298649,94,57,37
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_very_high::B1_plus_fundamental_all,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.24339335783020488,-0.012870831775184758,-9.164032223931548,48,19,29
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07044284511124083,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.1295624884064111,-0.005185884537065197,-4.356143011134765,87,44,43
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,ficr_boundary_8_12pct,224,0.10299452418209623,0.10299452418209623,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,high_50_80pct,1584,0.13230484442115287,0.13230484442115287,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,mid_12_50pct,2215,0.13110675131152713,0.13110675131152713,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_2,very_high_80pct_plus,953,0.10177680964708505,0.08818574231236707,-0.013591067334717983,-12.952287169986237,103,48,55
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,ficr_boundary_8_12pct,212,0.08120711003542756,0.08120711003542756,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,high_50_80pct,1353,0.13943275374641514,0.13943275374641514,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,mid_12_50pct,2289,0.11970861500975122,0.11970861500975122,0.0,0.0,0,0,0
oracle_very_high::B1_plus_scada_wind_proxy,kpx_group_3,very_high_80pct_plus,712,0.25626418960538966,0.2511745464866343,-0.005089643118755357,-3.623825900553814,35,21,14
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,ficr_boundary_8_12pct,219,0.07044284511124083,0.07282528355677108,0.002382438445530234,0.5217540195711212,22,17,5
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,high_50_80pct,1611,0.12847016899989905,0.12847016899989905,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,mid_12_50pct,2319,0.11450728545556907,0.11450728545556907,0.0,0.0,0,0,0
oracle_boundary_or_very_high::B1_plus_proxy_power_curve,kpx_group_1,very_high_80pct_plus,840,0.13474837294347627,0.12879263888672984,-0.005955734056746449,-5.002816607667017,86,46,40
