target,taxonomy,rows,eligible_rows,ficr_pass_rate,ficr_gold_rate,near_10_actual_rows,near_16_pred_rows,mean_abs_err_norm
kpx_group_1,low_online_label_positive,4,4,0.0,0.0,2,0,0.34757337618495787
kpx_group_1,moderate_residual,466,363,0.3261802575107296,0.22746781115879827,33,27,0.11241262249201428
kpx_group_1,scada_under_label,166,166,0.42771084337349397,0.21084337349397592,0,3,0.11799295045787397
kpx_group_1,scada_zero_label_positive,36,36,0.25,0.19444444444444445,5,1,0.162031052797276
kpx_group_1,tight_reconstruction,8106,4420,0.25302245250431776,0.19874167283493707,406,387,0.09514988027099813
kpx_group_2,low_online_label_positive,5,5,0.4,0.2,1,0,0.2862271782660372
kpx_group_2,moderate_residual,715,430,0.24895104895104894,0.1888111888111888,105,51,0.1277358801589875
kpx_group_2,scada_under_label,309,309,0.343042071197411,0.23624595469255663,0,2,0.13922801264268606
kpx_group_2,scada_zero_label_positive,137,137,0.25547445255474455,0.1897810218978102,36,6,0.2984594443154409
kpx_group_2,tight_reconstruction,7612,4095,0.2521019442984761,0.1957435627955859,335,262,0.08943721526890787
kpx_group_3,low_online_label_positive,102,102,0.49019607843137253,0.39215686274509803,38,7,0.13904423198916407
kpx_group_3,moderate_residual,1158,1118,0.33592400690846286,0.25906735751295334,21,33,0.13955446450002393
kpx_group_3,scada_under_label,239,239,0.2719665271966527,0.2384937238493724,0,0,0.15870322925465732
kpx_group_3,scada_zero_label_positive,92,92,0.31521739130434784,0.25,3,2,0.14055227719969815
kpx_group_3,tight_reconstruction,7187,3015,0.17211632113538333,0.13580075135661612,401,407,0.09150739895999198
