target,taxonomy,bias_bin,rows,mean_abs_residual_ratio,mean_ldaps_speed_bias
kpx_group_1,label_missing,-1..1,8,,0.7536871640842888
kpx_group_1,label_missing,1..2,36,,1.616072392891101
kpx_group_1,label_missing,2..4,57,,2.8326287513105033
kpx_group_1,label_missing,>=4,107,,8.035524710475878
kpx_group_1,low_online_label_positive,<=-4,5,0.10312211111111107,-5.760433221958043
kpx_group_1,low_online_label_positive,-2..-1,2,0.0262051851851851,-1.239211711803224
kpx_group_1,low_online_label_positive,-1..1,7,0.21695635582010578,-0.20227925901513874
kpx_group_1,low_online_label_positive,1..2,2,0.30785087962962965,1.5140373582831224
kpx_group_1,low_online_label_positive,2..4,5,0.1217861666666666,2.8560565973168326
kpx_group_1,low_online_label_positive,>=4,33,0.1714924144219977,8.821761067998066
kpx_group_1,moderate_residual,<=-4,127,0.06772885425780108,-4.991739984308463
kpx_group_1,moderate_residual,-4..-2,406,0.05774709610472537,-2.8280872453884207
kpx_group_1,moderate_residual,-2..-1,399,0.0599978447275596,-1.4721429971814337
kpx_group_1,moderate_residual,-1..1,859,0.06225260752166597,-0.02060757614470679
kpx_group_1,moderate_residual,1..2,402,0.06015391480099498,1.4862304623574034
kpx_group_1,moderate_residual,2..4,551,0.0638094187336156,2.900626421414749
kpx_group_1,moderate_residual,>=4,566,0.07330666028661165,6.895865719122038
kpx_group_1,scada_under_label,<=-4,85,0.283753399782135,-5.259905523666461
kpx_group_1,scada_under_label,-4..-2,249,0.27849420998810054,-2.9033657512408144
kpx_group_1,scada_under_label,-2..-1,231,0.2518686257415424,-1.458191978290018
kpx_group_1,scada_under_label,-1..1,468,0.2728633149335232,0.0170590435665395
kpx_group_1,scada_under_label,1..2,246,0.29327565699337554,1.487178768003388
kpx_group_1,scada_under_label,2..4,457,0.293673011487965,3.0181493580633463
kpx_group_1,scada_under_label,>=4,856,0.3121222203833506,7.145373366419012
kpx_group_1,scada_zero_label_positive,<=-4,27,0.4309187757201645,-5.731081295598728
kpx_group_1,scada_zero_label_positive,-4..-2,65,0.39283057407407407,-2.8016833356258144
kpx_group_1,scada_zero_label_positive,-2..-1,69,0.4288367981749866,-1.4956351486707853
kpx_group_1,scada_zero_label_positive,-1..1,173,0.3778257559944337,-0.053780674879705566
kpx_group_1,scada_zero_label_positive,1..2,112,0.3598353455687831,1.5308695563211494
kpx_group_1,scada_zero_label_positive,2..4,169,0.4485346896230551,2.9485067471023183
kpx_group_1,scada_zero_label_positive,>=4,443,0.48087427430816815,7.86353812077949
kpx_group_1,tight_reconstruction,<=-4,1330,0.008550122702589757,-5.089686611421559
kpx_group_1,tight_reconstruction,-4..-2,5390,0.006846814737511117,-2.7747462827442697
kpx_group_1,tight_reconstruction,-2..-1,5700,0.006042336695906391,-1.4760725729795912
kpx_group_1,tight_reconstruction,-1..1,13357,0.0056079050691965815,-0.01129209821600665
kpx_group_1,tight_reconstruction,1..2,5559,0.006053135114562265,1.47880896699145
