target,label_regime,rows,candidate_abs_error,baseline_abs_error,delta_abs_error,eligible_rate,pass_to_fail,fail_to_pass,net_ficr_pass
kpx_group_1,ficr_boundary_8_12pct,446,0.08657059505241804,0.08505733612328877,0.001513258929129282,0.4910313901345291,2,6,4
kpx_group_1,high_50_80pct,1611,0.11607135613024179,0.11683377079765811,-0.0007624146674163103,1.0,47,48,1
kpx_group_1,low_1_8pct,1484,0.057229671851148856,0.05568388145412988,0.0015457903970189691,0.0,0,0,0
kpx_group_1,mid_12_50pct,2319,0.12887121312044475,0.1293278238956193,-0.00045661077517455343,1.0,42,64,22
kpx_group_1,missing,6,,,,0.0,0,0,0
kpx_group_1,near_zero_0_1pct,821,0.05009109050568605,0.048502873157927166,0.0015882173477588814,0.0,0,0,0
kpx_group_1,very_high_80pct_plus,840,0.09765830668006574,0.09904442536475833,-0.0013861186846925828,1.0,18,17,-1
kpx_group_1,zero,1257,0.08292438294181499,0.0816795651289527,0.001244817812862276,0.0,0,0,0
kpx_group_2,ficr_boundary_8_12pct,477,0.10038441200907033,0.0991261638925985,0.001258248116471839,0.469601677148847,4,3,-1
kpx_group_2,high_50_80pct,1584,0.1266416223405198,0.12766195728483948,-0.0010203349443196718,1.0,37,39,2
kpx_group_2,low_1_8pct,1498,0.06621798929978198,0.0650335057633968,0.0011844835363851744,0.0,0,0,0
kpx_group_2,mid_12_50pct,2215,0.15016864896132617,0.15008345125157366,8.519770975250546e-05,1.0,45,51,6
kpx_group_2,missing,6,,,,0.0,0,0,0
kpx_group_2,near_zero_0_1pct,859,0.045398225536506916,0.04430973076421297,0.001088494772293939,0.0,0,0,0
kpx_group_2,very_high_80pct_plus,953,0.07403369403340722,0.07708839301429625,-0.0030546989808890156,1.0,16,28,12
kpx_group_2,zero,1192,0.05532336467935582,0.054004335796667996,0.0013190288826878205,0.0,0,0,0
kpx_group_3,ficr_boundary_8_12pct,463,0.08930015802638516,0.08862346602100499,0.0006766920053801886,0.45788336933045354,4,2,-2
kpx_group_3,high_50_80pct,1353,0.12146448235752957,0.12229904181305917,-0.000834559455529605,1.0,37,35,-2
kpx_group_3,low_1_8pct,1450,0.05939922060211287,0.059195857244337895,0.0002033633577749735,0.0,0,0,0
kpx_group_3,mid_12_50pct,2289,0.1344146298612573,0.1339845302970717,0.0004300995641856024,1.0,48,61,13
kpx_group_3,missing,6,,,,0.0,0,0,0
kpx_group_3,near_zero_0_1pct,967,0.03883123124930952,0.037604684454786014,0.0012265467945234954,0.0,0,0,0
kpx_group_3,very_high_80pct_plus,712,0.19150402077491016,0.19660301145266482,-0.005098990677754659,1.0,7,15,8
kpx_group_3,zero,1544,0.033482180577621354,0.032743785849470436,0.0007383947281509172,0.0,0,0,0
