target,label_regime,ficr_transition,size
kpx_group_1,ficr_boundary_8_12pct,fail_to_fail,290
kpx_group_1,ficr_boundary_8_12pct,fail_to_pass,6
kpx_group_1,ficr_boundary_8_12pct,pass_to_fail,2
kpx_group_1,ficr_boundary_8_12pct,pass_to_pass,148
kpx_group_1,high_50_80pct,fail_to_fail,874
kpx_group_1,high_50_80pct,fail_to_pass,48
kpx_group_1,high_50_80pct,pass_to_fail,47
kpx_group_1,high_50_80pct,pass_to_pass,642
kpx_group_1,low_1_8pct,fail_to_fail,1484
kpx_group_1,mid_12_50pct,fail_to_fail,1340
kpx_group_1,mid_12_50pct,fail_to_pass,64
kpx_group_1,mid_12_50pct,pass_to_fail,42
kpx_group_1,mid_12_50pct,pass_to_pass,873
kpx_group_1,missing,fail_to_fail,6
kpx_group_1,near_zero_0_1pct,fail_to_fail,821
kpx_group_1,very_high_80pct_plus,fail_to_fail,362
kpx_group_1,very_high_80pct_plus,fail_to_pass,17
kpx_group_1,very_high_80pct_plus,pass_to_fail,18
kpx_group_1,very_high_80pct_plus,pass_to_pass,443
kpx_group_1,zero,fail_to_fail,1257
kpx_group_2,ficr_boundary_8_12pct,fail_to_fail,327
kpx_group_2,ficr_boundary_8_12pct,fail_to_pass,3
kpx_group_2,ficr_boundary_8_12pct,pass_to_fail,4
kpx_group_2,ficr_boundary_8_12pct,pass_to_pass,143
kpx_group_2,high_50_80pct,fail_to_fail,959
kpx_group_2,high_50_80pct,fail_to_pass,39
kpx_group_2,high_50_80pct,pass_to_fail,37
kpx_group_2,high_50_80pct,pass_to_pass,549
kpx_group_2,low_1_8pct,fail_to_fail,1498
kpx_group_2,mid_12_50pct,fail_to_fail,1356
kpx_group_2,mid_12_50pct,fail_to_pass,51
kpx_group_2,mid_12_50pct,pass_to_fail,45
kpx_group_2,mid_12_50pct,pass_to_pass,763
kpx_group_2,missing,fail_to_fail,6
kpx_group_2,near_zero_0_1pct,fail_to_fail,859
kpx_group_2,very_high_80pct_plus,fail_to_fail,273
kpx_group_2,very_high_80pct_plus,fail_to_pass,28
kpx_group_2,very_high_80pct_plus,pass_to_fail,16
kpx_group_2,very_high_80pct_plus,pass_to_pass,636
kpx_group_2,zero,fail_to_fail,1192
kpx_group_3,ficr_boundary_8_12pct,fail_to_fail,320
kpx_group_3,ficr_boundary_8_12pct,fail_to_pass,2
kpx_group_3,ficr_boundary_8_12pct,pass_to_fail,4
kpx_group_3,ficr_boundary_8_12pct,pass_to_pass,137
kpx_group_3,high_50_80pct,fail_to_fail,738
kpx_group_3,high_50_80pct,fail_to_pass,35
kpx_group_3,high_50_80pct,pass_to_fail,37
kpx_group_3,high_50_80pct,pass_to_pass,543
kpx_group_3,low_1_8pct,fail_to_fail,1450
kpx_group_3,mid_12_50pct,fail_to_fail,1357
kpx_group_3,mid_12_50pct,fail_to_pass,61
kpx_group_3,mid_12_50pct,pass_to_fail,48
kpx_group_3,mid_12_50pct,pass_to_pass,823
kpx_group_3,missing,fail_to_fail,6
kpx_group_3,near_zero_0_1pct,fail_to_fail,967
kpx_group_3,very_high_80pct_plus,fail_to_fail,621
kpx_group_3,very_high_80pct_plus,fail_to_pass,15
kpx_group_3,very_high_80pct_plus,pass_to_fail,7
kpx_group_3,very_high_80pct_plus,pass_to_pass,69
kpx_group_3,zero,fail_to_fail,1544
