target,source_disagreement_bin,rows,candidate_abs_error,baseline_abs_error,delta_abs_error,mean_actual_ratio
kpx_group_1,"(-inf, -4.0]",1251,0.12692367126883813,0.12673836851041861,0.0001853027584195243,0.6036397147407407
kpx_group_1,"(-4.0, -2.0]",909,0.12415070214926764,0.12537156992726134,-0.0012208677779936912,0.4434681129670419
kpx_group_1,"(-2.0, -1.0]",680,0.10408210873319526,0.1038563379966893,0.00022577073650596093,0.3539008425380461
kpx_group_1,"(-1.0, 0.0]",916,0.08829249128430364,0.08795917956751027,0.0003333117167933567,0.2679086249595665
kpx_group_1,"(0.0, 1.0]",1174,0.07605389065081573,0.07586639382718795,0.00018749682362778224,0.19805098303653182
kpx_group_1,"(1.0, 2.0]",1213,0.07677532890942314,0.0772019620506369,-0.0004266331412137624,0.17806138869789753
kpx_group_1,"(2.0, 4.0]",1983,0.08088232959105927,0.08035809627834614,0.0005242333127131229,0.16777468496561646
kpx_group_1,"(4.0, inf]",658,0.10831844763213917,0.10518397718863098,0.003134470443508181,0.2093722425560058
kpx_group_2,"(-inf, -4.0]",1251,0.1309603439297962,0.13154934240560884,-0.0005889984758126149,0.6377438415555555
kpx_group_2,"(-4.0, -2.0]",909,0.1340966204286603,0.13367297775753068,0.0004236426711295985,0.46783590369554573
kpx_group_2,"(-2.0, -1.0]",680,0.11170116698790328,0.11168932792026673,1.1839067636552856e-05,0.37613835174275895
kpx_group_2,"(-1.0, 0.0]",916,0.09308858430247466,0.09323879859649063,-0.00015021429401597652,0.27708625717693675
kpx_group_2,"(0.0, 1.0]",1174,0.0747989644314789,0.07468003336231045,0.00011893106916844182,0.2009616761390546
kpx_group_2,"(1.0, 2.0]",1213,0.07460982520592085,0.07509276231052368,-0.00048293710460284035,0.17750394855457766
kpx_group_2,"(2.0, 4.0]",1983,0.08000576813140431,0.07961378051249579,0.0003919876189085166,0.16353957480752696
kpx_group_2,"(4.0, inf]",658,0.11016157120386523,0.10910800485906352,0.0010535663448017177,0.19850716783462793
kpx_group_3,"(-inf, -4.0]",1105,0.15958423772138572,0.16075233744208475,-0.0011680997206990485,0.5659839681677019
kpx_group_3,"(-4.0, -2.0]",891,0.1258540006005803,0.12640343605521007,-0.0005494354546297855,0.39686239636169074
kpx_group_3,"(-2.0, -1.0]",704,0.09720004033969264,0.09711071344669203,8.932689300058051e-05,0.3103630888798701
kpx_group_3,"(-1.0, 0.0]",979,0.07834656951001401,0.07815217605585695,0.00019439345415704417,0.2069281891142565
kpx_group_3,"(0.0, 1.0]",1200,0.06583832017167972,0.06568629798122479,0.00015202219045494275,0.170674338933238
kpx_group_3,"(1.0, 2.0]",1215,0.06986696466347449,0.07034638675734542,-0.00047942209387093405,0.1659268791661759
kpx_group_3,"(2.0, 4.0]",1888,0.07357953624290976,0.07345809878328696,0.00012143745962280791,0.1574749441037676
kpx_group_3,"(4.0, inf]",802,0.11126432394229213,0.1101986265563273,0.0010656973859648096,0.23898217218857615
