source,feature,month,train2024_mean,test2025_mean,mean_delta,pooled_std,z_delta_vs_2024,test_above_train_p90_rate,spearman_corr,weighted_abs_shift
gfs,wind850_speed,4,5.716443881329725,10.727529556281604,5.011085674951878,4.075546254256258,1.2295494545029513,0.4175925925925925,0.8123829516584613,0.9988650150591586
ldaps,wind50max_speed,4,6.022475190739957,8.978158708819732,2.955683518079775,3.054599025889684,0.9676175144628956,0.4145514603616133,0.8263124368994054,0.7995543863623809
gfs,pblwind_speed,4,3.336813484306968,6.313041542194191,2.976228057887224,2.772664944786524,1.0734178546924842,0.3516975308641975,0.7180703883363746,0.7707895757662302
ldaps,wind50max_speed,2,6.915823420004453,10.4581817823612,3.5423583623567483,3.9567248595495808,0.8952753823435482,0.3256138392857143,0.8263124368994054,0.7397771828803442
ldaps,wind10_speed,4,4.0830364415876375,5.618147266946399,1.5351108253587613,1.817390436875604,0.8446786080558415,0.3561631944444444,0.8167296175335645,0.6898740364962311
gfs,wind100_speed,4,3.3009298115739423,5.183557634680838,1.882627823106896,2.0494437596418367,0.9186042863246472,0.345216049382716,0.7490288085246858,0.6880610740914198
ldaps,wind10_speed,2,4.658428027511942,6.645696515188514,1.9872684876765725,2.392568633728939,0.8306004094639967,0.3017113095238095,0.8167296175335645,0.6783759547447521
gfs,wind80_speed,4,3.204039573893906,4.945401943625862,1.7413623697319562,1.9845820541220305,0.8774453871724046,0.3347222222222222,0.7453325915104193,0.6539886443300715
gfs,wind850_speed,2,6.982974718938828,11.212618762059517,4.229644043120689,5.365881147551855,0.7882478060965226,0.2711640211640211,0.8123829516584613,0.6403590793549995
gfs,wind100_speed,2,3.506655985110808,5.549310498695316,2.042654513584508,2.4542227314872624,0.8323020101416606,0.273478835978836,0.7490288085246858,0.623418182989109
gfs,pblwind_speed,2,3.7660576032125017,6.818828781548572,3.05277117833607,3.523281452011481,0.8664568014362722,0.3093584656084656,0.7180703883363746,0.622176971884037
gfs,wind80_speed,2,3.371977671973999,5.307024434906866,1.935046762932868,2.33262744578366,0.8295567153687587,0.2723214285714285,0.7453325915104193,0.6182956564706682
gfs,wind850_speed,7,11.724161151873224,6.525402010415484,-5.19875914145774,7.16818219228614,-0.7252548834943118,0.0,0.8123829516584613,0.5891847029578224
gfs,wind10_speed,2,2.408129156618876,3.6024980613484274,1.1943689047295516,1.631121352179042,0.7322379186574539,0.2628968253968254,0.7221186121947312,0.528762629617279
ldaps,wind50max_speed,7,10.190608832119906,6.883743300025649,-3.3068655320942577,5.285491212380972,-0.6256496129862931,0.0025235531628532,0.8263124368994054,0.5169820563518737
gfs,wind700_speed,2,11.990428102788488,17.043872020335424,5.053443917546938,5.229511925788033,0.9663318466988876,0.3602843915343915,0.5233521658816831,0.5057318649303094
ldaps,wind10_speed,7,6.185531982213563,4.31331119660666,-1.8722207856069035,3.027925317187137,-0.6183180193915183,0.0054603494623655,0.8167296175335645,0.504998639491746
ldaps,wind50max_speed,8,5.009896146759998,6.958957098981897,1.949060952221899,3.198069559513302,0.6094492053228096,0.2702452956989247,0.8263124368994054,0.5035954580166968
gfs,wind700_speed,4,8.984487152609223,14.870279887811469,5.885792735202244,6.182695336530075,0.9519784517723884,0.3966049382716049,0.5233521658816831,0.4982199846077708
ldaps,wind50max_speed,9,4.779807943789915,6.048366491426547,1.2685585476366326,2.2902815084484898,0.5538876083150613,0.2140625,0.8263124368994054,0.4576842193952017
