target,direction_sector,selected_grid,rows,speed_actual_corr,speed_abs_residual_corr,mean_abs_error_ratio,pass8_rate
kpx_group_1,0-45,13,3379,0.6893207992765076,-0.08666406379871551,0.1196728102945021,0.44894939331163064
kpx_group_1,135-180,10,111,0.2111283703602312,0.29080849176874757,0.07088681491021946,0.7207207207207207
kpx_group_1,180-225,5,417,0.5708959097357401,0.11900650026654737,0.07182719889217044,0.6882494004796164
kpx_group_1,225-270,10,142,0.5314838605386425,0.3134855230484725,0.09264345394203424,0.5492957746478874
kpx_group_1,270-315,11,61,0.514298557988789,0.12083713429313946,0.08039695593441798,0.6065573770491803
kpx_group_1,315-360,1,571,0.5930904337995375,0.11531941029130212,0.11015866554987759,0.4798598949211909
kpx_group_1,45-90,14,214,0.6809849492911279,0.18963739642481545,0.1443941340668798,0.4158878504672897
kpx_group_1,90-135,14,94,0.3850561011932275,0.14812299515082303,0.10389908459076097,0.6382978723404256
kpx_group_2,0-45,13,3390,0.6778389482097573,-0.10896075372363757,0.12437083390659169,0.46519174041297934
kpx_group_2,135-180,5,83,0.17364974110294143,0.20023089858115026,0.06769200455219758,0.7469879518072289
kpx_group_2,180-225,11,458,0.6201336892476299,0.3557354232636039,0.09901135068110382,0.5851528384279476
kpx_group_2,225-270,14,155,0.5561395650374145,0.365770598202701,0.09209641608152114,0.5870967741935483
kpx_group_2,270-315,11,61,0.3799777888861144,-0.0561093630382034,0.07251905418054974,0.6885245901639344
kpx_group_2,315-360,13,531,0.5996866073020748,0.24780834905830457,0.13259707944263696,0.4143126177024482
kpx_group_2,45-90,14,220,0.7132171150053037,0.0513719076257358,0.13154795682280465,0.42727272727272725
kpx_group_2,90-135,14,78,0.24598964306363066,0.12585281347775307,0.09900051326940515,0.6282051282051282
kpx_group_3,0-45,16,3294,0.6653344889861792,0.1697119415770364,0.14007596404871497,0.36156648451730417
kpx_group_3,135-180,12,29,0.34236453201970435,0.23990147783251226,0.0498410749238893,0.8275862068965517
kpx_group_3,180-225,11,348,0.6312509623655812,0.36527844315882924,0.08288038799291594,0.6666666666666666
kpx_group_3,225-270,10,134,0.4817629655071745,0.3451053446027635,0.10765048731317207,0.5223880597014925
kpx_group_3,270-315,11,35,0.040064440192477555,0.42594019293472346,0.07300610958160658,0.6857142857142857
kpx_group_3,315-360,1,501,0.49275378016792676,0.33431536180128246,0.11232540445421879,0.4630738522954092
kpx_group_3,45-90,14,187,0.649202764850811,0.34800281877273276,0.1581293705662165,0.2887700534759358
kpx_group_3,90-135,14,38,0.3412846044424992,0.08655213918371812,0.11888461978902481,0.5263157894736842
