year,month,target,ldaps13_wind50_spearman,gfs1_wind850_spearman,rows
2022,1,kpx_group_1,0.7852095439906993,0.7552817682095075,743
2022,1,kpx_group_2,0.7926607209594112,0.7747963795000452,743
2022,1,kpx_group_3,,,0
2022,2,kpx_group_1,0.8357665597072119,0.802363944481762,672
2022,2,kpx_group_2,0.7787716004499317,0.7743828776257035,672
2022,2,kpx_group_3,,,0
2022,3,kpx_group_1,0.7666284057814037,0.6307925425615262,742
2022,3,kpx_group_2,0.7666393993185688,0.6507599332428772,742
2022,3,kpx_group_3,,,0
2022,4,kpx_group_1,0.7719472924543063,0.8187980337127078,720
2022,4,kpx_group_2,0.7809634088608003,0.8253863845240558,720
2022,4,kpx_group_3,,,0
2022,5,kpx_group_1,0.813341183808644,0.7905962259085614,744
2022,5,kpx_group_2,0.8152638587253118,0.788937357923577,744
2022,5,kpx_group_3,,,0
2022,6,kpx_group_1,0.7589358489444122,0.8121237020424411,720
2022,6,kpx_group_2,0.7606744146450493,0.827923066625778,720
2022,6,kpx_group_3,,,0
2022,7,kpx_group_1,0.5582821058241616,0.6276765954522786,733
2022,7,kpx_group_2,0.5613645867975585,0.652780782600007,733
2022,7,kpx_group_3,,,0
2022,8,kpx_group_1,0.8155353660044328,0.7993105482977718,744
2022,8,kpx_group_2,0.8321484469924227,0.8290166275459833,744
2022,8,kpx_group_3,,,0
2022,9,kpx_group_1,0.6627181818085137,0.8048197850657525,720
2022,9,kpx_group_2,0.6540855997699401,0.8353611811589648,720
2022,9,kpx_group_3,,,0
2022,10,kpx_group_1,0.8228068972156833,0.7196016769682063,662
2022,10,kpx_group_2,0.8266863299918075,0.7428278346256724,662
2022,10,kpx_group_3,,,0
2022,11,kpx_group_1,0.8054955712853565,0.7982341683226503,720
2022,11,kpx_group_2,0.8103445779207824,0.8261060751142927,720
2022,11,kpx_group_3,,,0
2022,12,kpx_group_1,0.7003156971889714,0.6348096879116998,744
2022,12,kpx_group_2,0.7442316443273348,0.7154769040346883,744
2022,12,kpx_group_3,,,0
2023,1,kpx_group_1,0.7003233479136867,0.6060402403196428,744
2023,1,kpx_group_2,0.6835041704192087,0.5933378464237482,744
2023,1,kpx_group_3,0.5892198325779799,0.5775551975127418,743
2023,2,kpx_group_1,0.7712724657187343,0.68818826314199,672
2023,2,kpx_group_2,0.7631738842139308,0.6973137811800024,672
2023,2,kpx_group_3,0.7645609708009425,0.6718558073946373,672
2023,3,kpx_group_1,0.8213618710189751,0.8092171247428231,744
2023,3,kpx_group_2,0.8269585520946858,0.8350550738420911,744
2023,3,kpx_group_3,0.8231199185987295,0.8116231245320435,744
2023,4,kpx_group_1,0.8223156825806011,0.846771346013402,720
2023,4,kpx_group_2,0.8225018993565414,0.8561549463131923,720
2023,4,kpx_group_3,0.7615219525635525,0.7770975526562194,720
2023,5,kpx_group_1,0.7642285897668059,0.7635737806840608,744
2023,5,kpx_group_2,0.7745572975589732,0.7923408060441098,744
2023,5,kpx_group_3,0.7711444663212385,0.7775120886561926,744
